"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
1,"UPI","1",6,14,45,1,3,2,2,14,31.1111111111111,0,0,14,0,46.6666666666667,31.1111111111111,7.29166666666667,31,16.1458333333333,5,0,5,5,5,0,0,0,0,5,0,5,30,"Poor"
2,"UPI","8",14,0,373,0,6,8,5,0,0,0,0,0,NA,16.8900804289544,0,0,373,124.333333333333,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
3,"UPI","10",7,1,136,1,3,2,3,1,0.735294117647059,0,0,1,0,29.4117647058824,0.735294117647059,0.333333333333333,135,45,5,0,5,0,5,0,0,0,0,0,0,5,20,"Poor"
5,"UPI","12",4,5,220,2,1,1,0,5,2.27272727272727,1,0.454545454545455,5,20,0,2.27272727272727,5,215,215,10,5,10,10,10,5,0,0,10,0,0,0,60,"Fair"
6,"UPI","13",8,0,103,0,5,5,2,0,0,0,0,0,NA,3.88349514563107,0,0,103,34.3333333333333,5,0,0,5,0,NA,0,0,0,0,0,5,15,"Poor"
8,"UPI","16",4,0,72,0,2,2,1,0,0,0,0,0,NA,0,0,0,72,72,10,0,5,10,5,NA,0,0,10,0,0,0,40,"Fair"
9,"UPI","18",3,2,141,2,0,0,1,11,7.80141843971631,9,6.38297872340426,2,0,0,1.41843971631206,4.82456140350877,130,57.0175438596491,10,5,10,10,10,0,0,0,10,0,0,5,60,"Fair"
10,"UPI","22",2,41,118,1,1,0,1,41,34.7457627118644,0,0,41,0,65.2542372881356,34.7457627118644,17.0833333333333,77,32.0833333333333,10,0,10,10,10,0,0,0,0,5,0,5,50,"Fair"
11,"UPI","26",13,4,674,1,4,7,4,4,0.593471810089021,0,0,4,0,12.9080118694362,0.593471810089021,1.33333333333333,670,223.333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,"Very Poor"
12,"UPI","27",6,0,327,0,3,4,2,0,0,0,0,0,NA,11.0091743119266,0,0,327,136.25,5,0,0,5,5,NA,0,0,0,0,0,0,15,"Poor"
15,"UPI","34",8,109,194,3,2,2,3,119,61.340206185567,103,53.0927835051546,109,85.3211009174312,5.67010309278351,56.1855670103093,39.6666666666667,75,25,5,5,5,0,5,5,10,5,0,5,5,5,55,"Fair"
16,"UPI","35",3,174,358,3,0,0,1,358,100,188,52.5139664804469,174,2.29885057471264,0,48.6033519553073,119.333333333333,0,0,10,5,10,10,10,0,10,10,10,5,10,10,100,"Good"
18,"UPI","38",3,37,102,1,1,0,1,36,35.2941176470588,0,0,36,0,63.7254901960784,36.2745098039216,19.7802197802198,66,36.2637362637363,10,0,10,10,10,0,0,0,0,5,0,5,50,"Fair"
20,"UPI","48",6,0,127,0,3,3,3,0,0,0,0,0,NA,3.1496062992126,0,0,127,50.8,5,0,5,0,5,NA,0,0,0,0,0,5,20,"Poor"
25,"UPI","85",3,101,146,3,0,0,1,146,100,46,31.5068493150685,101,0.99009900990099,0,69.1780821917808,79.3478260869565,0,0,10,5,10,10,10,0,5,10,10,5,10,10,95,"Good"
26,"UPI","86",7,14,98,1,3,3,2,14,14.2857142857143,0,0,14,0,22.4489795918367,14.2857142857143,7.77777777777778,84,46.6666666666667,5,0,5,5,5,0,0,0,0,0,0,5,25,"Poor"
27,"UPI","93",5,5,67,1,2,2,1,5,7.46268656716418,5,7.46268656716418,5,100,0,7.46268656716418,5,62,62,5,0,5,10,5,10,0,0,10,0,0,0,45,"Fair"
28,"UPI","96",9,0,413,0,5,6,3,0,0,0,0,0,NA,5.08474576271187,0,0,413,137.666666666667,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
29,"UPI","108",8,0,90,0,4,5,3,0,0,0,0,0,NA,4.44444444444444,0,0,90,30,5,0,0,0,0,NA,0,0,0,0,0,5,10,"Poor"
31,"UPI","117",3,99,122,3,0,0,1,122,100,29,23.7704918032787,99,6.06060606060606,0,81.1475409836066,67.7777777777778,0,0,10,5,10,10,10,0,5,10,10,10,5,10,95,"Good"
32,"UPI","118",13,0,237,0,4,8,5,0,0,0,0,0,NA,18.5654008438819,0,0,237,79,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
33,"UPI","123",7,18,76,1,3,3,3,18,23.6842105263158,0,0,18,0,56.578947368421,23.6842105263158,6,58,19.3333333333333,5,0,5,0,5,0,0,0,0,0,0,5,20,"Poor"
34,"UPI","128",1,0,25,0,0,0,0,0,0,0,0,0,NA,0,0,0,25,8.33333333333333,10,0,10,10,10,NA,0,0,10,0,0,10,60,"Fair"
35,"UPI","130",4,16,42,3,0,0,1,33,78.5714285714286,20,47.6190476190476,16,18.75,0,38.0952380952381,13.75,9,3.75,10,5,10,10,10,5,10,5,10,5,0,10,90,"Good"
36,"UPI","135",6,0,90,0,3,3,2,0,0,0,0,0,NA,23.3333333333333,0,0,90,56.25,5,0,5,5,5,NA,0,0,0,0,0,5,25,"Poor"
37,"UPI","149",5,298,303,2,2,1,1,298,98.3498349834984,116,38.2838283828383,298,38.9261744966443,0.66006600660066,98.3498349834984,99.3333333333333,5,1.66666666666667,5,5,10,10,5,5,5,10,5,10,10,10,90,"Good"
38,"UPI","154",5,110,204,3,2,0,1,110,53.921568627451,38,18.6274509803922,110,34.5454545454545,45.5882352941176,53.921568627451,47.008547008547,94,40.1709401709402,5,5,10,10,5,5,5,5,0,5,5,5,65,"Fair"
39,"UPI","156",2,27,27,2,0,0,0,27,100,20,74.0740740740741,27,74.0740740740741,0,100,19.8529411764706,0,0,10,5,10,10,10,5,10,10,10,10,0,10,100,"Good"
40,"UPI","157",8,162,353,4,3,2,2,185,52.4079320113314,25,7.08215297450425,162,1.23456790123457,44.1926345609065,45.8923512747875,61.6666666666667,168,56,5,10,5,5,5,0,0,5,0,5,5,5,50,"Fair"
41,"UPI","163",2,63,162,2,0,0,1,162,100,99,61.1111111111111,63,0,0,38.8888888888889,135,0,0,10,5,10,10,10,0,10,10,10,5,10,10,100,"Good"
42,"UPI","170",1,0,159,0,0,0,0,0,0,0,0,0,NA,0,0,0,159,159,10,0,10,10,10,NA,0,0,10,0,0,0,50,"Fair"
44,"UPI","32b",4,0,64,0,2,1,2,0,0,0,0,0,NA,3.125,0,0,64,64,10,0,10,5,5,NA,0,0,0,0,0,0,30,"Poor"
45,"UPI","57b",7,0,37,0,4,5,1,0,0,0,0,0,NA,29.7297297297297,0,0,37,26.4285714285714,5,0,0,10,0,NA,0,0,0,0,0,5,20,"Poor"
46,"UPI","201_NCT",3,50,62,1,1,1,0,50,80.6451612903226,0,0,50,0,0,80.6451612903226,25.5102040816327,12,6.12244897959184,10,0,10,10,10,0,0,5,10,10,0,10,75,"Good"
47,"UPI","202_CWT",3,46,91,1,1,0,2,46,50.5494505494505,0,0,46,0,48.3516483516484,50.5494505494505,25.5555555555556,45,25,10,0,10,5,10,0,0,5,0,5,0,5,50,"Fair"
48,"YEL","1",8,24,279,1,3,4,4,24,8.60215053763441,0,0,24,0,58.0645161290323,8.60215053763441,8,255,85,5,0,0,0,5,0,0,0,0,0,0,0,10,"Poor"
