Watershed (HUC 8),Site #,LND,LND_ab,SRD,SRD_ab,Sculpins,Sculpins_ab,SGCN_rich,pct_TC,pct_Intol,pct_Tol,Temp,pctRock,mWid,sdWid,mRiffpct,pctCbbl,pctFines,maxdep,macProp,subProp
Upper Iowa River,1,0,0,0,0,0,0,0,31.11,0,55.56,16.9,44.44,3.13,0.93,50,42.22,53.33,1,37.5,42.22
Upper Iowa River,8,1,2,1,1,0,0,2,0,0,49.6,12.9,66.67,6.92,0.49,20.83,57.89,31.58,0.64,66.67,57.89
Upper Iowa River,10,0,0,0,0,0,0,0,0.74,0,91.91,13.1,29.17,3.83,0.42,4.17,18.06,70.83,0.64,75,55.56
Upper Iowa River,11,0,0,0,0,0,0,0,0,0,0,10.6,87.88,2.1,0.6,83.33,87.88,12.12,0.18,83.33,87.88
Upper Iowa River,12,0,0,0,0,0,0,0,2.27,0.45,0.45,11.7,72.34,2.06,0.95,41.67,65.96,27.66,0.59,41.67,65.96
Upper Iowa River,13,0,0,1,1,0,0,1,0,0,62.14,15.9,56.25,3.66,1.49,25,50,43.75,0.88,37.5,50
Upper Iowa River,14,0,0,0,0,0,0,0,33.33,0,66.67,13.4,52.17,2.58,0.71,29.17,28.26,47.83,0.6,58.33,34.78
Upper Iowa River,16,0,0,0,0,0,0,0,0,0,40.28,14.6,38.89,1.54,0.62,12.5,36.11,61.11,0.5,83.33,61.11
Upper Iowa River,18,0,0,0,0,1,9,1,1.42,6.38,0,15.27,50,2.9,0.7,29.17,43.75,50,0.44,58.33,47.92
Upper Iowa River,22,0,0,0,0,0,0,0,34.75,0,65.25,16.6,67.74,2.18,0.45,37.5,41.94,32.26,0.52,45.83,41.94
Upper Iowa River,26,1,2,1,27,0,0,2,0.59,0,39.02,18.9,79.17,5.73,1.84,29.17,77.08,20.83,1.5,29.17,77.08
Upper Iowa River,27,0,0,0,0,0,0,0,0,0,46.79,10.9,66.67,4.04,0.77,16.67,62.5,33.33,0.72,62.5,62.5
Upper Iowa River,29,0,0,0,0,0,0,0,0,0,0,14.2,80.77,1.5,0.55,29.17,73.08,19.23,0.68,33.33,73.08
Upper Iowa River,32,0,0,0,0,0,0,0,0,0,50,15.3,83.33,1.91,0.53,20.83,62.5,16.67,0.56,79.17,62.5
Upper Iowa River,34,0,0,0,0,1,10,1,56.19,53.09,36.6,13.9,85.71,3.26,1.44,16.67,77.14,14.29,0.74,33.33,77.14
Upper Iowa River,35,0,0,0,0,1,184,1,48.6,52.51,0,12.2,86.36,5.93,2.7,29.17,75,13.64,0.96,37.5,75
Upper Iowa River,36,0,0,0,0,0,0,0,0,0,95,19.7,41.18,2.38,0.9,12.5,17.65,58.82,0.62,79.17,47.06
Upper Iowa River,38,0,0,0,0,0,0,0,36.27,0,63.73,11.8,56.76,2.34,0.53,8.33,37.84,43.24,0.7,83.33,43.24
Upper Iowa River,41,0,0,1,1,0,0,1,0,0,46.15,21.7,40,2.72,0.93,16.67,40,60,0.76,37.5,60
Upper Iowa River,48,1,17,0,0,0,0,1,0,0,71.65,15,88.89,3.46,1.05,41.67,82.22,11.11,0.66,45.83,82.22
Upper Iowa River,57,0,0,0,0,0,0,0,0,0,6.25,14.3,25,0.95,0.3,8.33,12.5,75,0.36,58.33,54.17
Upper Iowa River,61,0,0,0,0,0,0,0,62.5,0,0,16.2,83.33,2.25,1.02,66.67,75,16.67,0.8,66.67,75
Upper Iowa River,75,0,0,0,0,0,0,0,0,0,88.24,16.1,79.17,1.7,0.5,12.5,79.17,20.83,0.5,79.17,79.17
Upper Iowa River,84,0,0,0,0,0,0,0,0,0,100,15.6,17.14,2.12,0.36,8.33,17.14,82.86,0.44,75,65.71
Upper Iowa River,85,0,0,0,0,1,45,1,69.18,31.51,0,15.9,100,3.53,1.07,54.17,94.29,0,0.68,54.17,94.29
Upper Iowa River,86,0,0,0,0,0,0,0,14.29,0,59.18,15.27,90,2.86,0.84,37.5,90,10,0.56,37.5,90
Upper Iowa River,93,0,0,0,0,0,0,0,7.46,7.46,62.69,15.7,77.78,1.63,0.75,29.17,66.67,22.22,0.68,45.83,66.67
Upper Iowa River,96,1,164,0,0,0,0,1,0,0,28.33,17.6,78.72,4.84,1.22,33.33,74.47,21.28,0.6,45.83,74.47
Upper Iowa River,108,1,1,0,0,0,0,1,0,0,34.44,17.7,89.19,2.97,1.06,25,81.08,10.81,1.3,37.5,81.08
Upper Iowa River,109,1,1,0,0,0,0,1,95.45,0,0,13.6,100,3.77,1.4,33.33,92.86,0,0.7,50,92.86
Upper Iowa River,117,0,0,0,0,1,23,1,81.15,23.77,0,12.4,78.05,3.52,0.95,29.17,73.17,21.95,0.7,33.33,73.17
Upper Iowa River,118,1,13,1,1,0,0,2,0,0,42.19,20,78.26,5.44,0.83,16.67,76.09,21.74,0.59,70.83,76.09
Upper Iowa River,123,0,0,0,0,0,0,0,23.68,0,64.47,14.3,93.18,4.45,1.46,29.17,90.91,6.82,0.8,50,90.91
Upper Iowa River,128,0,0,0,0,0,0,0,0,0,0,15.7,16.22,3.17,0.79,4.17,5.41,83.78,0.64,79.17,62.16
Upper Iowa River,130,0,0,0,0,1,17,1,38.1,47.62,0,11.2,54.05,2.93,1.61,16.67,54.05,45.95,0.7,41.67,54.05
Upper Iowa River,135,0,0,1,4,0,0,1,0,0,93.33,14.5,23.33,1.41,0.43,20.83,20,76.67,0.56,41.67,76.67
Upper Iowa River,149,0,0,0,0,0,0,0,98.35,38.28,1.32,13.1,67.39,5.43,1.91,33.33,65.22,32.61,0.88,41.67,65.22
Upper Iowa River,154,0,0,0,0,0,0,0,53.92,18.63,46.08,15.4,97.3,3.92,1.8,41.67,94.59,2.7,1,41.67,94.59
Upper Iowa River,156,0,0,0,0,0,0,0,100,74.07,0,10.5,85,3.33,1.47,62.5,82.5,15,0.54,62.5,82.5
Upper Iowa River,157,0,0,0,0,1,23,1,45.89,7.08,47.03,14.8,54.17,5.75,2.34,8.33,50,45.83,0.74,50,50
Upper Iowa River,163,0,0,0,0,1,99,1,38.89,61.11,0,16,91.11,4.35,1.47,25,88.89,8.89,0.62,37.5,88.89
Upper Iowa River,170,0,0,0,0,0,0,0,0,0,0,14.6,66.67,1.85,0.8,0,66.67,33.33,0.3,54.17,66.67
Upper Iowa River,14b,0,0,0,0,0,0,0,83.33,0,12.5,12.2,37.5,2.57,1.34,25,28.13,62.5,0.78,41.67,43.75
Upper Iowa River,32b,0,0,0,0,0,0,0,0,0,82.81,18.1,81.58,1.98,0.29,8.33,65.79,18.42,0.52,87.5,65.79
Upper Iowa River,57b,0,0,1,2,0,0,1,0,0,78.38,17.5,18.75,3.01,0.77,12.5,18.75,81.25,0.82,45.83,78.13
Upper Iowa River,201_NCT,0,0,0,0,0,0,0,80.65,0,1.61,13.5,96.3,4.63,1.46,45.83,85.19,3.7,0.63,45.83,85.19
Upper Iowa River,202_CWT,0,0,0,0,0,0,0,50.55,0,48.35,14.7,87.88,2.85,0.93,66.67,87.88,12.12,0.48,66.67,87.88
Yellow River,1,1,1,0,0,0,0,1,8.6,0,83.51,13.5,75,6,1.19,29.17,64.58,25,0.88,58.33,64.58
Yellow River,4,0,0,0,0,0,0,0,98.68,0,0,13.4,88.57,2.4,1.01,50,88.57,11.43,0.43,50,88.57
Yellow River,17,0,0,0,0,0,0,0,1.69,0,93.22,17.1,72,2.18,0.54,4.17,72,28,0.74,87.5,72
Yellow River,20,0,0,0,0,0,0,0,41.62,0,25.43,13.4,86.96,4.39,1.19,54.17,73.91,13.04,0.48,54.17,73.91
Yellow River,25,0,0,0,0,0,0,0,31.25,31.25,56.25,15.7,87.5,0.97,0.27,20.83,79.17,12.5,0.53,70.83,79.17
Yellow River,29,0,0,0,0,0,0,0,6.57,0,48.91,23.2,79.31,2.65,1.22,25,79.31,20.69,0.42,37.5,79.31
Yellow River,33,0,0,0,0,0,0,0,0,0,0,13.1,95.65,1.97,0.74,41.67,95.65,4.35,0.84,41.67,95.65
Yellow River,36,0,0,0,0,0,0,0,0,0,0,25.7,89.29,1.86,0.6,29.17,82.14,10.71,0.71,58.33,82.14
Yellow River,39,0,0,0,0,0,0,0,0,0,13.64,12.5,0,0.91,0.24,0,0,100,2,75,100
Yellow River,40,1,7,0,0,0,0,1,38.5,0,57.08,15.4,95.45,6.15,1.78,50,93.18,4.55,0.62,50,93.18
Yellow River,41,1,16,0,0,0,0,1,1.57,0,57.55,19.2,91.18,2.98,0.84,37.5,76.47,8.82,0.52,41.67,76.47
Yellow River,52,0,0,1,1,0,0,1,3.85,0,46.15,14.3,88.46,1.89,0.55,29.17,69.23,11.54,0.38,70.83,69.23
Yellow River,56,1,94,0,0,0,0,1,10.56,0,9.94,18,100,3.08,0.93,33.33,96.67,0,0.56,45.83,96.67
Yellow River,57,0,0,1,17,0,0,1,0.67,0,32.21,20,62.5,1.4,0.33,16.67,50,37.5,0.46,75,50
Yellow River,65,1,3,0,0,0,0,1,19.05,0,57.14,13.9,97.22,1.8,0.39,37.5,94.44,2.78,0.32,58.33,94.44
Yellow River,73,1,3,1,4,0,0,2,1.94,0,51.61,14.9,70.37,2.92,0.59,8.33,59.26,29.63,0.68,83.33,59.26
Yellow River,77,1,62,1,7,0,0,2,1.43,0,45.16,21.2,93.55,2.84,0.94,45.83,87.1,6.45,0.62,45.83,87.1
