HUC8,Site,loggernum_2019,ycoord,xcoord,description,MonthIn,DayIn,YearIn,MonthCol,DayCol,YearCol,Notes
LMAQ,15,4587,42.96932636,-91.22417534,LMAQ_15_SnyMagill_DNR,6,17,2019,9,11,2019,normal
LMAQ,20,8106,42.92842265,-91.18606456,LMAQ_20_Miller,5,21,2019,9,11,2019,normal
LMAQ,22,4628,42.79315035,-91.1172105,LMAQ_22_Sadler_4628,7,24,2019,9,10,2019,normal
LMAQ,23,3192,42.96442345,-91.25195022,LMAQ_23_3192_SnyMagill,7,25,2019,9,11,2019,normal
LMAQ,26,3201,42.95254699,-91.19427891,LMAQ_26_DNR_SnyMagill,6,17,2019,9,11,2019,normal
LMAQ,8,4642,42.92886292,-91.18497324,LMAQ_008_Miller,5,21,2019,9,11,2019,normal
LMAQ,9,4598,42.8753,-91.153,LMAQ_009_Wilker,7,17,2019,9,10,2019,normal
UPI,112,4639,43.21822451,-91.80278093,UPI_112_Hogenson,5,30,2019,9,23,2019,normal
UPI,151,3212,43.26378044,-91.66235543,UPI_151_TroutRiverWMA,7,8,2019,9,17,2019,normal
UPI,153,4605,43.44821743,-92.04728174,UPI_153_Curtis_4605,7,23,2019,9,23,2019,normal
UPI,23,3198,43.38525253,-92.06486615,UPI_23_Mullen,7,23,2019,9,23,2019,normal
UPI,25,3222,43.39244899,-92.13968189,UPI_25_SilverCrk_3222,7,23,2019,9,23,2019,normal
UPI,28,4592,43.30011593,-91.81503372,UPI_28,5,30,2019,9,23,2019,normal
UPI,70,3223,43.477786,-91.414734,UPI_70_ClearCreek,7,16,2019,9,20,2019,normal
UPI,73,4613,43.3733437,-91.38978129,UPI_73_EBFrench,5,30,2019,9,20,2019,normal
UPI,78,3205,43.42272565,-91.36526245,UPI_78_Weymiller_ClarkCreek,7,22,2019,9,20,2019,normal
UPI,78b,4586,43.42220677,-91.36770468,UPI_78b_Weymiller_ClarkCreek,7,22,2019,9,20,2019,normal
YEL,106,4617,43.22601261,-91.42409712,YEL_106_Pladsen_4617,6,25,2019,9,18,2019,submerged; covered by OM
