OBJECTID,HUC8,Site,POINT_X,POINT_Y,HAiFLS_alt,HAiFLS_bmp,HAiFLS_Ag,HAiFLS_dev,HAiFLS_for,HAiFLS_pas
1,LMAQ,61,-91.110176365000001,42.778998426000001,51.0857277,48.7585182,18.4975433,2.8445423,44.9124680,29.7436409
2,LMAQ,24,-91.245072325999999,42.938389127999997,34.4766541,65.3808441,26.0424576,0.0629215,58.1847878,8.3712749
3,LMAQ,48,-91.185835776999994,42.927911371000000,8.9958620,91.0041351,8.8205366,0.0321294,85.8652039,0.1431960
4,LMAQ,5,-91.206478074000003,42.883352985000002,50.6438332,49.3561668,43.5317421,4.8554339,47.9392090,2.2566569
5,LMAQ,10,-91.096843031000006,42.754091019000001,29.8060303,70.1467209,28.8709984,0.4645835,64.7364883,0.4704477
6,LMAQ,2828,-91.218718523000007,42.901127150999997,93.4284058,6.5403237,61.1167183,4.9226065,1.7467092,27.3890800
7,LMAQ,17,-91.180138673000002,42.847707249999999,39.6410332,60.3040924,24.2044353,8.1621723,59.9917831,7.2744265
8,LMAQ,15,-91.224168427999999,42.969318538000003,36.0624123,63.9375877,9.3395329,8.0446262,61.2558517,18.6782532
9,LMAQ,20,-91.186057663000000,42.928414832000001,1.2252834,98.7747192,0.4987997,0.1037932,98.6865692,0.6226905
10,LMAQ,22,-91.115176364000007,42.786868796000000,43.6777534,56.1921501,3.9416044,1.1877441,53.7632866,38.5484047
11,LMAQ,23,-91.251943299999994,42.964415631000001,29.4993629,70.4964447,12.8322458,0.0033238,70.4950867,16.6637936
12,LMAQ,26,-91.194272007999999,42.952539168999998,23.9184952,76.0815048,5.6442242,0.1288488,74.9590683,18.1454220
13,LMAQ,8,-91.184966342999999,42.928855102000000,6.6524205,93.0334854,4.0455251,0.1006829,90.1195068,2.5062127
14,LMAQ,9,-91.152929029000006,42.872778236999999,1.3182127,98.6817856,0.0982303,0.0000000,98.6817856,1.2199825
