OBJECTID_12,Sum_SGCN,Sum_Waters,Sum_SiteNu,POINT_X,POINT_Y
1,1,3,61,-91.110176364999973,42.778998426000044
2,1,3,24,-91.245072325999956,42.938389128000040
3,0,3,8,-91.185835776999966,42.927911371000050
4,1,3,5,-91.206478073999961,42.883352985000045
5,0,3,10,-91.096843030999935,42.754091019000043
6,1,3,2828,-91.218718522999950,42.901127151000026
7,1,3,17,-91.180138672999988,42.847707250000042
8,0,1,202,-91.944381659999976,43.433892498000034
9,1,1,12,-91.880111691999957,43.365344284000059
10,0,1,75,-92.009555720999970,43.377778564000039
11,1,1,135,-92.012192965999986,43.334216459000061
12,1,1,13,-92.024910205999959,43.497296535000032
13,0,1,57,-92.022614937999947,43.494676331000051
14,0,1,22,-91.885677491999957,43.486291011000048
15,1,1,26,-91.888928892999957,43.422467949000065
16,1,1,156,-91.868041654999956,43.356170592000069
17,0,1,38,-91.894617312999969,43.464119021000045
18,1,1,5757,-92.008929234999982,43.478734586000030
19,1,1,41,-92.003665284999954,43.471117841000080
20,1,1,118,-91.922396754999966,43.451939200000027
21,1,1,8,-91.937899428999970,43.318581260000030
22,0,1,201,-91.777354159999959,43.443748662000075
23,0,1,10,-91.832251644999985,43.439358403000028
24,0,1,86,-91.755504462999966,43.424746352000057
25,1,1,154,-91.776216654999985,43.381403106000050
26,1,1,34,-91.670324785999981,43.378533029000039
27,0,1,123,-91.680237020999982,43.289274888000079
28,0,1,11,-91.693543735999981,43.280004949000045
29,0,1,84,-91.902224823999973,43.243390949000059
30,0,1,36,-91.893506346999970,43.243206237000038
31,0,1,27,-91.676716156999987,43.237976036000077
32,0,1,32,-91.652284249999980,43.220020651000027
33,1,1,96,-91.820855471999948,43.237176540000064
34,1,1,108,-91.700360267999940,43.225424560000079
35,0,1,3232,-91.652690680999967,43.219422133000080
36,1,1,48,-91.820895331999964,43.237250529000050
37,0,1,16,-91.696421250999947,43.204197504000035
38,0,1,128,-91.725141284999950,43.222807235000062
39,1,1,157,-91.644706799999938,43.495097534000081
40,1,1,35,-91.519187363999947,43.479262205000055
41,1,1,163,-91.504349280999975,43.469928399000025
42,1,1,109,-91.605918463999956,43.464550354000039
43,0,1,29,-91.728179524999973,43.462992536000058
44,0,1,61,-91.598160388999986,43.454839385000071
45,1,1,18,-91.706806563999976,43.451150426000027
46,1,1,130,-91.668968053999947,43.440904947000035
47,0,1,170,-91.654999183999962,43.439610785000070
48,0,1,14,-91.343852072999937,43.468098350000048
49,0,1,1414,-91.343690477999985,43.468211281000038
50,1,1,93,-91.632541961999948,43.402898052000069
51,1,1,149,-91.613228345999971,43.397268558000064
52,1,1,117,-91.393346656999938,43.374162880000029
53,0,1,1,-91.490019134999955,43.336024460000033
54,1,2,103,-91.273432362999984,43.402117144000044
55,0,2,29,-91.465581992999944,43.287073178000071
56,1,2,77,-91.449919272999978,43.245336865000070
57,0,2,105,-91.473082641999952,43.195699763000050
58,0,2,33,-91.452798636999944,43.164952647000064
59,1,2,73,-91.635416461999966,43.137725494000051
60,0,2,36,-91.387441533999947,43.135438793000048
61,1,2,25,-91.658020351999937,43.126126761000080
62,1,2,57,-91.646768514999962,43.125376401000040
63,1,2,65,-91.610401636999939,43.131008069000075
64,1,2,120,-91.376962054999979,43.130154937000043
65,1,2,129,-91.513774431999991,43.080567463000079
66,0,2,113,-91.493903021999984,43.076832994000029
67,1,2,52,-91.454559057999973,43.072198012000058
68,1,2,39,-91.215335678999963,43.335715385000071
69,0,2,150,-91.202899475999970,43.238361259000044
70,1,2,41,-91.648984731999974,43.163146728000072
71,1,2,101,-91.733848152999940,43.149657336000075
72,1,2,56,-91.359924412999987,43.133510510000065
73,0,2,17,-91.494172308999964,43.077177628000072
74,1,2,161,-91.469033629999956,43.075458315000049
75,1,2,1,-91.454891643999986,43.072168659000056
76,1,2,201,-91.330580468999983,43.290921943000058
77,1,2,82,-91.292727233999983,43.283938566000074
78,1,2,178,-91.281162136999967,43.296915247000072
79,0,2,203,-91.506119367999986,43.209364147000031
80,1,2,119,-91.155556513999954,43.205512890000080
81,0,2,193,-91.468267692999973,43.162238158000036
82,1,2,80,-91.231521670999939,43.085423570000046
83,0,2,20,-91.359165420999943,43.088004408000074
84,1,2,40,-91.432461928999942,43.096540830000038
85,0,2,4,-91.292796398999940,43.046789550000028
86,1,1,85,-91.405696007999950,43.385127026000077
87,0,2,204,-91.541332272999966,43.164323673000069
88,1,2,202,-91.690236420999952,43.168488110000055
