OBJECTID,HUC8,Site,loggernum_,ycoord,xcoord,descriptio,POINT_X,POINT_Y
1,LMAQ,15,4587,42.969326359999997,-91.224175340000002,LMAQ_15_SnyMagill_DNR,-91.224168427999984,42.969318538000039
2,LMAQ,20,8106,42.928422650000002,-91.186064560000005,LMAQ_20_Miller,-91.186057662999985,42.928414832000044
3,LMAQ,22,4628,42.793150349999998,-91.117210499999999,LMAQ_22_Sadler_4628,-91.115176363999979,42.786868796000078
4,LMAQ,23,3192,42.964423449999998,-91.251950219999998,LMAQ_23_3192_SnyMagill,-91.251943299999937,42.964415631000065
5,LMAQ,26,3201,42.952546990000002,-91.194278909999994,LMAQ_26_DNR_SnyMagill,-91.194272007999984,42.952539169000033
6,LMAQ,8,4642,42.928862920000000,-91.184973240000005,LMAQ_008_Miller,-91.184966342999985,42.928855102000057
7,LMAQ,9,4598,42.875300000000003,-91.153000000000006,LMAQ_009_Wilker,-91.152929028999949,42.872778237000034
8,UPI,112,4639,43.218224509999999,-91.802780929999997,UPI_112_Hogenson,-91.802773822999939,43.218216685000073
9,UPI,151,3212,43.263780439999998,-91.662355430000005,UPI_151_TroutRiverWMA,-91.662348356999985,43.263772599000049
10,UPI,153,4605,43.448217430000000,-92.047281740000003,UPI_153_Curtis_4605,-92.047274534999985,43.448209585000029
11,UPI,23,3198,43.385252530000002,-92.064866150000000,UPI_23_Mullen,-92.064858947999937,43.385244696000029
12,UPI,25,3222,43.392448989999998,-92.139681890000006,UPI_25_SilverCrk_3222,-92.139674665999962,43.392441160000033
13,UPI,28,4592,43.300115929999997,-91.815033720000002,UPI_28,-91.815026598999964,43.300108093000063
14,UPI,70,3223,43.477786000000002,-91.414733999999996,UPI_70_ClearCreek,-91.414726972999972,43.477778110000031
15,UPI,73,4613,43.373343700000000,-91.389781290000002,UPI_73_EBFrench,-91.389774281999962,43.373335825000026
16,UPI,78,3205,43.422725649999997,-91.365262450000003,UPI_78_Weymiller_ClarkCreek,-91.365255443999956,43.422717765000073
17,UPI,0,4586,43.422206770000003,-91.367704680000003,UPI_78b_Weymiller_ClarkCreek,-91.367697672999952,43.422198886000047
18,YEL,106,4617,43.226012609999998,-91.424097119999999,YEL_106_Pladsen_4617,-91.424090119999960,43.226004760000080
19,YEL,109,4627,43.189988589999999,-91.639243539999995,YEL_109_Opheim,-91.639236482999991,43.189980759000036
20,YEL,118,3210,43.223630010000001,-91.330505360000004,YEL_118_Abler,-91.330498386999977,43.223622155000044
21,YEL,0,3206,43.224665610000002,-91.324504489999995,YEL_118e_Abler_3206,-91.324497518999976,43.224657754000077
22,YEL,121,4635,43.143338139999997,-91.697752660000006,YEL_121_Tieskoetter,-91.697745591999990,43.143330320000075
23,YEL,125,8158,43.287543999999997,-91.458803000000003,YEL_125_BergerSommer,-91.458795982999959,43.287536143000068
24,YEL,140,3213,43.035635229999997,-91.268702809999994,YEL_140_Schultz_3213,-91.268695876999971,43.035627400000067
25,YEL,154,4621,43.285435120000002,-91.414000549999997,Yel_154_Berger_4621,-91.413993545999972,43.285427260000063
26,YEL,157,4600,43.190166210000001,-91.656561249999996,YEL_157_Brandt,-91.656554187999973,43.190158380000071
27,YEL,165,3219,43.140052369999999,-91.656583870000006,YEL_Blumhagen_3219,-91.656576813999948,43.140044548000049
28,YEL,168,4601,43.023792380000003,-91.309543599999998,YEL_168_Welch_4601,-91.309536656999967,43.023784555000077
29,YEL,169,4611,43.112147980000003,-91.535683410000004,YEL_169_Johnson,-91.535676391999971,43.112140155000077
30,YEL,173,4624,43.168887110000000,-91.653230260000001,YEL_173_Imoehl,-91.653223200999946,43.168879284000070
31,YEL,177,3189,43.127785789999997,-91.513120709999995,YEL_177_Swenson,-91.513113695999948,43.127777961000049
32,YEL,189,4602,43.141138339999998,-91.694072059999996,YEL_189,-91.694064992999984,43.141130521000036
33,YEL,190,4599,43.216268390000003,-91.370865170000002,YEL_190_Kelly,-91.370858186999953,43.216260538000029
34,YEL,21,4633,43.176523039999999,-91.632364569999993,YEL_21_Kautman,-91.632357515999956,43.176515211000037
35,YEL,24,4608,43.075681480000000,-91.375977860000006,YEL_24_Melcher_4608,-91.375970891999941,43.075673651000045
36,YEL,28,3196,43.042721899999997,-91.283867990000005,YEL_28_Schultz,-91.283861051999963,43.042714070000045
37,YEL,37,3211,43.124011570000000,-91.627781110000001,YEL_37_Koenig_3211,-91.627774063999937,43.124003749000053
38,YEL,42,4603,43.179917789999998,-91.437999430000005,YEL_42_Johanningmier_4603,-91.437992431999987,43.179909948000045
