FID,OBJECTID_1,siteID,ORDER_,POINT_X,POINT_Y,SGCN,Watershed_,SiteNumber
0,1,UPI-93,1,610254.040474000037648,4807531.895299999974668,1,1,93
1,2,YEL-25,1,609079.904881000053138,4775692.724759999662638,1,2,25
2,3,UPI-1,2,622858.235749999992549,4798728.269460000097752,0,1,1
3,4,UPI-10,2,594773.594264999963343,4810696.303810000419617,0,1,10
4,5,UPI-12,1,590207.388843999942765,4802737.502249999903142,1,1,12
5,6,UPI-14,2,633960.023685000021942,4814260.275720000267029,0,1,14
6,7,UPI-18,2,604313.986459000036120,4812089.154520000331104,1,1,18
7,8,UPI-22,1,589784.525676000048406,4815485.663929999805987,0,1,22
8,9,UPI-26,1,590496.201598000014201,4808404.800189999863505,1,1,26
9,10,UPI-34,1,607495.531748999957927,4803850.270720000378788,1,1,34
10,11,UPI-35,2,619846.057931000017561,4816718.382360000163317,1,1,35
11,12,UPI-38,2,590094.965662000002339,4815003.352620000019670,0,1,38
12,13,UPI-61,2,612699.546499000047334,4813349.144480000250041,0,1,61
13,14,UPI-85,2,628878.153847999987192,4804272.488409999758005,1,1,85
14,15,UPI-86,1,598392.753215000033379,4809896.733000000007451,0,1,86
15,16,UPI-109,1,613456.340384999988601,4812413.906709999777377,1,1,109
16,17,UPI-117,1,630156.830182999954559,4803439.951229999773204,1,1,117
17,18,UPI-123,2,606312.881484000012279,4793132.079509999603033,0,1,123
18,19,UPI-130,1,607593.694824000005610,4810319.117039999924600,1,1,130
19,20,UPI-149,2,611899.311345000052825,4805809.694790000095963,1,1,149
20,21,UPI-154,1,597363.689483999973163,4804117.233269999735057,1,1,154
21,22,UPI-156,1,591564.575501000043005,4800771.168779999949038,1,1,156
22,23,UPI-157,1,610163.182180000003427,4816907.328390000388026,1,1,157
23,24,UPI-163,2,621497.356279000057839,4815118.426930000074208,1,1,163
24,25,YEL-1,2,625611.080973000032827,4770069.296459999866784,1,2,1
25,26,YEL-4,2,638618.163215999957174,4768058.453300000168383,0,2,4
26,27,YEL-17,2,621841.071867999969982,4770733.782840000465512,0,2,17
27,28,YEL-20,2,633531.592708999989554,4770662.200469999574125,0,2,20
28,29,YEL-29,1,623900.116161999991164,4793833.684430000372231,0,2,29
29,30,YEL-52,1,625892.698926000040956,4769759.919920000247657,1,2,52
30,31,YEL-56,2,633348.116034999955446,4777277.405290000140667,1,2,56
31,32,YEL-65,1,613051.098241999978200,4776106.936750000342727,1,2,65
32,33,YEL-73,1,610930.787906000041403,4776301.349919999949634,1,2,73
33,34,YEL-77,1,624764.498514999984764,4789210.302969999611378,1,2,77
34,35,YEL-82,2,638363.356755999964662,4793514.746240000240505,1,2,82
35,36,YEL-120,1,631513.961670999997295,4776624.632849999703467,1,2,120
36,37,YEL-161,2,624113.536588000017218,4770468.960119999945164,1,2,161
37,38,YEL-178,2,639155.361802999977954,4795013.884829999879003,1,2,178
38,39,YEL-193,2,624002.858153000008315,4781915.834649999625981,0,2,193
39,40,YEL-201,2,635444.242888999986462,4794230.499029999598861,1,2,201
40,41,YEL-103,1,639595.890613000025041,4806827.009290000423789,1,2,103
41,42,YEL-203,2,620182.425261999946088,4787545.238599999807775,0,2,203
42,43,YEL-204,1,618467.009513000026345,4779908.687359999865294,0,2,204
43,44,LM-05,1,644627.945699000032619,4749374.735550000332296,1,3,5
44,45,LM-17,2,648059.491635999991558,4745626.690879999659956,1,3,17
45,46,LM-24,1,642820.292328999959864,4755594.704909999854863,1,3,24
46,47,LM-61,3,654697.074411000008695,4738207.757890000008047,1,3,61
47,48,UPI-14b,2,633778.293128999997862,4814158.798919999971986,0,1,1414
48,49,UPI-NCT,1,598236.572564000030980,4811099.251779999583960,0,1,201
49,50,UPI-CWT,1,586001.658460999955423,4809933.107470000162721,0,1,202
50,51,YEL-40,2,627166.940974000026472,4772479.915740000084043,1,2,40
51,52,UPI-8,2,585063.434468999970704,4795710.333990000188351,1,1,8
52,53,UPI-11,1,605640.747388000017963,4792396.933980000205338,0,1,11
53,54,UPI-13,2,578831.913963000057265,4816598.646759999915957,1,1,13
54,55,UPI-16,1,607000.024668000056408,4784168.782340000383556,0,1,16
55,56,UPI-27,2,608155.901523999986239,4787618.952850000001490,0,1,27
56,57,UPI-29,1,599724.842049999977462,4814376.538770000450313,0,1,29
57,58,UPI-32,1,609596.874492999981157,4786234.730619999580085,0,1,32
58,59,UPI-36,1,589390.184109000023454,4788416.867499999701977,0,1,36
59,60,UPI-41,2,581294.914743999950588,4813948.838489999994636,1,1,41
60,61,UPI-48,1,592842.015004000044428,4786417.477160000242293,1,1,48
61,62,UPI-57,1,579167.042680999962613,4816253.523830000311136,0,1,57
62,63,UPI-75,1,579278.661635000025854,4802886.546199999749660,0,1,75
63,64,UPI-84,1,588903.675908999983221,4788524.622299999929965,0,1,84
64,65,UPI-96,2,595823.760845000040717,4787549.825539999641478,1,1,96
65,66,UPI-108,2,605375.923316000029445,4785175.701899999752641,1,1,108
66,67,UPI-118,2,585477.881370999966748,4812513.790269999764860,1,1,118
67,68,UPI-128,1,604638.732015999965370,4784170.678869999945164,0,1,128
68,69,UPI-135,1,578851.387511000037193,4798626.635730000212789,1,1,135
69,70,UPI-32b,1,609452.566198999993503,4785924.814740000292659,0,1,3232
70,71,UPI-57b,3,579568.509547000052407,4815377.871639999561012,1,1,5757
71,72,YEL-33,1,625283.275437999982387,4782809.077949999831617,0,2,33
72,73,YEL-36,1,630274.943452000035904,4778692.024500000290573,0,2,36
73,74,YEL-39,2,644593.783239000011235,4799628.169590000063181,1,2,39
74,75,YEL-41,2,609710.444009999977425,4780101.577320000156760,1,2,41
75,76,YEL-57,1,609984.809776999987662,4775209.142339999787509,1,2,57
76,77,YEL-80,2,643342.975208000047132,4771880.851379999890924,1,2,80
77,78,YEL-101,2,602055.349830999970436,4778361.139809999614954,1,2,101
78,79,YEL-105,1,624501.049039999954402,4785143.523550000041723,0,2,105
79,80,YEL-113,1,622463.518489000038244,4770251.644510000012815,0,2,113
80,81,YEL-119,2,650258.511764000053518,4786402.186769999563694,1,2,119
81,82,YEL-129,1,620492.922773999976926,4771220.231909999623895,1,2,129
82,83,YEL-150,2,645761.170457000029273,4789130.837039999663830,0,2,150
83,84,YEL-202,1,605991.139328000019304,4780237.385999999940395,1,2,202
84,85,LM-8,1,647939.276749999960884,4752925.816049999557436,0,3,8
85,86,LM-10,1,654977.253759999992326,4735400.370160000398755,0,3,10
86,87,LM-28b,2,645307.785537000047043,4751402.736229999922216,1,3,2828
87,88,UPI-170,1,608772.147617000038736,4809759.402979999780655,0,1,170
