FID,HUC8,Site,loggernum_,ycoord,xcoord,descriptio,MonthIn,DayIn,YearIn,MonthCol,DayCol,YearCol,Notes,POINT_X,POINT_Y
0,LMAQ,15,4587,42.969326359999997,-91.224175340000002,LMAQ_15_SnyMagill_DNR,6,17,2019,9,11,2019,normal,644815.347932999953628,4758931.027259999886155
1,LMAQ,20,8106,42.928422650000002,-91.186064560000005,LMAQ_20_Miller,5,21,2019,9,11,2019,normal,648020.770536000025459,4754463.972799999639392
2,LMAQ,22,4628,42.793150349999998,-91.117210499999999,LMAQ_22_Sadler_4628,7,24,2019,9,10,2019,normal,653979.613110000034794,4739563.106250000186265
3,LMAQ,23,3192,42.964423449999998,-91.251950219999998,LMAQ_23_3192_SnyMagill,7,25,2019,9,11,2019,normal,642362.023139000055380,4758386.950489999726415
4,LMAQ,26,3201,42.952546990000002,-91.194278909999994,LMAQ_26_DNR_SnyMagill,6,17,2019,9,11,2019,normal,647303.526063999976031,4757129.489950000308454
5,LMAQ,8,4642,42.928862920000000,-91.184973240000005,LMAQ_008_Miller,5,21,2019,9,11,2019,normal,648199.590818000026047,4754809.400320000015199
6,LMAQ,9,4598,42.875300000000003,-91.153000000000006,LMAQ_009_Wilker,7,17,2019,9,10,2019,normal,650847.915063000051305,4748613.101660000160336
7,UPI,112,4639,43.218224509999999,-91.802780929999997,UPI_112_Hogenson,5,30,2019,9,23,2019,normal,597554.224402999971062,4785373.790500000119209
8,UPI,151,3212,43.263780439999998,-91.662355430000005,UPI_151_TroutRiverWMA,7,8,2019,9,17,2019,normal,608586.195068000000902,4790951.435229999944568
9,UPI,153,4605,43.448217430000000,-92.047281740000003,UPI_153_Curtis_4605,7,23,2019,9,23,2019,normal,577117.285937999957241,4810930.091799999587238
10,UPI,23,3198,43.385252530000002,-92.064866150000000,UPI_23_Mullen,7,23,2019,9,23,2019,normal,575724.774034000001848,4803979.098640000447631
11,UPI,25,3222,43.392448989999998,-92.139681890000006,UPI_25_SilverCrk_3222,7,23,2019,9,23,2019,normal,569678.255918000009842,4804744.723790000192821
12,UPI,28,4592,43.300115929999997,-91.815033720000002,UPI_28,5,30,2019,9,23,2019,normal,596108.810922999982722,4794832.967179999686778
13,UPI,70,3223,43.477786000000002,-91.414733999999996,UPI_70_ClearCreek,7,16,2019,9,20,2019,normal,628217.055398000054993,4815085.894589999690652
14,UPI,73,4613,43.373343700000000,-91.389781290000002,UPI_73_EBFrench,5,30,2019,9,20,2019,normal,630817.415029000025243,4803257.035749999806285
15,UPI,78,3205,43.422725649999997,-91.365262450000003,UPI_78_Weymiller_ClarkCreek,7,22,2019,9,20,2019,normal,632691.684607999981381,4808782.579850000329316
16,UPI,78b,4586,43.422206770000003,-91.367704680000003,UPI_78b_Weymiller_ClarkCreek,7,22,2019,9,20,2019,normal,632125.312700000009499,4808950.797919999808073
17,YEL,106,4617,43.226012609999998,-91.424097119999999,YEL_106_Pladsen_4617,6,25,2019,9,18,2019,submerged; covered by OM,628062.017829000018537,4787123.527700000442564
18,YEL,109,4627,43.189988589999999,-91.639243539999995,YEL_109_Opheim,5,31,2019,9,14,2019,normal,610568.119476999971084,4782792.039830000139773
19,YEL,118,3210,43.223630010000001,-91.330505360000004,YEL_118_Abler,7,8,2019,9,19,2019,submerged; dislodged,635584.022402000031434,4786988.668600000441074
20,YEL,118b,3206,43.224665610000002,-91.324504489999995,YEL_118e_Abler_3206,6,27,2019,9,19,2019,normal,636014.325199999962933,4787168.540110000409186
21,YEL,121,4635,43.143338139999997,-91.697752660000006,YEL_121_Tieskoetter,5,30,2019,9,14,2019,normal,605799.987732999958098,4777757.682989999651909
22,YEL,125,8158,43.287543999999997,-91.458803000000003,YEL_125_BergerSommer,3,30,2019,9,20,2019,on bank,625016.784293000004254,4793899.697329999879003
23,YEL,140,3213,43.035635229999997,-91.268702809999994,YEL_140_Schultz_3213,7,10,2019,9,11,2019,normal,640991.449295999947935,4766182.929039999842644
24,YEL,154,4621,43.285435120000002,-91.414000549999997,Yel_154_Berger_4621,7,31,2019,9,20,2019,normal,628510.814571000053547,4793708.749610000289977
25,YEL,157,4600,43.190166210000001,-91.656561249999996,YEL_157_Brandt,5,31,2019,9,14,2019,normal,609143.794331999961287,4782704.099550000391901
26,YEL,165,3219,43.140052369999999,-91.656583870000006,YEL_Blumhagen_3219,7,30,2019,9,22,2019,normal,609244.619259999948554,4777208.189419999718666
27,YEL,168,4601,43.023792380000003,-91.309543599999998,YEL_168_Welch_4601,6,26,2019,9,11,2019,normal,637729.758728999993764,4764873.556599999777973
28,YEL,169,4611,43.112147980000003,-91.535683410000004,YEL_169_Johnson,6,20,2019,9,17,2019,normal,619152.738440999994054,4774220.443769999779761
29,YEL,173,4624,43.168887110000000,-91.653230260000001,YEL_173_Imoehl,6,4,2019,9,22,2019,normal,609425.297074000001885,4780454.535040000453591
