OBJECTID,HUC8,Site,POINT_X,POINT_Y,HAiFLS_alt,HAiFLS_bmp,HAiFLS_ag,HAiFLS_dev,HAiFLS_for,HAiFLS_pas
1,UPI,202,-91.944381660000005,43.433892497999999,77.0261612,22.9728012,57.8109741,3.2045991,11.0601254,16.0105858
2,UPI,12,-91.880111692000000,43.365344284000003,69.1975632,30.8024406,53.8789177,2.0984025,25.6601162,13.2202406
3,UPI,75,-92.009555720999998,43.377778564000003,94.9341354,5.0658636,78.2956314,0.2573539,0.0168676,16.3811531
4,UPI,135,-92.012192966000001,43.334216458999997,93.3201981,6.6798043,82.8153076,1.6403922,4.3185711,8.8644934
5,UPI,13,-92.024910206000001,43.497296534999997,81.7649384,18.2350636,69.8995895,1.1858387,14.4057808,10.6795044
6,UPI,57,-92.022614938000004,43.494676331000001,92.8333130,7.1666837,89.4968872,2.8459871,1.6014369,0.4904453
7,UPI,22,-91.885677491999999,43.486291010999999,97.8261032,2.0670819,68.9955521,3.7366495,0.0007945,25.0939007
8,UPI,26,-91.888928892999999,43.422467949000001,80.4846191,19.1248531,39.3303566,14.0896053,12.4863567,27.0646572
9,UPI,156,-91.868041654999999,43.356170591999998,45.4363937,54.5636063,17.1424675,0.0132505,54.1856232,28.2806759
10,UPI,38,-91.894617312999998,43.464119021000002,92.5337143,7.4058247,56.7960014,4.4644709,4.9718437,31.2732449
11,UPI,5757,-92.008929234999997,43.478734586000002,88.2332001,11.7634087,78.8611526,2.4221594,8.9146099,6.9498882
12,UPI,41,-92.003665284999997,43.471117841000002,73.6208496,26.3791542,57.2280502,3.6246607,11.0559187,12.7681351
13,UPI,118,-91.922396754999994,43.451939199999998,83.9352112,16.0647411,57.6908226,6.1513205,5.1532969,20.0930691
14,UPI,8,-91.937899428999998,43.318581260000002,86.0427628,13.1092787,60.0907021,5.4927406,3.8072126,20.4593182
15,UPI,201,-91.777354160000002,43.443748661999997,72.3402710,27.6389523,46.0964394,4.9454250,19.5544434,21.2984047
16,UPI,10,-91.832251644999999,43.439358403000000,90.6259918,9.3537235,71.1617584,6.0576077,0.0171744,13.4066200
17,UPI,86,-91.755504462999994,43.424746352000000,75.4648590,24.5351372,36.1588211,1.2784119,16.0228348,38.0276299
18,UPI,154,-91.776216654999999,43.381403106000000,77.6332779,21.9935017,57.3743019,9.8911400,13.6107121,10.3678370
19,UPI,34,-91.670324785999995,43.378533029000003,63.3477173,36.2947655,13.2846823,0.3131506,35.5497017,49.7498817
20,UPI,123,-91.680237020999996,43.289274888000001,72.9326935,26.9482479,43.2231598,4.0334439,23.0814247,25.6760864
21,UPI,11,-91.693543735999995,43.280004949000002,38.6119499,61.3880501,1.0174063,7.3888688,61.3778419,30.2056770
22,UPI,84,-91.902224824000001,43.243390949000002,91.6177826,8.3822136,54.4314423,0.0801027,7.4522662,37.1062431
23,UPI,36,-91.893506346999999,43.243206237000003,90.6212006,9.3787985,68.5173645,1.0149901,8.3160257,21.0888443
24,UPI,27,-91.676716157000001,43.237976035999999,92.6484375,7.2487516,67.0242691,3.5147047,3.1386724,22.1094666
25,UPI,32,-91.652284249999994,43.220020650999999,95.1725464,4.8272815,89.9392395,2.2456043,0.0000000,2.9877038
26,UPI,96,-91.820855472000005,43.237176540000000,84.6182861,14.9041452,26.2927151,6.5227089,8.7269726,51.8028603
27,UPI,108,-91.700360267999997,43.225424560000000,99.2879639,0.7120367,71.3130417,3.2473669,0.2732082,24.7275524
28,UPI,3232,-91.652690680999996,43.219422133000002,95.5999222,4.3990974,72.8276672,6.3893757,2.6046841,16.3828812
29,UPI,48,-91.820895332000006,43.237250529000001,81.6328583,18.3671436,48.0847778,1.4141521,14.5001488,32.1339264
30,UPI,16,-91.696421251000004,43.204197504000000,98.2360916,1.7639065,61.2893448,0.8135203,0.4850812,36.1332283
31,UPI,128,-91.725141285000007,43.222807234999998,98.7795792,1.2204174,86.3887863,0.9425466,0.0000014,11.4482517
32,UPI,157,-91.644706799999994,43.495097534000003,70.9686203,28.9041824,28.7696514,3.8053176,21.1315403,38.3936501
33,UPI,35,-91.519187364000004,43.479262204999998,81.0025711,18.9974270,34.4313202,5.8393698,18.2874947,40.7318840
34,UPI,163,-91.504349281000003,43.469928398999997,59.1982231,40.8017120,20.7221489,5.2049680,40.6095695,33.2711029
35,UPI,109,-91.605918463999998,43.464550354000004,74.9416809,25.0583153,0.0531152,0.0523104,24.6779690,74.8362579
36,UPI,29,-91.728179525000002,43.462992536000002,81.0785141,18.9214821,22.5819244,3.9218295,16.0648403,54.5747643
37,UPI,61,-91.598160389000000,43.454839385000000,62.6055145,37.1824532,0.1207526,6.3023195,34.8816223,56.1824417
38,UPI,18,-91.706806564000004,43.451150425999998,85.1287079,14.8607607,43.0702248,3.2313552,6.6808820,38.8271255
39,UPI,130,-91.668968054000004,43.440904947000000,52.8709679,47.1277695,11.2023516,5.6553631,39.1104546,36.0132523
40,UPI,170,-91.654999184000005,43.439610784999999,30.5983658,69.4016342,19.0930767,0.0980898,69.2333908,11.4071989
41,UPI,14,-91.343852072999994,43.468098349999998,25.2236767,74.7287979,0.3643101,0.1114655,72.1483536,24.7479000
42,UPI,1414,-91.343690477999999,43.468211281000002,34.1191406,65.8610153,0.3148152,4.9364219,64.0876160,28.8679028
43,UPI,93,-91.632541962000005,43.402898051999998,41.5553322,58.4438400,12.3707876,0.4038334,57.9315987,28.7807102
44,UPI,149,-91.613228346000000,43.397268558000000,52.6085320,46.2756729,19.7964420,4.3490682,43.5465355,28.4630222
45,UPI,117,-91.393346656999995,43.374162880000000,35.6902733,64.1711426,2.9127879,0.1515671,64.0907898,32.6259155
46,UPI,1,-91.490019134999997,43.336024459999997,58.6448364,41.3490601,7.0419693,10.1226835,39.1816711,41.4801826
47,UPI,85,-91.405696008000007,43.385127025999999,41.6629295,57.5964241,7.2566895,8.9017849,57.5264244,25.5044537
48,UPI,112,-91.802773822999995,43.218216685000002,95.4528275,4.0351295,53.7620773,0.8200572,3.1159301,40.8706894
49,UPI,151,-91.662348356999999,43.263772598999999,84.3685837,15.4623003,57.4563255,2.3278322,13.1353903,24.5844231
50,UPI,153,-92.047274535000000,43.448209585000001,0.1186780,99.8813248,0.1186780,0.0000000,99.8813248,0.0000000
51,UPI,23,-92.064858947999994,43.385244696000001,77.8466034,22.1533966,58.2827911,10.7333879,3.3422244,8.8304253
52,UPI,25,-92.139674666000005,43.392441159999997,93.1652756,6.7611160,82.6107407,5.5542722,0.3393331,5.0002637
53,UPI,28,-91.815026599000007,43.300108092999999,76.0073166,23.4498863,39.6219330,4.2778640,12.1601791,32.1075211
54,UPI,70,-91.414726973000000,43.477778110000003,37.6862144,62.3137856,7.2748556,3.8329310,62.1048622,26.5784283
55,UPI,73,-91.389774282000005,43.373335824999998,58.2029190,41.7754250,30.6348381,1.3671564,40.6795349,26.2009258
56,UPI,78,-91.365255443999999,43.422717765000002,23.7121487,76.2878494,9.3273573,3.7942924,74.7585602,10.5904980
57,UPI,7878,-91.367697672999995,43.422198885999997,0.5363037,99.4636993,0.1374996,0.0023099,93.3640213,0.3964942
