OBJECTID,HUC8,Site,POINT_X,POINT_Y,HAiFLS_alt,HAiFLS_alt2,HAiFLS_bmp1,HAiFLS_bmp2,HAiFLS_ag1,HAiFLS_ag2,HAiFLS_dev1,HAiFLS_dev2,HAiFLS_for1,HAiFLS_for2,HAiFLS_pas1,HAiFLS_pas2
1,YEL,103,-91.273432362999998,43.402117144000002,,5.2930517,,94.7069473,,0.2447607,,0.0716737,,94.6966782,,4.9766173
2,YEL,29,-91.465581993000001,43.287073178000000,78.7865143,,18.3821888,,14.3307648,,2.5712824,,11.3316250,,61.8844643,
3,YEL,77,-91.449919273000006,43.245336864999999,91.3974228,,7.7862539,,49.0854378,,10.9829483,,3.0320177,,31.3290348,
4,YEL,105,-91.473082641999994,43.195699763000000,,74.8116760,,25.1883221,,39.5021591,,1.9648181,,22.9771500,,33.3446999
5,YEL,33,-91.452798637000001,43.164952647000000,78.0066986,,21.9932995,,1.2432500,,27.2963181,,19.2373295,,49.4671326,
6,YEL,73,-91.635416461999995,43.137725494000001,92.8608704,,7.1390204,,56.1170578,,4.2284298,,1.6613392,,32.5153809,
7,YEL,36,-91.387441534000004,43.135438792999999,49.8663330,,49.9774475,,27.0596352,,0.7919729,,34.5244102,,22.0147266,
8,YEL,25,-91.658020351999994,43.126126761000002,98.2294464,,1.7705498,,69.1881485,,14.9073629,,0.0000000,,14.1339350,
9,YEL,57,-91.646768515000005,43.125376400999997,97.7161102,,2.2838922,,55.5800171,,0.3201689,,0.6838439,,41.8159218,
10,YEL,65,-91.610401636999995,43.131008069000004,91.6904831,,7.9753165,,57.5511398,,5.3727636,,4.9131527,,28.7665825,
11,YEL,120,-91.376962055000007,43.130154937000000,,53.3406868,,46.4132423,,23.1831112,,6.3725605,,41.5897789,,23.7850151
12,YEL,129,-91.513774432000005,43.080567463000001,,91.8724976,,8.1275063,,47.2624512,,7.2053204,,3.2978070,,37.4047203
13,YEL,113,-91.493903021999998,43.076832994000000,,94.8393326,,5.1606674,,77.4987411,,0.1666698,,3.8025002,,17.1739254
14,YEL,52,-91.454559058000001,43.072198012000001,80.2501678,,10.3867998,,25.9506397,,0.5134071,,9.0536451,,53.7861214,
15,YEL,39,-91.215335679000006,43.335715385000000,8.0743074,,91.9256897,,0.0000000,,0.9510559,,2.6882932,,7.1232514,
16,YEL,150,-91.202899475999999,43.238361259000001,,32.7077255,,67.2903748,,0.3048012,,0.0014220,,59.7135811,,32.4015007
17,YEL,41,-91.648984732000002,43.163146728000001,88.8831940,,10.8288403,,60.5837097,,3.2514522,,8.2335100,,25.0480309,
18,YEL,101,-91.733848152999997,43.149657335999997,,94.3425598,,5.6470518,,82.5605850,,3.0007019,,0.0014899,,8.7812729
19,YEL,56,-91.359924413000002,43.133510510000001,46.1051598,,53.6140747,,21.1910534,,0.5627063,,51.2126541,,24.3513985,
20,YEL,17,-91.494172309000007,43.077177628000001,95.0303802,,4.9696226,,63.1716270,,3.8401604,,1.6840376,,28.0185890,
