HUC8,site,species,length,weight
UPI,1,BRT,71,3
UPI,1,BRT,78,7
UPI,1,BRT,84,7
UPI,1,BRT,76,4
UPI,1,BRT,77,5
UPI,1,BRT,65,3
UPI,1,BRT,251,210
UPI,1,BRT,270,234
UPI,1,BRT,270,247
UPI,1,BRT,223,128
UPI,1,BRT,242,175
UPI,1,BRT,292,330
UPI,1,BRT,255,241
UPI,1,BRT,253,182
UPI,10,BRT,177,53
UPI,12,BRT,201,97
UPI,12,BRT,179,63
UPI,12,BRT,132,23
UPI,12,BKT,257,191
UPI,12,BRT,166,54
UPI,14,BRT,271,241
UPI,14,BRT,222,133
UPI,14b,BRT,231,131
UPI,14b,BRT,241,149
UPI,14b,BRT,226,123
UPI,14b,BRT,228,132
UPI,14b,BRT,209,105
UPI,14b,BRT,193,75
UPI,14b,BRT,235,161
UPI,14b,BRT,159,47
UPI,14b,BRT,189,78
UPI,14b,BRT,201,101
UPI,14b,BRT,174,64
UPI,14b,BRT,410,700
UPI,14b,BRT,372,570
UPI,14b,BRT,350,456
UPI,14b,BRT,416,779
UPI,14b,BRT,224,125
UPI,14b,BRT,233,151
UPI,14b,BRT,186,88
UPI,14b,BRT,240,167
UPI,14b,BRT,204,111
UPI,18,BRT,191,83
UPI,18,BRT,200,90
UPI,22,BRT,372,504
UPI,22,BRT,287,230
UPI,22,BRT,295,281
UPI,22,BRT,152,38
UPI,22,BRT,140,29
UPI,22,BRT,154,48
UPI,22,BRT,243,126
UPI,22,BRT,290,247
UPI,22,BRT,271,179
UPI,22,BRT,339,322
UPI,22,BRT,369,442
UPI,22,BRT,275,194
UPI,22,BRT,285,205
UPI,22,BRT,269,176
UPI,22,BRT,321,300
UPI,22,BRT,302,256
UPI,22,BRT,260,138
UPI,22,BRT,279,206
UPI,22,BRT,346,346
UPI,22,BRT,196,71
UPI,22,BRT,164,52
UPI,22,BRT,150,35
UPI,22,BRT,124,20
UPI,22,BRT,248,129
UPI,22,BRT,305,268
UPI,22,BRT,378,469
UPI,22,BRT,371,403
UPI,22,BRT,340,349
UPI,22,BRT,281,215
UPI,22,BRT,251,142
UPI,22,BRT,231,120
UPI,22,BRT,251,146
UPI,22,BRT,260,167
UPI,22,BRT,281,206
UPI,22,BRT,241,165
UPI,22,BRT,264,147
UPI,22,BRT,220,100
UPI,22,BRT,167,46
UPI,22,BRT,151,30
UPI,22,BRT,146,30
UPI,22,BRT,126,22
UPI,26,BRT,345,449
UPI,26,BRT,142,27
UPI,26,BRT,444,929
UPI,26,BRT,121,20
UPI,35,BRT,272,219
UPI,35,BRT,28,225
UPI,35,BRT,257,177
UPI,35,BRT,255,158
UPI,35,BRT,270,194
UPI,35,BRT,173,60
UPI,35,BRT,315,345
UPI,35,BRT,156,42
UPI,35,BRT,196,91
UPI,35,BRT,193,83
UPI,35,BRT,225,130
UPI,35,BKT,76,3
UPI,35,BKT,80,6
UPI,35,BRT,264,182
UPI,35,BRT,312,332
UPI,35,BRT,324,358
UPI,35,BRT,170,51
UPI,35,BRT,178,56
UPI,35,BRT,145,31
UPI,35,BRT,115,15
UPI,35,BRT,146,37
UPI,35,BRT,349,418
UPI,35,BRT,370,548
UPI,35,BRT,270,199
UPI,35,BRT,170,60
UPI,35,BRT,152,44
UPI,35,BRT,136,27
UPI,35,BRT,177,64
UPI,35,BRT,125,15
UPI,35,BRT,126,21
UPI,35,BRT,222,127
UPI,35,BRT,178,66
UPI,35,BRT,141,38
UPI,35,BRT,172,67
UPI,35,BRT,151,48
UPI,35,BRT,173,65
UPI,35,BRT,189,82
UPI,35,BRT,291,254
UPI,35,BRT,157,42
UPI,35,BRT,153,36
UPI,35,BRT,185,72
UPI,35,BRT,163,49
UPI,35,BRT,152,42
UPI,35,BRT,156,44
UPI,35,BRT,150,40
UPI,35,BRT,244,157
UPI,35,BRT,300,279
UPI,35,BRT,340,400
UPI,35,BRT,343,476
UPI,35,BRT,335,417
UPI,35,BRT,345,462
UPI,35,BRT,294,271
UPI,35,BRT,281,251
UPI,35,BRT,203,106
UPI,35,BRT,240,168
UPI,35,BRT,254,174
UPI,35,BRT,152,57
UPI,35,BRT,272,219
UPI,35,BRT,165,51
UPI,35,BRT,165,49
UPI,35,BRT,305,298
UPI,35,BRT,291,244
UPI,35,BRT,240,166
UPI,35,BRT,370,458
UPI,35,BRT,320,331
UPI,35,BKT,312,298
UPI,35,BKT,255,169
UPI,35,BRT,291,252
UPI,35,BRT,325,308
UPI,35,BRT,280,218
UPI,35,BRT,355,438
UPI,35,BRT,333,404
UPI,35,BRT,270,200
UPI,35,BRT,211,90
UPI,35,BRT,145,30
UPI,35,BRT,145,33
UPI,35,BRT,186,79
UPI,35,BRT,195,85
UPI,35,BRT,293,251
UPI,35,BRT,215,93
UPI,35,BRT,135,125
UPI,35,BRT,260,175
