HUC8,site,reach,species,30_60,60_90,90_120,120_150,150_180,180_210,210_240,240plus
UPI,8,1,CRC,5,9,23,10,2,3,,
UPI,8,1,WSU,,,3,3,14,8,6,5
UPI,8,1,CSR,4,28,12,,,,,
UPI,8,1,CSH,,,8,3,,,,
UPI,8,1,GRH,,,,,,,,4
UPI,8,1,GSF,2,4,1,,,,,
UPI,8,1,WBD,,3,1,,,,,
UPI,8,1,SRD,1,,,,,,,
UPI,8,1,FTD,,1,,,,,,
UPI,8,1,LND,,2,,,,,,
UPI,8,1,BNM,6,28,,,,,,
UPI,8,1,FHM,,5,,,,,,
UPI,8,1,SSH,1,5,,,,,,
UPI,8,1,JOD,2,1,,,,,,
UPI,8,2,CSH,,2,,,,,,
UPI,8,2,CSR,,3,49,10,,,,
UPI,8,2,WBD,,1,,,,,,
UPI,8,2,CRC,,2,2,2,,,,
UPI,8,2,FHM,,1,,,,,,
UPI,8,2,SSH,,,1,,,,,
UPI,8,2,WSU,,,1,,,,,
UPI,8,2,JOD,6,2,,,,,,
UPI,8,3,CRC,,1,3,1,2,,,
UPI,8,3,CSR,,5,12,3,8,2,,2
UPI,8,3,WSU,,,1,,5,6,6,5
UPI,8,3,CSH,,1,4,3,,,,
UPI,8,3,WBD,,3,1,,,,,
UPI,8,3,FHM,,1,,,,,,
UPI,8,3,JOD,,2,,,,,,
UPI,8,3,GRH,,,,,,,,1
UPI,13,1,CRC,,,4,15,17,,1,
UPI,13,1,WSU,,,,,,2,,
UPI,13,1,BSB,7,,,,,,,
UPI,13,1,FHM,,3,,,,,,
UPI,13,1,JOD,4,8,,,,,,
UPI,13,1,SRD,,1,,,,,,
UPI,13,1,BNM,,1,,,,,,
UPI,13,2,BSB,11,,,,,,,
UPI,13,2,CRC,,,,8,1,2,,
UPI,13,2,WSU,,,,,,1,,
UPI,13,2,JOD,1,,,,,,,
UPI,13,3,WBD,,,1,,,,,
UPI,13,3,BSB,7,,,,,,,
UPI,13,3,WSU,,,,,,1,,
UPI,13,3,CRC,,,1,4,1,1,,
UPI,18,1,BSB,28,24,,,,,,
UPI,18,1,SLS,,3,,,,,,
UPI,18,2,BSB,18,17,,,,,,
UPI,18,2,SLS,,5,,,,,,
UPI,18,3,BSB,28,14,1,,,,,
UPI,18,3,SLS,,1,,,,,,
UPI,26,1,WSU,,,3,3,13,13,2,1
UPI,26,1,CRC,,7,20,9,7,4,1,
UPI,26,1,WBD,1,19,2,,,,,
UPI,26,1,FTD,21,8,,,,,,
UPI,26,1,CSR,14,58,50,3,,,,
UPI,26,1,BNM,5,8,,,,,,
UPI,26,1,CSH,,2,4,1,,,,
UPI,26,1,SRD,,2,,,,,,
UPI,26,1,JOD,5,1,,,,,,
UPI,26,1,HHC,,1,,,,,,
UPI,26,2,HHC,,,1,,,,,
UPI,26,2,CSH,,8,10,5,1,,,
UPI,26,2,WSU,,,,5,7,2,3,3
UPI,26,2,SRD,,5,5,,,,,
UPI,26,2,CRC,,6,14,11,4,2,,
UPI,26,2,CSR,4,15,26,7,1,,,
UPI,26,2,LND,,1,1,,,,,
UPI,26,2,JOD,3,4,,,,,,
UPI,26,2,BNM,,5,,,,,,
UPI,26,2,WBD,,5,3,,,,,
UPI,26,2,FTD,4,3,,,,,,
UPI,26,3,WSU,,,1,6,15,5,2,3
UPI,26,3,CRC,,2,4,13,4,,,
UPI,26,3,CSH,,9,17,3,3,,,
UPI,26,3,CSR,1,14,48,12,4,,,
UPI,26,3,SRD,,15,,,,,,
UPI,26,3,BNM,,11,,,,,,
UPI,26,3,WBD,3,4,2,,,,,
UPI,26,3,FTD,3,1,,,,,,
UPI,26,3,JOD,1,1,,,,,,
UPI,26,3,BMS,,1,,,,,,
UPI,35,1,Cottus,37,38,6,,,,,
UPI,35,2,Cottus,19,21,4,,,,,
UPI,35,3,Cottus,29,23,7,,,,,
UPI,41,1,CSR,,,,1,,,,
UPI,41,1,BSB,1,,,,,,,
UPI,41,2,WSU,,,,,,,1,
UPI,41,2,JOD,1,,,,,,,
UPI,41,3,BNM,,,1,,,,,
UPI,41,3,WSU,,1,,,,1,,
UPI,41,3,CSR,,,1,,,,,
UPI,41,3,CRC,,,1,,,,,
UPI,41,3,SRD,,1,,,,,,
