Trout Presence,SGCN Presence,Richness,Temp
1,1,8,16.9
1,1,8,13.9
1,1,5,14.9
1,1,13,22.2
0,1,7,16
0,1,14,12.9
1,1,4,11.7
0,1,8,15.9
1,1,3,na
1,1,13,18.9
1,1,8,13.9
1,1,3,12.2
0,1,8,21.7
0,1,6,15
1,1,3,15.9
1,1,5,15.7
0,1,9,17.6
0,1,8,17.7
1,1,3,13.6
1,1,3,12.4
0,1,13,20
1,1,4,11.2
0,1,6,14.5
1,1,5,13.1
1,1,5,15.4
1,1,2,10.5
1,1,8,14.8
1,1,2,16
0,1,7,17.5
1,1,8,13.5
1,1,4,15.7
0,1,3,12.5
0,1,5,15.4
0,1,12,19.2
1,1,6,14.3
1,1,9,18
0,1,10,20
1,1,9,13.9
1,1,13,14.9
1,1,12,21.2
0,1,2,18.3
1,1,2,17.9
0,1,9,17.7
1,1,4,15.6
0,1,8,19
1,1,7,14.2
0,1,7,16.9
1,1,10,16
1,1,9,19.6
1,1,5,16
0,1,6,15.3
0,0,1,16.3
0,0,1,12.2
1,0,6,16.9
1,0,7,13.1
0,0,1,10.6
1,0,4,13.4
0,0,4,14.6
1,0,2,16.6
0,0,6,10.9
0,0,0,14.2
0,0,2,15.3
0,0,3,19.7
1,0,3,11.8
0,0,3,14.3
1,0,2,16.2
0,0,5,16.1
0,0,4,15.6
1,0,7,na
1,0,7,14.3
0,0,1,15.7
0,0,1,14.6
1,0,3,12.2
1,0,3,13.5
1,0,3,14.7
0,0,4,18.1
1,0,2,13.4
1,0,8,17.1
1,0,6,13.4
1,0,7,23.2
0,0,0,13.1
0,0,1,25.7
0,0,2,12.7
0,0,5,19.6
0,0,2,17.1
1,0,8,16.7
1,0,4,11.5
1,0,4,12.5
