Group,Temp,
0,11.7,
0,13.9,
0,12.2,
0,15.9,
0,15.7,
0,12.4,
0,11.2,
0,13.1,
0,15.4,
0,10.5,
0,14.8,
0,15.7,
0,15.6,
0,14.9,
1,16.9,
1,13.1,
1,13.4,
1,16.6,
1,18.9,
1,11.8,
1,16.2,
1,13.6,
1,14.3,
1,16,
1,12.2,
1,13.5,
1,14.7,
1,13.5,
1,13.4,
1,17.1,
1,13.4,
1,23.2,
1,14.3,
1,18,
1,13.9,
1,14.9,
1,21.2,
1,17.9,
1,14.2,
1,16,
1,19.6,
1,16.7,
1,16,
1,11.5,
1,12.5,
1,16.9,
1,13.9,
1,22.2,
2,12.9,
2,10.6,
2,15.9,
2,14.6,
2,10.9,
2,14.2,
2,15.3,
2,19.7,
2,21.7,
2,15,
2,14.3,
2,16.1,
2,15.6,
2,17.6,
2,17.7,
2,20,
2,15.7,
2,14.5,
2,14.6,
2,18.1,
2,17.5,
2,13.1,
2,25.7,
2,12.5,
2,15.4,
2,19.2,
2,20,
2,18.3,
2,17.7,
2,12.7,
2,19.6,
2,19,
2,16.9,
2,17.1,
2,15.3,
2,16.3,
2,12.2,
2,16,
