Site #,T1: BKT,T2: BKT,T3: BKT,HUC8,temp,ph,do,t1_eff,t2_eff,t3_eff,effsec,BRTcpue(fish/min),t1_avwid,t2_avwid,t3_avwid,avwid,sdwid,t1_avdep,t2_avdep,t3_avdep,avdep,sdDep,t1_maxdep,t2_maxdep,t3_maxdep,maxdep,W/D ,pctclay,pctsilt,pctsand,pctfines,pctgrvl,pctcbbl,pctbldr,pctrock,subprop,t1_flow,t2_flow,t3_flow,mFlow,sdFlow,t1_maxflow,t2_maxflow,t3_maxflow,maxflow,pctRiffle,pctrun,t1_pctslow,t2_pctslow,t3_pctslow,pctslow,machabprop,AVembed,pctEmb1,t1_LWD,t2_LWD,t3_LWD,LWD,FWD,t1_under,t2_under,t3_under,under,t1_boulder,t2_boulder,t3_boulder,boulder,t1_depool,t2_depool,t3_depool,depool,bnkahz%,bnkamd%,bnkavr%,Avbnka,bnkbare%,AvChnlOpen%,chshdSD%,AvChnlShd%,extra1,extra2,extra3,extra4,extra5
1,0,0,0,0,16.9,7.81,11.79,537,575,351,1463,0.574162679,2.7875,3.2875,3.3,3.125,0.926071647,0.2225,0.376875,0.413846154,0.332666667,0.205972196,0.32,1,0.92,1,9.393787575,2.222222222,26.66666667,24.44444444,53.33333333,2.222222222,42.22222222,0,44.44444444,42.22222222,0.225625,0.12625,0.173076923,0.175111111,0.182366043,0.58,0.5,0.68,0.68,50,0.375,0,50,62.5,37.5,37.5,0.833333333,25,0,0.375,0,0.130434783,0.304347826,0.5,0.5,0.333333333,0.454545455,0.25,0.25,0,0.181818182,0.75,2.25,1,1.363636364,4.166666667,95.83333333,0,37.54166667,1.333333333,72.17806041,12.92291695,27.82193959,0,0,0,0,0
8,0,0,0,0,12.9,8.6,11.64,2133,1487,1810,5430,0,6.9375,7.0125,6.8,6.916666667,0.494901542,0.447916667,0.291666667,0.306875,0.360517241,0.144105498,0.7,0.46,0.54,0.7,19.18539774,0,7.01754386,24.56140351,31.57894737,8.771929825,57.89473684,0,66.66666667,57.89473684,0.250909091,0.332222222,0.361875,0.302931034,0.202969262,0.83,0.75,0.75,0.83,20.83333333,0.695652174,25,0,0,8.333333333,66.66666667,0.666666667,16.66666667,0.75,0,0.25,0.333333333,0.875,1.75,0,0.25,0.666666667,0,0,0.25,0.083333333,2.25,0.25,1.25,1.25,4.166666667,58.33333333,33.33333333,50,1.75,78.52852853,11.44912834,21.47147147,0,0,0,0,0
10,0,0,0,0,13.1,9.4,13.5,1310,1447,1067,3824,0.015690377,3.9625,3.95,3.5625,3.825,0.418330013,0.542916667,0.454583333,0.38875,0.462083333,0.122208982,0.7,0.68,0.61,0.7,8.277727683,1.388888889,55.55555556,13.88888889,70.83333333,8.333333333,18.05555556,2.777777778,29.16666667,55.55555556,0.247272727,0.277619048,0.446818182,0.31915493,0.191816478,0.39,0.46,1.01,1.01,4.166666667,0.782608696,0,50,0,16.66666667,75,0,0,0,0,0,0,0.083333333,3.5,2,1.75,2.416666667,1.25,0,0,0.416666667,3.25,3.25,1.75,2.75,4.166666667,75,20.83333333,44.58333333,1.875,97.2972973,3.569713874,2.702702703,0,0,0,0,0
11,0,0,0,0,10.6,8.45,11.24,496,356,426,1278,0,1.7875,1.9375,2.5875,2.104166667,0.602515861,0.09125,0.143333333,0.085384615,0.107878788,0.043139134,0.13,0.24,0.15,0.24,19.50491573,3.03030303,9.090909091,0,12.12121212,0,87.87878788,0,87.87878788,87.87878788,0.4675,0.213333333,0.363076923,0.333939394,0.188612357,0.69,0.44,0.65,0.69,83.33333333,0.166666667,0,0,0,0,83.33333333,0.583333333,8.333333333,0.375,1,0.5,0.625,1.166666667,0.5,0.25,0,0.25,0.25,0,0.75,0.333333333,0.25,0.25,0,0.166666667,41.66666667,58.33333333,0,21.33333333,0.416666667,11.03603604,9.772775596,88.96396396,0,0,0,0,0
12,0,1,0,0,11.7,9.02,15.53,350,339,437,1126,0.213143872,1.65,2.1875,2.3375,2.058333333,0.946350733,0.11,0.250625,0.19,0.183541667,0.157324567,0.36,0.59,0.58,0.59,11.21452894,0,27.65957447,0,27.65957447,6.382978723,65.95744681,0,72.34042553,65.95744681,0.162,0.061333333,0.138666667,0.114375,0.191132195,0.93,0.52,0.6,0.93,41.66666667,0.333333333,0,37.5,37.5,25,41.66666667,1.5,41.66666667,0,0,0,0,0.083333333,1,2,0.5,1.166666667,0.25,0.25,0,0.166666667,0.75,2.75,1.75,1.75,20.83333333,45.83333333,33.33333333,43.33333333,1.416666667,68.69369369,13.5190342,31.30630631,0,0,0,0,0
13,0,0,0,0,15.9,8.1,9.74,1054,633,599,2286,0,4.825,2.3875,3.7625,3.658333333,1.49460382,0.454666667,0.33,0.53375,0.439375,0.208573303,0.78,0.46,0.88,0.88,8.326220958,0,37.5,6.25,43.75,6.25,50,0,56.25,50,0.092857143,0.28375,0.16375,0.168125,0.154323445,0.29,0.43,0.6,0.6,25,0.291666667,62.5,12.5,62.5,45.83333333,37.5,0.75,16.66666667,0.75,0,0,0.25,0.958333333,0.25,0.5,0,0.25,0,0,0,0,2.5,0,2.5,1.666666667,0,83.33333333,16.66666667,44.375,2.708333333,37.53753754,15.66575479,62.46246246,0,0,0,0,0
14,0,0,0,0,13.4,8.68,11.84,417,429,199,1045,0.114832536,2.5875,2.8125,2.325,2.575,0.710327542,0.18625,0.355625,0.174666667,0.240212766,0.15973469,0.36,0.62,0.28,0.62,10.71966342,8.695652174,4.347826087,34.7826087,47.82608696,23.91304348,28.26086957,0,52.17391304,34.7826087,0.32875,0.18125,0.218,0.243191489,0.147222198,0.74,0.53,0.42,0.74,29.16666667,0.583333333,0,37.5,0,12.5,58.33333333,0.75,25,0,0,0,0,0.583333333,0,0.5,0.5,0.333333333,0.25,0,0,0.083333333,0.25,2.25,0,0.833333333,12.5,75,12.5,36.875,0.583333333,81.68168168,12.10693098,18.31831832,0,0,0,0,0
16,0,0,0,0,14.6,8.06,10.55,518,323,317,1158,0,1.8125,1.575,1.225,1.5375,0.619826413,0.266666667,0.303333333,0.276666667,0.282222222,0.107094381,0.42,0.5,0.44,0.5,5.447834646,0,61.11111111,0,61.11111111,2.777777778,36.11111111,0,38.88888889,61.11111111,0.261818182,0.204545455,0.241818182,0.23,0.156934927,0.61,0.54,0.46,0.61,12.5,0.833333333,12.5,0,0,4.166666667,83.33333333,1.333333333,33.33333333,0.125,0,0,0.041666667,0.041666667,0.5,0.25,0.5,0.416666667,0,0,0,0,0.75,0.5,0,0.416666667,20.83333333,29.16666667,50,49.375,1.375,78.57142857,15.7551666,21.42857143,0,0,0,0,0
18,0,0,0,0,15.6,8.85,14.3,781,739,531,2051,0.058508045,2.9875,2.7375,2.975,2.9,0.699689372,0.150625,0.1425,0.184375,0.159166667,0.100060266,0.44,0.44,0.32,0.44,18.21989529,0,47.91666667,2.083333333,50,4.166666667,43.75,2.083333333,50,47.91666667,0.049375,0.138125,0.011875,0.066458333,0.122985721,0.25,0.61,0.05,0.61,29.16666667,0.125,50,37.5,87.5,58.33333333,58.33333333,0.666666667,25,0.5,0.125,0,0.208333333,0.458333333,0.25,0,0,0.083333333,1.25,1.5,0,0.916666667,2.5,1.5,4,2.666666667,20.83333333,70.83333333,8.333333333,29.79166667,1.625,33.25825826,14.39209991,66.74174174,0,0,0,0,0
22,0,0,0,0,16.6,8.2,10.63,334,547,317,1198,2.053422371,1.9125,2.45,2.1875,2.183333333,0.447861262,0.21,0.249090909,0.323,0.260322581,0.09981596,0.28,0.52,0.46,0.52,8.387030153,0,22.58064516,9.677419355,32.25806452,25.80645161,41.93548387,0,67.74193548,41.93548387,0.368888889,0.283,0.192222222,0.268387097,0.156845928,0.6,0.72,0.36,0.72,37.5,0.458333333,0,12.5,37.5,16.66666667,45.83333333,0.833333333,25,0.375,0.125,0,0.166666667,0.25,1.5,1.25,1.5,1.416666667,0,0,0.5,0.166666667,0,0,0.5,0.166666667,0,95.83333333,4.166666667,40,0.791666667,96.3963964,2.994945237,3.603603604,0,0,0,0,0
