Watershed (HUC 8),Site #,LND,LND_ab,SRD,SRD_ab,Sculpins,Sculpins_ab,Top Carnivore,Effort (sec),eff(min),TC_FPerMin,temp,ph,do,BRTcpue(fish/min),avwid,sdwid,avdep,sdDep,maxdep,W/D ,pctclay,pctsilt,pctsand,pctfines,pctgrvl,pctcbbl,pctbldr,pctrock,subprop,mFlow,sdFlow,maxflow,pctRiffle,pctrun,pctslow,machabprop,AVembed,pctEmb1,LWD,FWD,under,boulder,depool,bnkahz%,bnkamd%,bnkavr%,Avbnka,bnkbare%,AvChnlOpen%,chshdSD%,AvChnlShd%
Upper Iowa River,1,0,0,0,0,0,0,14,1463,24.383,0.574,16.9,7.81,11.79,0.574,3.125,0.926,0.333,0.206,1,9.394,2.222,26.667,24.444,53.333,2.222,42.222,0,44.444,42.222,0.175,0.182,0.68,50,0.375,37.5,37.5,0.833,25,0.13,0.304,0.455,0.182,1.364,4.167,95.833,0,37.542,1.333,72.178,12.923,27.822
Upper Iowa River,8,1,2,1,1,0,0,7,5430,90.500,0.077,12.9,8.6,11.64,0,6.917,0.495,0.361,0.144,0.7,19.185,0,7.018,24.561,31.579,8.772,57.895,0,66.667,57.895,0.303,0.203,0.83,20.833,0.696,8.333,66.667,0.667,16.667,0.333,0.875,0.667,0.083,1.25,4.167,58.333,33.333,50,1.75,78.529,11.449,21.471
Upper Iowa River,10,0,0,0,0,0,0,1,3824,63.733,0.016,13.1,9.4,13.5,0.016,3.825,0.418,0.462,0.122,0.7,8.278,1.389,55.556,13.889,70.833,8.333,18.056,2.778,29.167,55.556,0.319,0.192,1.01,4.167,0.783,16.667,75,0,0,0,0.083,2.417,0.417,2.75,4.167,75,20.833,44.583,1.875,97.297,3.57,2.703
Upper Iowa River,11,0,0,0,0,0,0,0,1278,21.300,0.000,10.6,8.45,11.24,0,2.104,0.603,0.108,0.043,0.24,19.505,3.03,9.091,0,12.121,0,87.879,0,87.879,87.879,0.334,0.189,0.69,83.333,0.167,0,83.333,0.583,8.333,0.625,1.167,0.25,0.333,0.167,41.667,58.333,0,21.333,0.417,11.036,9.773,88.964
Upper Iowa River,12,0,0,0,0,0,0,5,1126,18.767,0.266,11.7,9.02,15.53,0.213,2.058,0.946,0.184,0.157,0.59,11.215,0,27.66,0,27.66,6.383,65.957,0,72.34,65.957,0.114,0.191,0.93,41.667,0.333,25,41.667,1.5,41.667,0,0.083,1.167,0.167,1.75,20.833,45.833,33.333,43.333,1.417,68.694,13.519,31.306
Upper Iowa River,13,0,0,1,1,0,0,0,2286,38.100,0.000,15.9,8.1,9.74,0,3.658,1.495,0.439,0.209,0.88,8.326,0,37.5,6.25,43.75,6.25,50,0,56.25,50,0.168,0.154,0.6,25,0.292,45.833,37.5,0.75,16.667,0.25,0.958,0.25,0,1.667,0,83.333,16.667,44.375,2.708,37.538,15.666,62.462
Upper Iowa River,14,0,0,0,0,0,0,2,1045,17.417,0.115,13.4,8.68,11.84,0.115,2.575,0.71,0.24,0.16,0.62,10.72,8.696,4.348,34.783,47.826,23.913,28.261,0,52.174,34.783,0.243,0.147,0.74,29.167,0.583,12.5,58.333,0.75,25,0,0.583,0.333,0.083,0.833,12.5,75,12.5,36.875,0.583,81.682,12.107,18.318
Upper Iowa River,16,0,0,0,0,0,0,0,1158,19.300,0.000,14.6,8.06,10.55,0,1.538,0.62,0.282,0.107,0.5,5.448,0,61.111,0,61.111,2.778,36.111,0,38.889,61.111,0.23,0.157,0.61,12.5,0.833,4.167,83.333,1.333,33.333,0.042,0.042,0.417,0,0.417,20.833,29.167,50,49.375,1.375,78.571,15.755,21.429
Upper Iowa River,18,0,0,0,0,1,9,2,2051,34.183,0.059,15.6,8.85,14.3,0.059,2.9,0.7,0.159,0.1,0.44,18.22,0,47.917,2.083,50,4.167,43.75,2.083,50,47.917,0.066,0.123,0.61,29.167,0.125,58.333,58.333,0.667,25,0.208,0.458,0.083,0.917,2.667,20.833,70.833,8.333,29.792,1.625,33.258,14.392,66.742
Upper Iowa River,22,0,0,0,0,0,0,41,1198,19.967,2.053,16.6,8.2,10.63,2.053,2.183,0.448,0.26,0.1,0.52,8.387,0,22.581,9.677,32.258,25.806,41.935,0,67.742,41.935,0.268,0.157,0.72,37.5,0.458,16.667,45.833,0.833,25,0.167,0.25,1.417,0.167,0.167,0,95.833,4.167,40,0.792,96.396,2.995,3.604
Upper Iowa River,26,1,2,1,27,0,0,4,7215,120.250,0.033,18.9,8.88,10.58,0.033,5.729,1.836,0.281,0.229,1.5,20.355,0,20.833,0,20.833,0,77.083,2.083,79.167,77.083,0.376,0.335,1.34,29.167,0.35,25,29.167,0.833,16.667,0.167,0.542,0.167,0.333,1,50,41.667,8.333,21.833,0.917,41.517,14.484,58.483
Upper Iowa River,27,0,0,0,0,0,0,0,5309,88.483,0.000,10.9,10.2,12.7,0,4.045,0.771,0.39,0.146,0.72,10.371,0,29.167,4.167,33.333,4.167,62.5,0,66.667,62.5,0.407,0.325,1.46,16.667,0.714,8.333,62.5,1.167,33.333,0.417,0.708,0.75,0.583,1.167,12.5,54.167,33.333,40.625,1.292,35.285,13.829,64.715
Upper Iowa River,29,0,0,0,0,0,0,0,884,14.733,0.000,14.2,9.43,10.97,0,1.5,0.547,0.182,0.131,0.68,8.228,0,19.231,0,19.231,7.692,73.077,0,80.769,73.077,0.129,0.121,0.49,29.167,0.333,37.5,33.333,1.75,58.333,0.167,0.208,0,0.25,0.667,8.333,75,16.667,37.5,0.583,52.027,13.478,47.973
Upper Iowa River,32,0,0,0,0,0,0,0,1231,20.517,0.000,15.3,8.32,10.88,0,1.908,0.529,0.29,0.114,0.56,6.58,0,16.667,0,16.667,20.833,62.5,0,83.333,62.5,0.43,0.226,0.99,20.833,0.792,0,79.167,1.417,41.667,0.375,0.292,1.417,0.083,0.083,4.167,45.833,50,50.625,0.292,58.333,15.894,41.667
Upper Iowa River,34,0,0,0,0,1,10,109,3166,52.767,2.066,13.9,8.39,12.09,0.303,3.263,1.437,0.301,0.182,0.84,10.855,0,8.571,5.714,14.286,2.857,77.143,5.714,85.714,77.143,0.117,0.133,0.57,16.667,0.333,50,33.333,1.083,25,0.25,0.542,0.417,0.833,1.083,8.333,62.5,29.167,42.917,1.042,28.153,13.196,71.847
Upper Iowa River,35,0,0,0,0,1,184,174,5838,97.300,1.788,12.2,8.45,12.21,1.747,5.925,2.702,0.347,0.272,1.5,17.073,0,13.636,0,13.636,6.818,75,4.545,86.364,75,0.196,0.19,0.65,29.167,0.375,33.333,37.5,1.167,25,0.083,0.5,0.333,0.917,0.75,25,66.667,4.167,28.13,0.625,71.94,14.004,28.06
Upper Iowa River,36,0,0,0,0,0,0,0,830,13.833,0.000,19.7,8.72,11.66,0,2.375,0.901,0.251,0.135,0.62,9.478,0,11.765,47.059,58.824,23.529,17.647,0,41.176,47.059,0.312,0.196,0.83,12.5,0.792,8.333,79.167,0.5,25,0,0.667,0.583,0.083,0.167,4.167,58.333,37.5,46.875,0.917,89.114,10.35,10.886
Upper Iowa River,38,0,0,0,0,0,0,37,1887,31.450,1.176,11.8,8.55,10.5,1.145,2.338,0.527,0.405,0.154,0.7,5.774,0,43.243,0,43.243,18.919,37.838,0,56.757,43.243,0.238,0.126,0.55,8.333,0.833,8.333,83.333,0.333,16.667,0.083,0.417,2.083,0,1.167,0,75,25,46.667,0.833,95.031,2.841,4.969
Upper Iowa River,41,0,0,1,1,0,0,0,859,14.317,0.000,21.7,8.92,15.05,0,2.721,0.928,0.254,0.145,0.76,10.724,0,60,0,60,0,40,0,40,60,0.109,0.158,0.57,16.667,0.292,54.167,37.5,0.75,25,0,0.125,0,0,1.083,8.333,75,16.667,38.958,1.708,57.508,14.632,42.492
Upper Iowa River,48,1,17,0,0,0,0,0,1959,32.650,0.000,15,8.58,14.08,0,3.463,1.05,0.22,0.133,0.66,15.707,0,11.111,0,11.111,6.667,82.222,0,88.889,82.222,0.234,0.205,0.76,41.667,0.458,12.5,45.833,1.667,50,0.5,0.167,0.25,0.083,0.75,16.667,33.333,50,45.625,1.083,33.934,17.049,66.066
Upper Iowa River,57,0,0,0,0,0,0,0,404,6.733,0.000,14.3,7.91,8.19,0,0.95,0.301,0.215,0.084,0.36,4.41,0,54.167,20.833,75,12.5,12.5,0,25,54.167,0.137,0.095,0.37,8.333,0.583,33.333,58.333,0.417,8.333,0.125,0.458,1.75,0.083,0.25,4.167,45.833,50,48.917,0.25,85.586,10.343,14.414
Upper Iowa River,61,0,0,0,0,0,0,5,712,11.867,0.421,16.2,8.78,11.76,0.421,2.25,1.023,0.193,0.21,0.8,11.688,0,16.667,0,16.667,8.333,75,0,83.333,75,0.179,0.15,0.53,66.667,0.083,25,66.667,0.5,25,0.292,0.417,0,0.5,0.75,33.333,62.5,4.167,25.625,0.333,10.18,7.219,89.82
Upper Iowa River,75,0,0,0,0,0,0,0,885,14.750,0.000,16.1,8.03,11.66,0,1.7,0.5,0.291,0.125,0.5,5.837,0,20.833,0,20.833,0,79.167,0,79.167,79.167,0.405,0.259,0.96,12.5,0.792,8.333,79.167,1.333,33.333,0.25,0.625,0.333,0,0.333,0,95.833,4.167,41.667,0.208,97.973,2.598,2.027
Upper Iowa River,84,0,0,0,0,0,0,0,430,7.167,0.000,15.6,7.99,10.52,0,2.117,0.356,0.164,0.098,0.48,12.929,0,65.714,17.143,82.857,0,17.143,0,17.143,65.714,0.209,0.126,0.56,8.333,0.75,16.667,75,0.25,8.333,0.792,1.833,0.583,0.167,0.5,20.833,50,29.167,36.667,0.792,35.473,13.667,64.527
Upper Iowa River,85,0,0,0,0,1,45,101,1866,31.100,3.248,15.9,8.11,11.78,3.215,3.53,1.074,0.248,0.16,0.68,14.236,0,0,0,0,5.714,94.286,0,100,94.286,0.204,0.181,0.67,54.167,0.13,29.167,54.167,1,33.333,0.217,0.652,0.75,0.75,0.667,33.333,50,16.667,30.417,0.625,8.919,4.735,91.081
Upper Iowa River,86,0,0,0,0,0,0,14,1468,24.467,0.572,15.6,8.39,11.56,0.572,2.858,0.84,0.224,0.122,0.56,12.783,3.333,0,6.667,10,0,90,0,90,90,0.232,0.226,0.92,37.5,0.333,29.167,37.5,1.75,58.333,0,0.375,0,0.417,0.667,33.333,54.167,12.5,29.167,1.667,64.264,16.031,35.736
Upper Iowa River,93,0,0,0,0,0,0,5,1239,20.650,0.242,15.7,8.54,11.63,0,1.633,0.748,0.175,0.145,0.68,9.324,0,14.815,7.407,22.222,11.111,66.667,0,77.778,66.667,0.17,0.161,0.56,29.167,0.458,25,45.833,1.333,50,0.042,0.542,0.167,0,0.5,37.5,62.5,0,23.125,0.045,34.459,14.066,65.541
Upper Iowa River,96,1,164,0,0,0,0,0,4596,76.600,0.000,17.6,8.47,8.81,0,4.838,1.222,0.281,0.146,0.84,17.213,0,19.149,2.128,21.277,0,74.468,4.255,78.723,74.468,0.292,0.234,0.89,33.333,0.458,20.833,45.833,1,41.667,0.292,0.625,0,0.333,0.333,8.333,66.667,25,42.5,1.792,40.015,14.583,59.985
Upper Iowa River,108,1,1,0,0,0,0,0,2324,38.733,0.000,17.7,7.97,12.27,0,2.967,1.064,0.36,0.283,1.3,8.247,0,8.108,2.703,10.811,8.108,81.081,0,89.189,81.081,0.26,0.245,1.01,25,0.391,33.333,37.5,1.417,41.667,0.083,0.042,1.083,0.083,0.917,16.667,79.167,4.167,33.542,0.917,100,0,0
Upper Iowa River,109,1,1,0,0,0,0,21,1454,24.233,0.867,13.6,8.95,11.36,0.825,3.771,1.405,0.229,0.192,0.8,16.444,0,0,0,0,3.571,92.857,3.571,100,92.857,0.237,0.193,0.71,33.333,0.5,16.667,50,1.083,25,0,0.25,0.083,0.333,0.583,37.5,41.667,20.833,33.542,0.625,53.378,12.88,46.622
