UID,Watershed (HUC 8),Site #,T1: BKT,T2: BKT,T3: BKT,T1: BRT,T2: BRT,T3: BRT,Trout Presence,Temp,,,,,,,,Temp,Temp,Temp,,,,,,,,,,,,,,,,,,,,
2,Upper Iowa River,8,0,0,0,0,0,0,0,12.9,,,,,,,,16.9,12.9,16.9,,T.Test Result,,,,,,,,,,,,,,,,,,
4,Upper Iowa River,11,0,0,0,0,0,0,0,10.6,,,,,,,,12.9,10.6,13.1,,0.0620,,,BKT TEMPS,BRT/RBT TEMPS,TROUTLESS TEMPS,,,1,Upper Iowa River,1,0,0,0,1,0,1,1,16.9
6,Upper Iowa River,13,0,0,0,0,0,0,0,15.9,,,,,,,,13.1,15.9,11.7,,,,,11.7,16.9,12.9,,,3,Upper Iowa River,10,0,0,0,0,0,1,1,13.1
8,Upper Iowa River,16,0,0,0,0,0,0,0,14.6,,,,,,,,10.6,14.6,13.4,,,,,13.9,13.1,10.6,,,,,,,,,,,,,
12,Upper Iowa River,27,0,0,0,0,0,0,0,10.9,,,,,,,,11.7,10.9,16.6,,,,,12.2,13.4,15.9,,,7,Upper Iowa River,14,0,0,0,0,1,0,1,13.4
13,Upper Iowa River,29,0,0,0,0,0,0,0,14.2,*Fishless*,,,,,,,15.9,14.2,18.9,,,,,15.9,16.6,14.6,,,,,,,,,,,,,
14,Upper Iowa River,32,0,0,0,0,0,0,0,15.3,,,,,,,,13.4,15.3,13.9,,,,,15.7,18.9,10.9,,,10,Upper Iowa River,22,0,0,0,1,1,1,1,16.6
17,Upper Iowa River,36,0,0,0,0,0,0,0,19.7,,,,,,,,14.6,19.7,12.2,,,,,12.4,11.8,14.2,,,11,Upper Iowa River,26,0,0,0,1,0,1,1,18.9
19,Upper Iowa River,41,0,0,0,0,0,0,0,21.7,,,,,,,,NA,21.7,11.8,,,,,11.2,16.2,15.3,,,,,,,,,,,,,
20,Upper Iowa River,48,0,0,0,0,0,0,0,15,,,,,,,,16.6,15,16.2,,,,,13.1,13.6,19.7,,,,,,,,,,,,,
21,Upper Iowa River,57,0,0,0,0,0,0,0,14.3,,,,,,,,18.9,14.3,15.9,,,,,15.4,14.3,21.7,,,18,Upper Iowa River,38,0,0,0,1,1,1,1,11.8
23,Upper Iowa River,75,0,0,0,0,0,0,0,16.1,,,,,,,,10.9,16.1,15.7,,,,,10.5,16,15,,,22,Upper Iowa River,61,0,0,0,1,0,1,1,16.2
24,Upper Iowa River,84,0,0,0,0,0,0,0,15.6,,,,,,,,14.2,15.6,13.6,,,,,14.8,12.2,14.3,,,,,,,,,,,,,
28,Upper Iowa River,96,0,0,0,0,0,0,0,17.6,,,,,,,,15.3,17.6,12.4,,,,,15.7,13.5,16.1,,,,,,,,,,,,,
29,Upper Iowa River,108,0,0,0,0,0,0,0,17.7,,,,,,,,13.9,17.7,14.3,,,,,15.6,14.7,15.6,,,,,,,,,,,,,
32,Upper Iowa River,118,0,0,0,0,0,0,0,20,,,,,,,,12.2,20,11.2,,,,,14.9,13.5,17.6,,,30,Upper Iowa River,109,0,0,0,1,0,0,1,13.6
