northing,easting,zone
4792511,605828,15
4795512,584956,15
4787407,608180,15
4786255,609609,15
4812041,604491,15
4810921,594849,15
4775183,609993,15
4788436,589134,15
4784636,595741,15
4769972,625753,15
4786393,592806,15
4809579,608711,15
4802747,590221,15
4815382,590158,15
4815496,589780,15
4816747,610109,15
4816674,619934,15
4816230,579078,15
4788481,588958,15
4802823,579154,15
4771115,621389,15
4793815,623941,15
4793900,625034,15
4812416,613434,15
4767452,638939,15
4770657,633593,15
4771960,642373,15
4794173,635399,15
4784176,606944,15
4813342,612770,15
4787498,620221,15
4784239,624334,15
4775694,609151,15
4781851,624048,15
4805762,612088,15
4788416,588964,15
4800824,591602,15
4806825,639603,15
4814147,633978,15
4795133,639202,15
4799637,644651,15
4793931,638439,15
4809923,585966,15
4809905,598372,15
4807533,610161,15
4803216,608236,15
4798581,578916,15
4785069,605389,15
4776586,631712,15
4811238,597952,15
4749089,645418,15
4738014,654696,15
4773257,633341,15
4780285,606040,15
4779858,618425,15
4778355,602059,15
4786252,650444,15
4755499,643102,15
4788978,645855,15
4735263,655606,15
4751426,645292,15
