Site ID | Name: YEL_Conway,,,,,8/9/2019,,Notes: split between two sampling sessions. completed on 8-16-2019,,,,,,
Voltage:,200,,,GPS Coordinates:,T1,Start: ,,End:,,,,,
,,,,,T2,Start:,,End:,,,,,
Frequency:,40,,,,T3,Start:,,End: ,,,,,
,,,,Effort (sec):,T1,T2,T3,Vouchers:,,,,,
Duty Cycle:,15,,,,1963 total,,,,,,,,
,,,,,,,,,,,,,
Reach #,Fish Code,Length (mm),Weight (g),Fin Clip (Y/N),,,,,,,,,
8/9/2019,BKT,270,205,Y,,,,,,,,,
,BKT,255,187,Y,,,,,,,,,
,BKT,110,12,Y,,,,,,,,,
,BKT,121,18,Y,,,,,,,,,
,BKT,102,11,Y,,,,,,,,,
,BKT,91,8,Y,,,,,,,,,
,BKT,110,13,Y,,,,,,,,,
,BKT,92,9,Y,,,,,,,,,
,BKT,105,11,Y,,,,,,,,,
,BKT,100,9,Y,,,,,,,,,
,BKT,102,12,Y,,,,,,,,,
,BKT,102,10,Y,,,,,,,,,
,BKT,96,12,Y,,,,,,,,,
,BKT,102,10,Y,,,,,,,,,
,BKT,96,9,Y,,,,,,,,,
,BKT,90,8,Y,,,,,,,,,
,BKT,238,147,Y,,,,,,,,,
,BKT,245,178,Y,,,,,,,,,
,BKT,280,223,Y,,,,,,,,,
,BKT,279,250,Y,,,,,,,,,
,BKT,270,194,Y,,,,,,,,,
,BKT,228,112,Y,,,,,,,,,
,BKT,238,140,Y,,,,,,,,,
,BKT,253,176,Y,,,,,,,,,
,BKT,228,134,Y,,,,,,,,,
,BKT,237,151,Y,,,,,,,,,
,BKT,223,116,Y,,,,,,,,,
,BKT,229,135,Y,,,,,,,,,
,BKT,260,183,Y,,,,,,,,,
,BKT,254,191,Y,,,,,,,,,
,BKT,209,92,Y,,,,,,,,,
,BKT,281,234,Y,,,,,,,,,
,BKT,244,161,Y,,,,,,,,,
,BKT,278,216,Y,,,,,,,,,
,BKT,236,133,Y,,,,,,,,,
,BKT,245,161,N,,,,,,,,,
,BKT,246,137,N,,,,,,,,,
,BKT,243,153,N,,,,,,,,,
,BKT,206,92,N,,,,,,,,,
,RBT*,209,79,N,,,,,,,,,
8/16/2019,,INCHES,LBS,,,,,,,,,,
,BKT,10.9,0.38,Y,,,,,,,,,
,BKT,10.5,0.46,Y,,,,,,,,,
,BKT,11.3,0.58,Y,,,,,,,,,
,BKT,10.3,0.45,Y,,,,,,,,,
,BKT,9.9,0.34,Y,,,,,,,,,
,BKT,9.6,0.35,Y,,,,,,,,,
,BKT,10.4,0.46,Y,,,,,,,,,
,BKT,9.6,0.31,Y,,,,,,,,,
,BKT,10.8,0.49,Y,,,,,,,,,
,BKT,9.2,0.28,Y,,,,,,,,,
,BKT,4.2,0.03,N,,,,,,,,,
,BKT,4.6,0.04,N,,,,,,,,,
,BKT,4.4,0.03,N,,,,,,,,,
,BKT,3.7,0.02,N,,,,,,,,,
,BKT,4.7,0.04,N,,,,,,,,,
,BKT,4.8,0.03,N,,,,,,,,,
,BKT,4,0.02,N,,,,,,,,,
,BKT,4.3,0.03,N,,,,,,,,,
