Easting,Northing,HUC 8,HUC 10,HUC 12
642820,4755595,Little Maquoketa,Sny Magill Creek-Mississippi River,Sny Magill Creek
644815,4758931,Little Maquoketa,Sny Magill Creek-Mississippi River,Sny Magill Creek
628878,4804272,Upper Iowa River,Upper Iowa River,French Creek
630157,4803440,Upper Iowa River,Upper Iowa River,French Creek
630817,4803257,Upper Iowa River,Upper Iowa River,French Creek
607594,4810319,Upper Iowa River,Bear Creek,Bear Creek-Waterloo Creek
610254,4807532,Upper Iowa River,Upper Iowa River,Pine Creek-Upper Iowa River
611899,4805810,Upper Iowa River,Upper Iowa River,Pine Creek-Upper Iowa River
575725,4803979,Upper Iowa River,Cold Water Creek-Upper Iowa River,Silver Creek-Minor Creek
569678,4804745,Upper Iowa River,Cold Water Creek-Upper Iowa River,Silver Creek-Minor Creek
590207,4802738,Upper Iowa River,Cold Water Creek-Upper Iowa River,Falcon Springs State Wildlife Area-Upper Iowa River
591565,4800771,Upper Iowa River,Cold Water Creek-Upper Iowa River,Falcon Springs State Wildlife Area-Upper Iowa River
607496,4803850,Upper Iowa River,Canoe Creek,Canoe Creek
597364,4804117,Upper Iowa River,Canoe Creek,Canoe Creek
610163,4816907,Upper Iowa River,Bear Creek,North Bear Creek
619846,4816718,Upper Iowa River,Bear Creek,Waterloo Creek
632125,4808951,Upper Iowa River,Upper Iowa River,Upper Iowa River-Irish Hollow Creek
609080,4775693,Yellow River,Yellow River,Yellow River Headwaters
639596,4806827,Yellow River,Rush Creek-Mississippi River,Clear Creek-Mississippi River
