"uid","HUC_Site","HUC8","Site","Year","avgT","sdT","MAXT","MEANT","RNGT","pctex21","Easting","Northing","richness","total_ab","SGCN_pres","SGCN_rich","SGCN_ab","BKT","BRT","BKT_BRT","BK_BR_RB"
1,"UPI_1","UPI","1",2018,13.3717967967968,2.10005779988147,20.71,17.421875,8.69722222222221,0,622858.23575,4798728.26946,6,45,0,0,0,0,1,0,0
2,"UPI_8","UPI","8",2018,18.7604122872873,2.16286186513157,23.9661111111111,21.9288194444444,5.72722222222222,13.1756756756757,585063.434469,4795710.33399,14,373,1,2,3,0,0,0,0
3,"UPI_10","UPI","10",2018,15.3055305305305,1.94523348964251,20.805,18.4495601851852,6.605,0,594773.594265,4810696.30381,7,136,0,0,0,0,1,0,0
4,"UPI_11","UPI","11",2018,13.1058896396396,2.2789770573031,20.1377777777778,16.7671759259259,8.33611111111111,0,605640.747388,4792396.93398,1,5,0,0,0,0,0,0,0
5,"UPI_12","UPI","12",2018,14.92754004004,1.57895903214278,20.6333333333333,17.7402777777778,5.27777777777777,0,590207.388844,4802737.50225,4,220,1,1,1,1,1,1,0
6,"UPI_13","UPI","13",2018,15.7792924174174,1.93001953105148,21.2822222222222,18.66375,5.83777777777778,0.225225225225225,578831.913963,4816598.64676,8,103,1,1,1,0,0,0,0
7,"UPI_14","UPI","14",2018,15.0425475475475,1.89259148400547,20.9961111111111,18.7827083333333,7.43833333333334,0,633960.023685,4814260.27572,4,6,0,0,0,0,1,0,0
8,"UPI_16","UPI","16",2018,15.9637212212212,1.79256535264052,21.9511111111111,18.7233796296296,6.77,0.337837837837838,607000.024668,4784168.78234,4,72,0,0,0,0,0,0,0
9,"UPI_18","UPI","18",2018,16.0150563063063,1.98256918946233,21.2822222222222,19.3814814814815,5.38611111111112,0.112612612612613,604313.986459,4812089.15452,3,141,1,1,9,0,1,0,0
10,"UPI_22","UPI","22",2018,15.4286361361361,1.62945915890565,21.3777777777778,18.7746296296296,5.90500000000001,0.225225225225225,589784.525676,4815485.66393,2,118,0,0,0,0,1,0,0
11,"UPI_26","UPI","26",2018,18.0072791541542,3.17468964440187,31.5738888888889,23.1805787037037,20.2988888888889,11.036036036036,590496.201598,4808404.80019,13,674,1,2,29,0,1,0,0
12,"UPI_27","UPI","27",2018,17.02872997998,2.70428371561547,24.6411111111111,21.5668518518519,8.78888888888889,8.44594594594595,608155.901524,4787618.95285,6,327,0,0,0,0,0,0,0
13,"UPI_29","UPI","29",2018,16.431991991992,2.33461288826587,21.9511111111111,20.4719907407407,4.87722222222223,2.02702702702703,599724.84205,4814376.53877,0,0,0,0,0,0,0,0,0
14,"UPI_32","UPI","32",2018,13.7694744744745,1.65604216120682,20.3288888888889,16.6847222222222,7.44611111111111,0,609596.874493,4786234.73062,2,4,0,0,0,0,0,0,0
15,"UPI_34","UPI","34",2018,12.900777027027,1.40155822478327,20.615,16.6888657407407,7.82777777777778,0,607495.531749,4803850.27072,8,194,1,2,103,1,1,1,0
16,"UPI_35","UPI","35",2018,14.3813607357357,1.4703248960873,20.9961111111111,17.2473611111111,7.05388888888889,0,619846.057931,4816718.38236,3,358,1,2,188,1,1,1,0
17,"UPI_36","UPI","36",2018,15.6311918168168,1.46016678496371,20.3288888888889,18.2514351851852,4.665,0,589390.184109,4788416.8675,3,20,0,0,0,0,0,0,0
18,"UPI_38","UPI","38",2018,15.8816266266266,1.63650579709205,21.1872222222222,18.6836111111111,4.855,0.225225225225225,590094.965662,4815003.35262,3,102,0,0,0,0,1,0,0
19,"UPI_41","UPI","41",2018,NA,NA,NA,NA,NA,NA,581294.914744,4813948.83849,8,13,1,1,1,0,0,0,0
20,"UPI_48","UPI","48",2018,16.1247053303303,1.94460355562918,21.2822222222222,18.699537037037,5.92333333333333,0.225225225225225,592842.015004,4786417.47716,6,127,1,1,17,0,0,0,0
21,"UPI_57","UPI","57",2018,16.3691647897898,1.82470840782433,21.9511111111111,18.8619444444444,7.48833333333333,0.112612612612613,579167.042681,4816253.52383,3,16,0,0,0,0,0,0,0
22,"UPI_61","UPI","61",2018,14.3232864114114,1.87057389184525,21.1872222222222,17.9340277777778,7.43722222222222,0.112612612612613,612699.546499,4813349.14448,2,8,0,0,0,0,1,0,0
23,"UPI_75","UPI","75",2018,15.0499286786787,1.34543538016064,19.8527777777778,18.156087962963,4.48611111111111,0,579278.661635,4802886.5462,5,17,0,0,0,0,0,0,0
24,"UPI_84","UPI","84",2018,16.1027884134134,1.58533546644298,21.0911111111111,18.9649305555556,4.69500000000001,0.112612612612613,588903.675909,4788524.6223,4,15,0,0,0,0,0,0,0
25,"UPI_85","UPI","85",2018,13.9197491241241,1.71218186058134,20.2338888888889,17.6680787037037,6.86888888888889,0,628878.153848,4804272.48841,3,146,1,2,46,1,1,1,0
