"uid","HUC_Site","HUC8","Site","Year","avgT","sdT","MAXT","MEANT","RNGT","pctex21","Easting","Northing","richness","total_ab","SGCN_pres","SGCN_rich","SGCN_ab","BKT","BRT","BKT_BRT","BK_BR_RB"
89,"UPI_23","UPI","23",2019,14.4870034067086,1.34890242974563,18.3311111111111,16.4261111111111,4.60277777777777,0,575724.774034,4803979.09864,2,5,1,1,5,1,0,0,0
90,"UPI_25","UPI","25",2019,13.7873327218728,1.48266383867774,18.7111111111111,16.2291666666667,4.90333333333334,0,569678.255918,4804744.72379,10,209,1,2,11,1,0,0,0
91,"UPI_28","UPI","28",2019,16.0604018169113,1.61708255596313,19.9477777777778,18.6755324074074,4.78000000000001,0,596108.810923,4794832.96718,11,173,1,2,5,0,1,0,0
92,"UPI_70","UPI","70",2019,15.9930904961565,2.1735373074786,30.6588888888889,21.1829166666667,16.6211111111111,4.4811320754717,628217.055398,4815085.89459,7,194,1,1,2,0,1,0,0
93,"UPI_73","UPI","73",2019,12.8111517295597,2.30210315339245,25.9022222222222,21.0913657407407,14.18,3.30188679245283,630817.415029,4803257.03575,4,327,1,2,276,1,1,1,0
94,"UPI_78","UPI","78",2019,16.748696278826,3.30757118032615,28.3572222222222,21.1712037037037,13.5533333333333,15.7232704402516,632691.684608,4808782.57985,9,105,1,1,3,0,1,0,0
95,"UPI_78b","UPI","78b",2019,10.3707350628931,2.49995248617807,28.9527777777778,21.075462962963,19.0866666666667,3.5377358490566,632125.3127,4808950.79792,2,2,1,1,1,1,1,1,0
96,"UPI_112","UPI","112",2019,19.4005782669462,2.1688569261849,25.7077777777778,22.7942361111111,6.77444444444444,20.440251572327,597554.224403,4785373.7905,11,241,1,2,9,0,0,0,0
97,"UPI_151","UPI","151",2019,15.1344712125481,3.48567896861779,34.4788888888889,22.8950793650794,16.4333333333333,5.91715976331361,608586.195068,4790951.43523,3,51,1,1,1,0,1,0,0
98,"UPI_153","UPI","153",2019,9.75929944095038,0.703528453862732,18.9961111111111,13.2547916666667,8.83499999999999,0,577117.285938,4810930.0918,5,138,1,2,126,0,0,0,0
99,"UPI_165","UPI","165",2019,NA,NA,NA,NA,NA,NA,NA,NA,9,242,1,1,16,0,0,0,0
100,"YEL_5","YEL","5",2019,18.7491122372372,2.05368345309434,28.655,21.1272222222222,11.2761111111111,13.5135135135135,617438.878887,4771835.83171,4,94,0,0,0,0,0,0,0
101,"YEL_9","YEL","9",2019,18.1423955104724,2.75870737501778,37.8238888888889,24.9923611111111,21.2061111111111,9.97464074387151,606170.822491,4777520.76621,14,1298,1,2,206,0,0,0,0
102,"YEL_21","YEL","21",2019,17.2833136261261,2.54858191198361,38.7138888888889,25.2161574074074,22.0961111111111,3.37837837837838,611163.261173,4781353.22323,2,20,0,0,0,0,0,0,0
103,"YEL_24","YEL","24",2019,16.3656747372372,2.49850466939298,35.3277777777778,22.7995833333333,17.6933333333333,2.61824324324324,632192.600834,4770506.56834,6,100,0,0,0,0,1,0,0
104,"YEL_28","YEL","28",2019,15.1500527831094,2.94889456906202,31.1661111111111,21.338287037037,18.09,4.12667946257198,639665.630985,4767067.11917,2,114,0,0,0,0,1,0,0
105,"YEL_37","YEL","37",2019,15.4420946890287,1.61115033254608,21.4727777777778,17.5815509259259,6.66888888888889,0.0786163522012579,611619.482203,4775511.78382,3,45,0,0,0,0,0,0,0
106,"YEL_42","YEL","42",2019,15.4295374737945,2.87881080519027,30.4572222222222,22.4185416666667,14.5988888888889,3.38050314465409,626919.635697,4781979.32635,9,427,0,0,0,0,1,0,0
107,"YEL_44","YEL","44",2019,16.8265681306306,1.76900327962653,26.2922222222222,21.4672916666667,10.0911111111111,1.09797297297297,635662.140317,4764770.55505,4,165,1,1,39,0,0,0,0
108,"YEL_49","YEL","49",2019,19.044929088006,3.16648219719633,31.5738888888889,22.5975462962963,14.8611111111111,24.8520710059172,623397.990458,4777127.99205,9,303,1,2,52,0,1,0,0
109,"YEL_50","YEL","50",2019,15.8662617924528,2.94823942371759,30.1538888888889,22.2721296296296,13.315,5.73899371069182,639037.412547,4782725.98362,10,63,1,2,32,0,1,0,0
110,"YEL_53","YEL","53",2019,17.0568516953132,2.75855913321807,40.415,24.9980787037037,23.7972222222222,3.71935756551141,601421.587207,4778813.65329,6,113,0,0,0,0,0,0,0
111,"YEL_54","YEL","54",2019,19.2347650244584,2.46570835078627,30.76,22.4531481481481,13.285,21.5408805031447,626870.955254,4788967.08378,14,833,1,2,128,0,0,0,0
112,"YEL_58","YEL","58",2019,19.2479315164221,2.39563463583181,30.1538888888889,22.400462962963,12.775,21.4622641509434,628693.334437,4786635.8686,16,308,1,2,16,0,1,0,0
113,"YEL_72","YEL","72",2019,15.5220813320525,2.05185320329121,31.5738888888889,21.2268287037037,16.4827777777778,1.82516810758886,639947.077891,4767137.51616,1,20,0,0,0,0,1,0,0
114,"YEL_81","YEL","81",2019,16.980341410726,2.63786015650531,30.255,20.9416666666667,15.355,7.43871513102282,620882.613428,4775908.43394,8,114,0,0,0,0,1,0,0
115,"YEL_85","YEL","85",2019,19.2569339622641,2.43185538460604,30.0538888888889,22.76,12.5788888888889,21.0691823899371,615298.334632,4779130.37148,7,446,1,1,13,0,0,0,0
116,"YEL_89","YEL","89",2019,15.2351858108108,3.12894385445509,40.185,25.3560416666667,23.5672222222222,3.46283783783784,607997.127434,4781055.47558,3,31,0,0,0,0,0,0,0
117,"YEL_97b","YEL","97b",2019,13.2179335585586,2.07702191643557,33.0138888888889,21.2713194444444,19.8411111111111,1.26689189189189,624780.047079,4777177.20315,3,352,0,0,0,0,1,0,0
118,"YEL_106","YEL","106",2019,16.0574868972746,2.83346932754696,30.255,22.5188425925926,12.78,3.93081761006289,628062.017829,4787123.5277,10,116,1,1,2,0,0,0,0
119,"YEL_109","YEL","109",2019,14.5200305250305,3.26291692621338,37.6038888888889,25.1700462962963,20.9861111111111,3.21217244294167,610568.119477,4782792.03983,4,129,0,0,0,0,0,0,0
120,"YEL_118","YEL","118",2019,15.6519095038435,2.46974256001175,30.255,22.3153935185185,14.37,2.67295597484277,635584.022402,4786988.6686,9,60,1,2,5,0,0,0,0
121,"YEL_118b","YEL","118b",2019,14.5804214709993,2.33553014298185,29.9527777777778,22.218125,16.5583333333333,2.27987421383648,636014.3252,4787168.54011,8,118,1,1,3,0,1,0,0
122,"YEL_121","YEL","121",2019,16.8387170094862,3.04925207860944,37.935,24.9671064814815,21.3172222222222,6.08622147083686,605799.987733,4777757.68299,6,179,0,0,0,0,0,0,0
123,"YEL_125","YEL","125",2019,19.6995908408408,2.44555301254939,25.9022222222222,23.9355787037037,3.43166666666666,30.6306306306306,625016.784293,4793899.69733,6,228,1,1,4,0,0,0,0
124,"YEL_140","YEL","140",2019,14.8324287544028,2.15631491129086,26.195,21.2985648148148,12.2527777777778,1.82516810758886,640991.449296,4766182.92904,5,80,0,0,0,0,1,0,0
125,"YEL_153","YEL","153",2019,17.7359792103424,2.32998951592195,24.545,20.4574768518519,8.29500000000001,9.82704402515723,605251.787746,4777870.06963,13,1461,1,2,74,0,0,0,0
126,"YEL_154","YEL","154",2019,18.7978533368274,2.12129607304742,31.6761111111111,22.8002314814815,13.345,11.4779874213836,628510.814571,4793708.74961,6,444,1,1,43,0,0,0,0
127,"YEL_157","YEL","157",2019,14.5797728978979,3.23262428008871,41.81,25.167037037037,25.1922222222222,3.46283783783784,609143.794332,4782704.09955,2,37,0,0,0,0,0,0,0
128,"YEL_165","YEL","165",2019,18.6045007861635,2.19477770654429,25.3188888888889,21.8503009259259,8.10388888888889,14.1509433962264,609244.61926,4777208.18942,15,739,1,2,15,0,1,0,0
