"newID","Xcoord","Ycoord","BRT","LND","SRD","Cottus","SGCN"
"UPI_1",622858.23575,4798728.26946,1,0,0,0,0
"UPI_8",585063.434469,4795710.33399,0,1,1,0,2
"UPI_10",594773.594265,4810696.30381,1,0,0,0,0
"UPI_11",605640.747388,4792396.93398,0,0,0,0,0
"UPI_12",590207.388844,4802737.50225,1,0,0,0,0
"UPI_13",578831.913963,4816598.64676,0,0,1,0,1
"UPI_14",633960.023685,4814260.27572,1,0,0,0,0
"UPI_16",607000.024668,4784168.78234,0,0,0,0,0
"UPI_18",604313.986459,4812089.15452,1,0,0,1,1
"UPI_22",589784.525676,4815485.66393,1,0,0,0,0
"UPI_26",590496.201598,4808404.80019,1,1,1,0,2
"UPI_27",608155.901524,4787618.95285,0,0,0,0,0
"UPI_32",609596.874493,4786234.73062,0,0,0,0,0
"UPI_34",607495.531749,4803850.27072,1,0,0,1,1
"UPI_35",619846.057931,4816718.38236,1,0,0,1,1
"UPI_36",589390.184109,4788416.8675,0,0,0,0,0
"UPI_38",590094.965662,4815003.35262,1,0,0,0,0
"UPI_41",581294.914744,4813948.83849,0,0,1,0,1
"UPI_48",592842.015004,4786417.47716,0,1,0,0,1
"UPI_57",579167.042681,4816253.52383,0,0,0,0,0
"UPI_61",612699.546499,4813349.14448,1,0,0,0,0
"UPI_75",579278.661635,4802886.5462,0,0,0,0,0
"UPI_84",588903.675909,4788524.6223,0,0,0,0,0
"UPI_85",628878.153848,4804272.48841,1,0,0,1,1
"UPI_86",598392.753215,4809896.733,1,0,0,0,0
"UPI_93",610254.040474,4807531.8953,0,0,0,0,0
"UPI_96",595823.760845,4787549.82554,0,1,0,0,1
"UPI_108",605375.923316,4785175.7019,0,1,0,0,1
"UPI_109",613456.340385,4812413.90671,1,1,0,0,1
"UPI_117",630156.830183,4803439.95123,1,0,0,1,1
"UPI_118",585477.881371,4812513.79027,0,1,1,0,2
"UPI_123",606312.881484,4793132.07951,1,0,0,0,0
"UPI_128",604638.732016,4784170.67887,0,0,0,0,0
"UPI_130",607593.694824,4810319.11704,1,0,0,1,1
"UPI_135",578851.387511,4798626.63573,0,0,1,0,1
"UPI_149",611899.311345,4805809.69479,1,0,0,0,0
"UPI_154",597363.689484,4804117.23327,1,0,0,0,0
"UPI_156",591564.575501,4800771.16878,1,0,0,0,0
"UPI_157",610163.18218,4816907.32839,1,0,0,1,1
"UPI_163",621497.356279,4815118.42693,1,0,0,1,1
"UPI_170",608772.147617,4809759.40298,0,0,0,0,0
"UPI_14b",633778.293129,4814158.79892,1,0,0,0,0
"UPI_32b",609452.566199,4785924.81474,0,0,0,0,0
"UPI_57b",579568.509547,4815377.87164,0,0,1,0,1
"UPI_201",598236.572564,4811099.25178,1,0,0,0,0
"UPI_202",586001.658461,4809933.10747,1,0,0,0,0
"YEL_1",625611.080973,4770069.29646,1,1,0,0,1
"YEL_4",638618.163216,4768058.4533,1,0,0,0,0
"YEL_17",621841.071868,4770733.78284,1,0,0,0,0
"YEL_20",633531.592709,4770662.20047,1,0,0,0,0
"YEL_25",609079.904881,4775692.72476,0,0,0,0,0
"YEL_29",623900.116162,4793833.68443,1,0,0,0,0
"YEL_36",630274.943452,4778692.0245,0,0,0,0,0
"YEL_39",644593.783239,4799628.16959,0,0,0,0,0
"YEL_40",627166.940974,4772479.91574,1,1,0,0,1
"YEL_41",609710.44401,4780101.57732,0,1,0,0,1
"YEL_52",625892.698926,4769759.91992,1,0,1,0,1
"YEL_56",633348.116035,4777277.40529,1,1,0,0,1
"YEL_57",609984.809777,4775209.14234,0,0,1,0,1
"YEL_65",613051.098242,4776106.93675,1,1,0,0,1
"YEL_73",610930.787906,4776301.34992,1,1,1,0,2
"YEL_77",624764.498515,4789210.30297,1,1,1,0,2
"YEL_80",643342.975208,4771880.85138,0,0,0,1,1
"YEL_82",638363.356756,4793514.74624,1,0,0,1,1
"YEL_101",602055.349831,4778361.13981,0,0,1,0,1
"YEL_103",639595.890613,4806827.00929,1,0,0,0,0
"YEL_105",624501.04904,4785143.52355,0,0,0,0,0
"YEL_113",622463.518489,4770251.64451,0,0,0,0,0
"YEL_119",650258.511764,4786402.18677,0,1,0,0,1
"YEL_120",631513.961671,4776624.63285,1,1,0,0,1
"YEL_129",620492.922774,4771220.23191,0,0,1,0,1
"YEL_150",645761.170457,4789130.83704,0,0,0,0,0
"YEL_161",624113.536588,4770468.96012,1,1,1,0,2
"YEL_178",639155.361803,4795013.88483,1,1,0,1,2
"YEL_193",624002.858153,4781915.83465,1,0,0,0,0
"YEL_201",635444.242889,4794230.49903,1,0,0,1,1
"YEL_202",605991.139328,4780237.386,0,0,1,0,1
"YEL_203",620182.425262,4787545.2386,1,0,0,0,0
"YEL_204",618467.009513,4779908.68736,1,0,0,0,0
"LMAQ_5",644627.945699,4749374.73555,1,0,1,0,1
"LMAQ_48",647939.27675,4752925.81605,0,0,0,0,0
"LMAQ_10",654977.25376,4735400.37016,0,0,0,0,0
"LMAQ_17",648059.491636,4745626.69088,1,1,1,1,3
"LMAQ_28b",645307.785537,4751402.73623,0,0,1,0,1
