FID,OBJECTID_1,FID_1,ARCID,GRID_CODE,FROM_NODE,TO_NODE,POINT_X,POINT_Y,POINT_X_1,POINT_Y_1,FID_2,OBJECTID,POINT_X_2,POINT_Y_2,No_cells,Area_km2,HAiFLS_for,estimate,se,lcl,ucl,Distance,Shape_Leng,HUC8
0,9870,13425,13426,3,13495,13496,642164.944918000022881,4753711.758659999817610,0.000000000000000,0.000000000000000,4364,4365,642269.354734000051394,4753671.601040000095963,73599,5.861150000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000001389063215,124.295766713999996,LMAQ
1,9873,13426,13427,3,13498,13495,641611.662133999983780,4753560.052090000361204,0.000000000000000,0.000000000000000,4365,4366,642107.728894000058062,4753735.598670000210404,68295,5.438760000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000002799833267,619.840286960999947,LMAQ
2,9874,13428,13429,3,13496,13502,642280.955824999953620,4753667.139080000109971,0.000000000000000,0.000000000000000,4366,4367,643393.999246999970637,4753561.977309999987483,85607,6.817420000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000004323040504,1335.207055919999902,LMAQ
3,9876,13432,13433,3,13504,13498,641326.096826000022702,4753461.889019999653101,0.000000000000000,0.000000000000000,4367,4368,641579.173732999945059,4753553.554410000331700,56506,4.499930000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000002846445324,331.317973445999996,LMAQ
4,9879,13434,13435,2,13505,13504,641254.705499000032432,4753444.041190000250936,0.000000000000000,0.000000000000000,4368,4369,641317.686705000000075,4753457.683960000053048,45612,3.632370000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000001818960149,94.027931333599994,LMAQ
5,9883,13439,13440,2,13512,13505,640772.814041999983601,4753319.106359999626875,0.000000000000000,0.000000000000000,4369,4370,641217.300309999962337,4753406.635999999940395,30825,2.454790000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000001640845978,528.989287684000033,LMAQ
6,9886,13441,13442,2,13514,13512,640746.042294000042602,4753292.334619999863207,0.000000000000000,0.000000000000000,4370,4371,640770.136867000022903,4753316.429189999587834,25452,2.026900000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000000263500134,37.860971939000002,LMAQ
7,9889,13444,13445,3,13502,13508,643503.532298999954946,4753515.432509999722242,0.000000000000000,0.000000000000000,4371,4372,644151.245320999994874,4753381.573780000209808,96711,7.701700000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000004366971552,929.719912516000022,LMAQ
8,9891,13449,13450,2,13523,13522,640076.748603999963962,4753096.008469999767840,0.000000000000000,0.000000000000000,4372,4373,640157.063847000012174,4753096.008469999767840,13941,1.110210000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000002356400742,89.239099999000004,LMAQ
9,9894,13450,13451,2,13522,13514,640157.063847000012174,4753104.932380000129342,0.000000000000000,0.000000000000000,4373,4374,640695.674667999963276,4753256.638949999585748,21185,1.687090000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000003402121365,651.532470758000045,LMAQ
10,9895,13462,13463,3,13508,13532,644244.217317000031471,4753381.573780000209808,0.000000000000000,0.000000000000000,4374,4375,644594.631224000011571,4752985.650109999813139,103397,8.234150000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000002993698724,681.097160509999981,LMAQ
11,9899,13463,13464,3,13532,13527,644610.097868000040762,4752935.377980000339448,0.000000000000000,0.000000000000000,4375,4376,644947.673048999975435,4753070.770340000279248,138130,11.000200000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000001284408768,526.501427017999958,LMAQ
12,9900,13470,13471,1,13520,13541,643088.570211000042036,4753158.475879999808967,0.000000000000000,0.000000000000000,4376,4377,644234.939468999975361,4752739.051830000244081,10757,0.856647000000000,0.000000000000000,0.084045898157900,0.030548440380800,0.040451233561600,0.166471884524000,0.000002729706466,1431.365963129999955,LMAQ
