FID,FID_1,ARCID,GRID_CODE,FROM_NODE,TO_NODE,POINT_X,POINT_Y,POINT_X_1,POINT_Y_1,FID_2,OBJECTID,POINT_X_2,POINT_Y_2,No_cells,Area_km2,HAiFLS_for,estimate,se,lcl,ucl,Distance,HUC8
0,13425,13426,3,13495,13496,642164.944918000022881,4753711.758659999817610,0.000000000000000,0.000000000000000,4364,4365,642269.354734000051394,4753671.601040000095963,73599,5.861150000000000,0.000000000000000,0.316598165975000,0.060824639510600,0.210745283502000,0.445601064316000,0.000001389063215,LMAQ
1,13426,13427,3,13498,13495,641611.662133999983780,4753560.052090000361204,0.000000000000000,0.000000000000000,4365,4366,642107.728894000058062,4753735.598670000210404,68295,5.438760000000000,0.000000000000000,0.309937468036000,0.061106272325000,0.204176898411000,0.440179608762000,0.000002799833267,LMAQ
2,13428,13429,3,13496,13502,642280.955824999953620,4753667.139080000109971,0.000000000000000,0.000000000000000,4366,4367,643393.999246999970637,4753561.977309999987483,85607,6.817420000000000,0.000000000000000,0.331955633810000,0.060310958553700,0.225763001207000,0.458517006514000,0.000004323040504,LMAQ
3,13432,13433,3,13504,13498,641326.096826000022702,4753461.889019999653101,0.000000000000000,0.000000000000000,4367,4368,641579.173732999945059,4753553.554410000331700,56506,4.499930000000000,0.000000000000000,0.295414614618000,0.061816862008900,0.189798693060000,0.428704034542000,0.000002846445324,LMAQ
4,13434,13435,2,13505,13504,641254.705499000032432,4753444.041190000250936,0.000000000000000,0.000000000000000,4368,4369,641317.686705000000075,4753457.683960000053048,45612,3.632370000000000,0.000000000000000,0.282352243386000,0.062537502551200,0.176865957878000,0.418746794632000,0.000001818960149,LMAQ
5,13439,13440,2,13512,13505,640772.814041999983601,4753319.106359999626875,0.000000000000000,0.000000000000000,4369,4370,641217.300309999962337,4753406.635999999940395,30825,2.454790000000000,0.000000000000000,0.265194498131000,0.063539436696800,0.160000907834000,0.406111621284000,0.000001640845978,LMAQ
6,13441,13442,2,13514,13512,640746.042294000042602,4753292.334619999863207,0.000000000000000,0.000000000000000,4370,4371,640770.136867000022903,4753316.429189999587834,25452,2.026900000000000,0.000000000000000,0.259127662848000,0.063894710060900,0.154097291656000,0.401746141998000,0.000000263500134,LMAQ
7,13444,13445,3,13502,13508,643503.532298999954946,4753515.432509999722242,0.000000000000000,0.000000000000000,4371,4372,644151.245320999994874,4753381.573780000209808,96711,7.701700000000000,0.000000000000000,0.346483211561000,0.060033603496700,0.239727322380000,0.471308384869000,0.000004366971552,LMAQ
8,13449,13450,2,13523,13522,640076.748603999963962,4753096.008469999767840,0.000000000000000,0.000000000000000,4372,4373,640157.063847000012174,4753096.008469999767840,13941,1.110210000000000,0.000000000000000,0.246437676725000,0.064615623608500,0.141892056222000,0.392756056598000,0.000002356400742,LMAQ
9,13450,13451,2,13522,13514,640157.063847000012174,4753104.932380000129342,0.000000000000000,0.000000000000000,4373,4374,640695.674667999963276,4753256.638949999585748,21185,1.687090000000000,0.000000000000000,0.254374438422000,0.064169409217900,0.149500950168000,0.398357912895000,0.000003402121365,LMAQ
