FID,FID_1,newID,Xcoord,Ycoord,HUC8,site,BKT,BRT,Trout_Stat,FID_2,HUC_8,HUC_10,HUC_12,ACRES,NCONTRB_A,HU_10_GNIS,HU_12_GNIS,HU_10_DS,HU_10_NAME,HU_10_MOD,HU_10_TYPE,HU_12_DS,HU_12_NAME,HU_12_MOD,HU_12_TYPE,META_ID,STATES,IGS_name
0,46,LMAQ_61,654697.074411000008695,4738207.757890000008047,LMAQ,61,0,1,1,0,07060003,0706000307,070600030705,23414.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030706,Miners Creek-Mississippi River,"DM,TF",S,IA01,"IA,WI",Mississippi River-Miners Creek
1,83,LMAQ_10,654977.253759999992326,4735400.370160000398755,LMAQ,10,0,0,0,0,07060003,0706000307,070600030705,23414.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030706,Miners Creek-Mississippi River,"DM,TF",S,IA01,"IA,WI",Mississippi River-Miners Creek
2,88,LMAQ_22,653979.613110000034794,4739563.106250000186265,LMAQ,22,0,0,0,0,07060003,0706000307,070600030705,23414.000000000000000,0.000000000000000, , ,0706000502,Sny Magill Creek-Mississippi River,TF,S,070600030706,Miners Creek-Mississippi River,"DM,TF",S,IA01,"IA,WI",Mississippi River-Miners Creek
3,127,YEL_50,639037.412546999985352,4782725.983620000071824,YEL,50,0,1,1,1,07060001,0706000108,070600010802,25025.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600011001,Paint Creek,TF,S,IA01,IA,Lower Paint Creek
4,42,YEL_204,618467.009513000026345,4779908.687359999865294,YEL,204,0,1,1,2,07060001,0706000109,070600010903,30498.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Upper Yellow River,NM,S,IA01,IA,Upper Yellow River
5,104,YEL_109,610568.119476999971084,4782792.039830000139773,YEL,109,0,0,0,2,07060001,0706000109,070600010903,30498.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Upper Yellow River,NM,S,IA01,IA,Upper Yellow River
6,133,YEL_85,615298.334631999954581,4779130.371480000205338,YEL,85,0,0,0,2,07060001,0706000109,070600010903,30498.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010905,Upper Yellow River,NM,S,IA01,IA,Upper Yellow River
7,33,YEL_77,624764.498514999984764,4789210.302969999611378,YEL,77,0,1,1,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
8,103,YEL_106,628062.017829000018537,4787123.527700000442564,YEL,106,0,0,0,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
9,105,YEL_118,635584.022402000031434,4786988.668600000441074,YEL,118,0,0,0,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
10,106,YEL_118b,636014.325199999962933,4787168.540110000409186,YEL,0,0,1,1,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
11,118,YEL_190,632269.499273000052199,4786008.587270000018179,YEL,190,0,1,1,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
12,129,YEL_54,626870.955254000029527,4788967.083779999986291,YEL,54,0,0,0,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
13,130,YEL_58,628693.334436999983154,4786635.868599999696016,YEL,58,0,1,1,3,07060001,0706000108,070600010801,29509.000000000000000,0.000000000000000, , ,0706000110,Paint Creek,TF,S,070600010802,Headwaters Paint Creek,TF,S,IA01,IA,Upper Paint Creek
14,38,YEL_193,624002.858153000008315,4781915.834649999625981,YEL,193,0,1,1,4,07060001,0706000109,070600010902,15006.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Norfolk Creek,NM,S,IA01,IA,Norfolk Creek
15,41,YEL_203,620182.425261999946088,4787545.238599999807775,YEL,203,0,1,1,4,07060001,0706000109,070600010902,15006.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Norfolk Creek,NM,S,IA01,IA,Norfolk Creek
16,76,YEL_105,624501.049039999954402,4785143.523550000041723,YEL,105,0,0,0,4,07060001,0706000109,070600010902,15006.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Norfolk Creek,NM,S,IA01,IA,Norfolk Creek
17,1,YEL_25,609079.904881000053138,4775692.724759999662638,YEL,25,1,0,2,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
18,31,YEL_65,613051.098241999978200,4776106.936750000342727,YEL,65,0,1,1,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
19,32,YEL_73,610930.787906000041403,4776301.349919999949634,YEL,73,0,1,1,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
20,72,YEL_41,609710.444009999977425,4780101.577320000156760,YEL,41,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
21,73,YEL_57,609984.809776999987662,4775209.142339999787509,YEL,57,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
22,75,YEL_101,602055.349830999970436,4778361.139809999614954,YEL,101,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
23,81,YEL_202,605991.139328000019304,4780237.385999999940395,YEL,202,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
24,107,YEL_121,605799.987732999958098,4777757.682989999651909,YEL,121,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
25,111,YEL_157,609143.794331999961287,4782704.099550000391901,YEL,157,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
26,112,YEL_165,609244.619259999948554,4777208.189419999718666,YEL,165,0,1,1,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
27,115,YEL_173,609425.297074000001885,4780454.535040000453591,YEL,173,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
28,117,YEL_189,606171.114241000032052,4777315.516149999573827,YEL,189,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
29,119,YEL_21,611163.261172999977134,4781353.223229999653995,YEL,21,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
30,122,YEL_37,611619.482202999992296,4775511.783819999545813,YEL,37,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
31,128,YEL_53,601421.587207000004128,4778813.653289999812841,YEL,53,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
32,134,YEL_89,607997.127434000023641,4781055.475580000318587,YEL,89,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
33,135,YEL_9,606170.822491000057198,4777520.766210000030696,YEL,9,0,0,0,5,07060001,0706000109,070600010901,26051.000000000000000,0.000000000000000, , ,0706000110,Yellow River,NM,S,070600010903,Headwaters Yellow River,NM,S,IA01,IA,Yellow River Headwaters
