"uid","newID","HUC8","site","BRT","ch","occ1","occ2","occ3"
2,"UPI_8","UPI","8",0,"000",0,0,0
4,"UPI_11","UPI","11",0,"000",0,0,0
6,"UPI_13","UPI","13",0,"000",0,0,0
8,"UPI_16","UPI","16",0,"000",0,0,0
12,"UPI_27","UPI","27",0,"000",0,0,0
14,"UPI_32","UPI","32",0,"000",0,0,0
17,"UPI_36","UPI","36",0,"000",0,0,0
19,"UPI_41","UPI","41",0,"000",0,0,0
20,"UPI_48","UPI","48",0,"000",0,0,0
21,"UPI_57","UPI","57",0,"000",0,0,0
23,"UPI_75","UPI","75",0,"000",0,0,0
24,"UPI_84","UPI","84",0,"000",0,0,0
27,"UPI_93","UPI","93",0,"000",0,0,0
28,"UPI_96","UPI","96",0,"000",0,0,0
29,"UPI_108","UPI","108",0,"000",0,0,0
32,"UPI_118","UPI","118",0,"000",0,0,0
34,"UPI_128","UPI","128",0,"000",0,0,0
36,"UPI_135","UPI","135",0,"000",0,0,0
42,"UPI_170","UPI","170",0,"000",0,0,0
44,"UPI_32b","UPI","32b",0,"000",0,0,0
45,"UPI_57b","UPI","57b",0,"000",0,0,0
52,"YEL_25","YEL","25",0,"000",0,0,0
55,"YEL_36","YEL","36",0,"000",0,0,0
56,"YEL_39","YEL","39",0,"000",0,0,0
58,"YEL_41","YEL","41",0,"000",0,0,0
61,"YEL_57","YEL","57",0,"000",0,0,0
65,"YEL_80","YEL","80",0,"000",0,0,0
67,"YEL_101","YEL","101",0,"000",0,0,0
69,"YEL_105","YEL","105",0,"000",0,0,0
70,"YEL_113","YEL","113",0,"000",0,0,0
71,"YEL_119","YEL","119",0,"000",0,0,0
73,"YEL_129","YEL","129",0,"000",0,0,0
74,"YEL_150","YEL","150",0,"000",0,0,0
79,"YEL_202","YEL","202",0,"000",0,0,0
83,"LMAQ_48","LMAQ","48",0,"000",0,0,0
84,"LMAQ_10","LMAQ","10",0,"000",0,0,0
86,"LMAQ_28b","LMAQ","28b",0,"000",0,0,0
89,"UPI_23","UPI","23",0,"000",0,0,0
90,"UPI_25","UPI","25",0,"000",0,0,0
96,"UPI_112","UPI","112",0,"000",0,0,0
98,"UPI_153","UPI","153",0,"000",0,0,0
100,"YEL_5","YEL","5",0,"000",0,0,0
101,"YEL_9","YEL","9",0,"000",0,0,0
102,"YEL_21","YEL","21",0,"000",0,0,0
105,"YEL_37","YEL","37",0,"000",0,0,0
107,"YEL_44","YEL","44",0,"000",0,0,0
110,"YEL_53","YEL","53",0,"000",0,0,0
111,"YEL_54","YEL","54",0,"000",0,0,0
115,"YEL_85","YEL","85",0,"000",0,0,0
116,"YEL_89","YEL","89",0,"000",0,0,0
118,"YEL_106","YEL","106",0,"000",0,0,0
119,"YEL_109","YEL","109",0,"000",0,0,0
120,"YEL_118","YEL","118",0,"000",0,0,0
122,"YEL_121","YEL","121",0,"000",0,0,0
123,"YEL_125","YEL","125",0,"000",0,0,0
125,"YEL_153","YEL","153",0,"000",0,0,0
126,"YEL_154","YEL","154",0,"000",0,0,0
127,"YEL_157","YEL","157",0,"000",0,0,0
130,"YEL_169","YEL","169",0,"000",0,0,0
131,"YEL_173","YEL","173",0,"000",0,0,0
132,"YEL_177","YEL","177",0,"000",0,0,0
133,"YEL_189","YEL","189",0,"000",0,0,0
136,"LMAQ_9","LMAQ","9",0,"000",0,0,0
139,"LMAQ_22","LMAQ","22",0,"000",0,0,0
1,"UPI_1","UPI","1",1,"101",1,0,1
3,"UPI_10","UPI","10",1,"001",0,0,1
5,"UPI_12","UPI","12",1,"011",0,1,1
7,"UPI_14","UPI","14",1,"010",0,1,0
9,"UPI_18","UPI","18",1,"100",1,0,0
10,"UPI_22","UPI","22",1,"111",1,1,1
11,"UPI_26","UPI","26",1,"101",1,0,1
15,"UPI_34","UPI","34",1,"001",0,0,1
16,"UPI_35","UPI","35",1,"111",1,1,1
18,"UPI_38","UPI","38",1,"111",1,1,1
22,"UPI_61","UPI","61",1,"101",1,0,1
25,"UPI_85","UPI","85",1,"111",1,1,1
26,"UPI_86","UPI","86",1,"111",1,1,1
30,"UPI_109","UPI","109",1,"100",1,0,0
31,"UPI_117","UPI","117",1,"111",1,1,1
33,"UPI_123","UPI","123",1,"111",1,1,1
35,"UPI_130","UPI","130",1,"111",1,1,1
37,"UPI_149","UPI","149",1,"111",1,1,1
38,"UPI_154","UPI","154",1,"111",1,1,1
39,"UPI_156","UPI","156",1,"111",1,1,1
40,"UPI_157","UPI","157",1,"111",1,1,1
41,"UPI_163","UPI","163",1,"111",1,1,1
43,"UPI_14b","UPI","14b",1,"111",1,1,1
46,"UPI_201","UPI","201",1,"111",1,1,1
47,"UPI_202","UPI","202",1,"111",1,1,1
48,"YEL_1","YEL","1",1,"111",1,1,1
49,"YEL_4","YEL","4",1,"111",1,1,1
50,"YEL_17","YEL","17",1,"001",0,0,1
51,"YEL_20","YEL","20",1,"111",1,1,1
53,"YEL_29","YEL","29",1,"101",1,0,1
57,"YEL_40","YEL","40",1,"111",1,1,1
59,"YEL_52","YEL","52",1,"010",0,1,0
60,"YEL_56","YEL","56",1,"111",1,1,1
62,"YEL_65","YEL","65",1,"111",1,1,1
63,"YEL_73","YEL","73",1,"101",1,0,1
64,"YEL_77","YEL","77",1,"110",1,1,0
66,"YEL_82","YEL","82",1,"111",1,1,1
68,"YEL_103","YEL","103",1,"100",1,0,0
72,"YEL_120","YEL","120",1,"111",1,1,1
75,"YEL_161","YEL","161",1,"011",0,1,1
76,"YEL_178","YEL","178",1,"111",1,1,1
77,"YEL_193","YEL","193",1,"111",1,1,1
78,"YEL_201","YEL","201",1,"111",1,1,1
80,"YEL_203","YEL","203",1,"111",1,1,1
81,"YEL_204","YEL","204",1,"111",1,1,1
82,"LMAQ_5","LMAQ","5",1,"101",1,0,1
85,"LMAQ_17","LMAQ","17",1,"011",0,1,1
87,"LMAQ_24","LMAQ","24",1,"111",1,1,1
88,"LMAQ_61","LMAQ","61",1,"010",0,1,0
91,"UPI_28","UPI","28",1,"100",1,0,0
92,"UPI_70","UPI","70",1,"100",1,0,0
93,"UPI_73","UPI","73",1,"111",1,1,1
94,"UPI_78","UPI","78",1,"100",1,0,0
95,"UPI_78b","UPI","78b",1,"100",1,0,0
97,"UPI_151","UPI","151",1,"111",1,1,1
103,"YEL_24","YEL","24",1,"111",1,1,1
104,"YEL_28","YEL","28",1,"111",1,1,1
106,"YEL_42","YEL","42",1,"111",1,1,1
108,"YEL_49","YEL","49",1,"111",1,1,1
109,"YEL_50","YEL","50",1,"011",0,1,1
112,"YEL_58","YEL","58",1,"111",1,1,1
113,"YEL_72","YEL","72",1,"111",1,1,1
114,"YEL_81","YEL","81",1,"111",1,1,1
117,"YEL_97b","YEL","97b",1,"111",1,1,1
121,"YEL_118b","YEL","118b",1,"111",1,1,1
124,"YEL_140","YEL","140",1,"111",1,1,1
128,"YEL_165","YEL","165",1,"111",1,1,1
129,"YEL_168","YEL","168",1,"111",1,1,1
134,"YEL_190","YEL","190",1,"010",0,1,0
135,"LMAQ_8","LMAQ","8",1,"111",1,1,1
137,"LMAQ_15","LMAQ","15",1,"111",1,1,1
138,"LMAQ_20","LMAQ","20",1,"110",1,1,0
140,"LMAQ_23","LMAQ","23",1,"111",1,1,1
141,"LMAQ_26","LMAQ","26",1,"111",1,1,1
