"ch","freq","newID"
"000",1,"UPI_8"
"000",1,"UPI_11"
"000",1,"UPI_13"
"000",1,"UPI_16"
"000",1,"UPI_27"
"000",1,"UPI_32"
"000",1,"UPI_36"
"000",1,"UPI_41"
"000",1,"UPI_48"
"000",1,"UPI_57"
"000",1,"UPI_75"
"000",1,"UPI_84"
"000",1,"UPI_93"
"000",1,"UPI_96"
"000",1,"UPI_108"
"000",1,"UPI_118"
"000",1,"UPI_128"
"000",1,"UPI_135"
"000",1,"UPI_170"
"000",1,"UPI_32b"
"000",1,"UPI_57b"
"000",1,"YEL_25"
"000",1,"YEL_36"
"000",1,"YEL_39"
"000",1,"YEL_41"
"000",1,"YEL_57"
"000",1,"YEL_80"
"000",1,"YEL_101"
"000",1,"YEL_105"
"000",1,"YEL_113"
"000",1,"YEL_119"
"000",1,"YEL_129"
"000",1,"YEL_150"
"000",1,"YEL_202"
"000",1,"LMAQ_48"
"000",1,"LMAQ_10"
"000",1,"LMAQ_28b"
"000",1,"UPI_23"
"000",1,"UPI_25"
"000",1,"UPI_112"
"000",1,"UPI_153"
"000",1,"YEL_5"
"000",1,"YEL_9"
"000",1,"YEL_21"
"000",1,"YEL_37"
"000",1,"YEL_44"
"000",1,"YEL_53"
"000",1,"YEL_54"
"000",1,"YEL_85"
"000",1,"YEL_89"
"000",1,"YEL_106"
"000",1,"YEL_109"
"000",1,"YEL_118"
"000",1,"YEL_121"
"000",1,"YEL_125"
"000",1,"YEL_153"
"000",1,"YEL_154"
"000",1,"YEL_157"
"000",1,"YEL_169"
"000",1,"YEL_173"
"000",1,"YEL_177"
"000",1,"YEL_189"
"000",1,"LMAQ_9"
"000",1,"LMAQ_22"
"101",1,"UPI_1"
"001",1,"UPI_10"
"011",1,"UPI_12"
"010",1,"UPI_14"
"100",1,"UPI_18"
"111",1,"UPI_22"
"101",1,"UPI_26"
"001",1,"UPI_34"
"111",1,"UPI_35"
"111",1,"UPI_38"
"101",1,"UPI_61"
"111",1,"UPI_85"
"111",1,"UPI_86"
"100",1,"UPI_109"
"111",1,"UPI_117"
"111",1,"UPI_123"
"111",1,"UPI_130"
"111",1,"UPI_149"
"111",1,"UPI_154"
"111",1,"UPI_156"
"111",1,"UPI_157"
"111",1,"UPI_163"
"111",1,"UPI_14b"
"111",1,"UPI_201"
"111",1,"UPI_202"
"111",1,"YEL_1"
"111",1,"YEL_4"
"001",1,"YEL_17"
"111",1,"YEL_20"
"101",1,"YEL_29"
"111",1,"YEL_40"
"010",1,"YEL_52"
"111",1,"YEL_56"
"111",1,"YEL_65"
"101",1,"YEL_73"
"110",1,"YEL_77"
"111",1,"YEL_82"
"100",1,"YEL_103"
"111",1,"YEL_120"
"011",1,"YEL_161"
"111",1,"YEL_178"
"111",1,"YEL_193"
"111",1,"YEL_201"
"111",1,"YEL_203"
"111",1,"YEL_204"
"101",1,"LMAQ_5"
"011",1,"LMAQ_17"
"111",1,"LMAQ_24"
"010",1,"LMAQ_61"
"100",1,"UPI_28"
"100",1,"UPI_70"
"111",1,"UPI_73"
"100",1,"UPI_78"
"100",1,"UPI_78b"
"111",1,"UPI_151"
"111",1,"YEL_24"
"111",1,"YEL_28"
"111",1,"YEL_42"
"111",1,"YEL_49"
"011",1,"YEL_50"
"111",1,"YEL_58"
"111",1,"YEL_72"
"111",1,"YEL_81"
"111",1,"YEL_97b"
"111",1,"YEL_118b"
"111",1,"YEL_140"
"111",1,"YEL_165"
"111",1,"YEL_168"
"010",1,"YEL_190"
"111",1,"LMAQ_8"
"111",1,"LMAQ_15"
"110",1,"LMAQ_20"
"111",1,"LMAQ_23"
"111",1,"LMAQ_26"
