"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~avgT","p(~effort)Psi(~avgT)",4,158.460981879699,0,0.590351449300085,150.16023
"~effort","~avgT + RNGT","p(~effort)Psi(~avgT + RNGT)",5,160.606785454545,2.14580357484621,0.201908827986357,150.15224
"~1","~avgT","p(~1)Psi(~avgT)",3,162.383684477612,3.92270259791266,0.0830436802450041,156.20458
"~effort","~MEANT","p(~effort)Psi(~MEANT)",4,163.343231879699,4.88225,0.051397680055453,155.04248
"~1","~avgT + RNGT","p(~1)Psi(~avgT + RNGT)",4,164.503381879699,6.04239999999999,0.028775318878451,156.20263
"~effort","~MEANT + RNGT","p(~effort)Psi(~MEANT + RNGT)",5,165.259155454545,6.7981735748462,0.0197199585828569,154.80461
"~effort","~MAXT","p(~effort)Psi(~MAXT)",4,166.162681879699,7.70169999999999,0.0125518496392858,157.86193
"~1","~MEANT","p(~1)Psi(~MEANT)",3,167.231594477612,8.77061259791267,0.00735523082797628,161.05249
"~1","~MEANT + RNGT","p(~1)Psi(~MEANT + RNGT)",4,169.128511879699,10.66753,0.00284895721067412,160.82776
"~1","~MAXT","p(~1)Psi(~MAXT)",3,170.057004477612,11.5960225979127,0.00179087931627693,163.8779
"~effort","~1","p(~effort)Psi(~1)",3,175.476744477612,17.0157625979127,0.0001191748826448,169.29764
"~effort","~RNGT","p(~effort)Psi(~RNGT)",4,175.667551879699,17.20657,0.000108330670712023,167.3668
"~1","~1","p(~1)Psi(~1)",2,179.630518888889,21.1695370091896,1.4934960557521e-05,175.54163
"~1","~RNGT","p(~1)Psi(~RNGT)",3,179.799134477612,21.3381525979127,1.37274436650568e-05,173.62003
