"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~avgT + pctpool + BrBnk","p(~effort)Psi(~avgT + pctpool + BrBnk)",6,156.654091374046,0,0.102829210065039,144.01287
"~effort","~avgT + BrBnk","p(~effort)Psi(~avgT + BrBnk)",5,156.983685454545,0.329594080499675,0.0872059373097286,146.52914
"~effort","~avgT + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + BrBnk + HAiFLS_for)",6,158.202001374046,1.54791,0.0474233373769415,145.56078
"~effort","~avgT + BRT_100m + BrBnk","p(~effort)Psi(~avgT + BRT_100m + BrBnk)",6,158.346371374046,1.69228000000001,0.044120717523918,145.70515
"~effort","~avgT + pctpool + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + BrBnk + HAiFLS_for)",7,158.405778461538,1.75168708749266,0.0428294484339963,143.54424
"~effort","~avgT","p(~effort)Psi(~avgT)",4,158.460981879699,1.80689050565346,0.0416634482826465,150.16023
"~effort","~avgT + pctpool + pctShade + BrBnk","p(~effort)Psi(~avgT + pctpool + pctShade + BrBnk)",7,158.872768461538,2.21867708749267,0.0339107106721111,144.01123
"~effort","~avgT + pctpool","p(~effort)Psi(~avgT + pctpool)",5,158.879145454545,2.22505408049966,0.0338027586834291,148.4246
"~effort","~avgT + pctrock + BrBnk","p(~effort)Psi(~avgT + pctrock + BrBnk)",6,159.031901374046,2.37781000000001,0.0313171057315974,146.39068
"~effort","~avgT + BRT_100m","p(~effort)Psi(~avgT + BRT_100m)",5,159.096485454545,2.44239408049967,0.0303219665048805,148.64194
"~effort","~avgT + pctShade + BrBnk","p(~effort)Psi(~avgT + pctShade + BrBnk)",6,159.163061374046,2.50897000000001,0.0293292249436332,146.52184
"~effort","~avgT + pctpool + BRT_100m","p(~effort)Psi(~avgT + pctpool + BRT_100m)",6,159.686341374046,3.03225,0.0225772882718701,147.04512
"~effort","~avgT + HAiFLS_for","p(~effort)Psi(~avgT + HAiFLS_for)",5,159.693025454545,3.03893408049967,0.0225019600108867,149.23848
"~effort","~avgT + pctpool + BRT_100m + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + BRT_100m + BrBnk + HAiFLS_for)",8,159.977959069767,3.32386769572165,0.019514067376389,142.86168
"~effort","~avgT + pctrock","p(~effort)Psi(~avgT + pctrock)",5,160.169385454545,3.51529408049967,0.0177329132237946,149.71484
"~effort","~avgT + BRT_100m + HAiFLS_for","p(~effort)Psi(~avgT + BRT_100m + HAiFLS_for)",6,160.239741374046,3.58565000000002,0.0171199501217672,147.59852
"~effort","~avgT + pctpool + pctrock","p(~effort)Psi(~avgT + pctpool + pctrock)",6,160.318851374046,3.66476,0.0164559885616115,147.67763
"~effort","~avgT + BrBnk + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + BrBnk + pctShade + HAiFLS_for)",7,160.334468461538,3.68037708749264,0.0163279916401856,145.47293
"~effort","~avgT + pctrock + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BrBnk + HAiFLS_for)",7,160.341638461538,3.68754708749265,0.016269560590393,145.4801
"~effort","~avgT + pctrock + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BrBnk + HAiFLS_for)",7,160.341638461538,3.68754708749265,0.016269560590393,145.4801
"~effort","~avgT + pctpool + pctrock + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + BrBnk + HAiFLS_for)",8,160.425929069767,3.77183769572164,0.0155981233571468,143.30965
"~effort","~avgT + pctpool + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + HAiFLS_for)",6,160.430911374046,3.77682000000001,0.015559314418334,147.78969
"~effort","~avgT + pctpool + pctrock + BRT_100m + BrBnk","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m + BrBnk)",8,160.443209069767,3.78911769572164,0.0154639360950643,143.32693
"~effort","~avgT + pctShade","p(~effort)Psi(~avgT + pctShade)",5,160.521355454545,3.86726408049967,0.0148713629952019,150.06681
"~effort","~avgT + pctpool + BRT_100m + pctShade + BrBnk","p(~effort)Psi(~avgT + pctpool + BRT_100m + pctShade + BrBnk)",8,160.543069069767,3.88897769572165,0.0147107807508358,143.42679
"~effort","~avgT + pctpool + pctShade + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctShade + BrBnk + HAiFLS_for)",8,160.559169069767,3.90507769572164,0.0145928343370417,143.44289
"~effort","~avgT + BRT_100m + pctShade + BrBnk","p(~effort)Psi(~avgT + BRT_100m + pctShade + BrBnk)",7,160.566088461538,3.91199708749267,0.0145424348019314,145.70455
"~effort","~avgT + pctpool + pctrock + pctShade + BrBnk","p(~effort)Psi(~avgT + pctpool + pctrock + pctShade + BrBnk)",8,160.760759069767,4.10666769572163,0.013193649421602,143.64448
"~effort","~avgT + pctpool + pctShade","p(~effort)Psi(~avgT + pctpool + pctShade)",6,160.887081374046,4.23299,0.0123860948120383,148.24586
"~effort","~avgT + pctpool + BRT_100m + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + BRT_100m + HAiFLS_for)",7,161.154628461538,4.50053708749266,0.0108352088848484,146.29309
"~effort","~avgT + BRT_100m + pctShade","p(~effort)Psi(~avgT + BRT_100m + pctShade)",6,161.180631374046,4.52654000000001,0.0106952472148603,148.53941
"~effort","~avgT + pctrock + BRT_100m","p(~effort)Psi(~avgT + pctrock + BRT_100m)",6,161.199871374046,4.54578000000001,0.0105928522461252,148.55865
"~effort","~avgT + pctrock + pctShade + BrBnk","p(~effort)Psi(~avgT + pctrock + pctShade + BrBnk)",7,161.249838461538,4.59574708749264,0.0103314838084171,146.3883
"~effort","~avgT + pctShade + HAiFLS_for","p(~effort)Psi(~avgT + pctShade + HAiFLS_for)",6,161.424081374046,4.76999000000001,0.00946948437313646,148.78286
"~effort","~avgT + pctrock + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + HAiFLS_for)",6,161.559201374046,4.90511000000001,0.0088508584760705,148.91798
"~effort","~avgT + BRT_100m + pctShade + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + BRT_100m + pctShade + BrBnk + HAiFLS_for)",8,161.614079069767,4.95998769572165,0.00861130271371368,144.4978
"~effort","~avgT + pctpool + pctrock + BRT_100m","p(~effort)Psi(~avgT + pctpool + pctrock + BRT_100m)",7,161.666688461538,5.01259708749265,0.00838773830246826,146.80515
"~effort","~avgT + pctrock + BRT_100m + BrBnk + HAiFLS_for","p(~effort)Psi(~avgT + pctrock + BRT_100m + BrBnk + HAiFLS_for)",8,161.750849069767,5.09675769572164,0.0080421029457,144.63457
"~effort","~avgT + pctpool + pctrock + HAiFLS_for","p(~effort)Psi(~avgT + pctpool + pctrock + HAiFLS_for)",7,162.052378461538,5.39828708749266,0.00691661102580871,147.19084
