"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
1,546899.905232,4815973.91971,710322,56.5674,5.3041863,0.0922007833819148,0.0305843083731021,0.0472799404673738,0.172091831816113
2,546613.616021,4815788.29446,48028,3.82477,2.7552342,0.0881967433968606,0.0305769000271423,0.0438944678995711,0.169295560078807
3,546586.703637,4815613.8608,660450,52.5958,5.5073752,0.0925269009046861,0.0305843048112961,0.0475580993784421,0.172323051193701
4,545551.954495,4814459.53119,608876,48.4886,5.7484517,0.0929151655754635,0.0305842074247323,0.0478897200370787,0.172599068225679
5,545728.509924,4814554.90661,641962,51.1235,4.5594916,0.0910143848364137,0.0305836631227631,0.046270962447441,0.171255118438306
6,545422.18511,4814493.96186,604773,48.1619,4.716579,0.0912634955581356,0.0305838908584702,0.0464824060658411,0.171430185125995
7,545466.59573,4814402.58859,32452,2.58436,0.2538232,0.0844207423186285,0.0305521173821235,0.0407591044909416,0.166724023509484
8,544918.300478,4813852.94201,578628,46.0798,100,0.383645532135933,0.134815939896474,0.169165231792416,0.655509933121844
9,544805.786169,4813809.58847,572568,45.5972,94.5124054,0.35912516405497,0.122210293540125,0.165220041093621,0.613385087339401
10,544914.420883,4813820.62412,19621,1.56254,1.1668214,0.0857816440189605,0.030563498110726,0.0418821124910566,0.167644076815677
11,536371.922236,4813300.96636,11382,0.90642,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
12,538760.490282,4813228.39503,16355,1.30245,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
13,546058.140258,4813449.67575,19218,1.53045,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
14,540923.783831,4813143.70938,70115,5.5837,0.2729628,0.0844490748408665,0.0305523872950909,0.0407824131587462,0.166743196334293
15,539689.219831,4813114.42202,33914,2.70078,0.0008602,0.0840471683726897,0.0305484540345253,0.0404522815777814,0.166472717080024
16,541466.642922,4813100.4188,79918,6.36437,0.2508226,0.084416305755715,0.0305520764179378,0.0407554685508431,0.166721106060309
17,543841.684979,4813163.33137,12978,1.03352,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
18,540725.070494,4813132.66909,61616,4.90687,0.3063699,0.0844985402137344,0.0305528526464343,0.0408230774141504,0.166776544578055
19,544212.725776,4813037.95139,18060,1.43823,0.640048,0.0849940355306025,0.0305572797251728,0.0412311885375004,0.167110738013345
20,540129.052545,4813037.95139,37828,3.01248,0.0007707,0.084047037501271,0.0305484530397638,0.0404521651302585,0.166472717080024
21,544617.620503,4813684.50011,563890,44.9061,4.3629642,0.0907035807014381,0.0305833009922202,0.0460073851424932,0.171037087152293
22,540379.156374,4813020.49947,52320,4.16657,0.0243225,0.0840817557068576,0.0305488039683228,0.0404806655303955,0.166496029990912
23,541735.195676,4812982.87035,86942,6.92374,0.2306155,0.084386406987789,0.0305517908816793,0.0407308852373577,0.166700962882838
24,544238.057668,4813025.78936,539665,42.9769,3.5116673,0.0893683163851536,0.0305807226920226,0.0448790452095703,0.170105747255574
25,540123.567268,4813006.43049,13488,1.07413,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
26,546251.615095,4813154.68463,12404,0.987808,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
27,545100.325965,4813494.69158,13829,1.10129,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
28,536979.265768,4812839.70688,20070,1.5983,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
29,541976.141405,4812761.61358,95439,7.60041,0.2954118,0.084482311807415,0.0305527004297595,0.0408097271198262,0.166765566858874
30,542122.089727,4812708.33959,102297,8.14655,0.2756778,0.0844530954340324,0.0305524257590849,0.0407856992989714,0.166745836209162
31,537212.647714,4812679.11737,27566,2.19525,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
32,537354.536641,4812278.43488,34450,2.74347,0,0.0840458981579168,0.030548440380802,0.0404512335616337,0.166471884524381
33,542740.362006,4812252.64679,114531,9.12082,0.2521871,0.0844183230516354,0.0305520949938354,0.0407571105498482,0.166722495316728
34,542928.323228,4812150.91415,120233,9.57491,0.2460213,0.0844092030582434,0.0305520094459917,0.0407496047857393,0.166716243735767
35,544117.881214,4812808.66864,532787,42.4292,3.4152913,0.0892182728813383,0.0305803198172999,0.0447526778445084,0.170001589319675
36,544001.717198,4812074.16848,33647,2.67952,0.3799855,0.0846076254583876,0.0305538612716792,0.0409128402700473,0.166850068502898
