"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",8,361.847559069767,0,0.108048232675375,344.73128
"~effort","~mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctrun + HAiFLS_for + Area_km2)",7,361.869758461538,0.0221993917710392,0.106855561540211,347.00822
"~effort","~MEANT2 + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + mFlow + pctrun + HAiFLS_for + Area_km2)",8,362.439869069767,0.592309999999998,0.080352461486929,345.32359
"~effort","~MEANT + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + HAiFLS_for + Area_km2)",8,362.784219069767,0.936659999999961,0.0676432604783879,345.66794
"~effort","~MEANT2 + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,363.0662,1.21864093023254,0.0587480088866236,343.65995
"~effort","~MEANT + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,363.33647,1.48891093023258,0.0513221411874777,343.93022
"~effort","~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,364.08599,2.23843093023254,0.0352816239764756,344.67974
"~effort","~avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",8,364.092189069767,2.24462999999997,0.0351724366545774,346.97591
"~effort","~MEANT2 + avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",9,364.68119,2.83363093023257,0.0262000746803602,345.27494
"~effort","~mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~mFlow + pctrun + HAiFLS_for)",6,364.842201374046,2.99464230427839,0.0241734899025132,352.20098
"~effort","~MEANT + avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",9,365.03357,3.18601093023256,0.021967679536071,345.62732
"~1","~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~1)Psi(~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",7,365.105918461538,3.25835939177102,0.0211872170480924,350.24438
"~1","~mFlow + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~mFlow + pctrun + HAiFLS_for + Area_km2)",6,365.107111374046,3.25955230427837,0.0211745835680198,352.46589
"~effort","~MEANT2 + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT2 + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",10,365.333183464567,3.48562439479952,0.0189114116124137,343.6009
"~effort","~MEANT2 + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT2 + mFlow + pctrun + pctBrBnk + Area_km2)",8,365.337889069767,3.49032999999997,0.0188669690967329,348.22161
"~effort","~MEANT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",10,365.609533464567,3.76197439479949,0.0164708232683439,343.87725
"~1","~MEANT2 + mFlow + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT2 + mFlow + pctrun + HAiFLS_for + Area_km2)",7,365.661078461538,3.81351939177102,0.0160517524477164,350.79954
"~effort","~MEANT + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + pctBrBnk + Area_km2)",8,365.743289069767,3.89572999999996,0.0154053172573198,348.62701
"~effort","~MEANT2 + mFlow + pctrun + Area_km2","p(~effort)Psi(~MEANT2 + mFlow + pctrun + Area_km2)",7,365.762258461538,3.91469939177102,0.0152598932495451,350.90072
"~1","~MEANT + mFlow + pctrun + HAiFLS_for + Area_km2","p(~1)Psi(~MEANT + mFlow + pctrun + HAiFLS_for + Area_km2)",7,365.957928461538,4.11036939177103,0.0138376485097514,351.09639
