"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~avgT + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + mFlow + pctrun + HAiFLS_for + Area_km2)",8,356.840909069767,0,0.257123925293432,339.72463
"~effort","~avgT + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,357.20203,0.361120930232573,0.214647619216899,337.79578
"~effort","~avgT + avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",9,358.96725,2.12634093023257,0.0888000935193509,339.561
"~effort","~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",8,358.982189069767,2.14127999999999,0.0881392692207037,341.86591
"~effort","~avgT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",10,359.347803464567,2.50689439479953,0.0734137296705028,337.61552
"~effort","~avgT + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + mFlow + pctrun + pctBrBnk + Area_km2)",8,359.669039069767,2.82812999999999,0.0625204165537937,342.55276
"~effort","~mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctrun + HAiFLS_for + Area_km2)",7,360.130148461539,3.2892393917711,0.0496470251546137,345.26861
"~effort","~avgT + mFlow + pctrun + Area_km2","p(~effort)Psi(~avgT + mFlow + pctrun + Area_km2)",7,360.181858461538,3.34094939177106,0.0483798532729854,345.32032
"~effort","~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,361.25945,4.41854093023261,0.0282272466048699,341.8532
"~effort","~avgT + avdep + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + pctBrBnk + Area_km2)",9,361.51371,4.6728009302326,0.0248574548904225,342.10746
"~effort","~avgT + avdep + mFlow + pctrun + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + Area_km2)",8,362.064149069767,5.22324000000003,0.0188768851993655,344.94787
"~effort","~avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",8,362.380889069767,5.53998000000001,0.0161120617458698,345.26461
"~effort","~mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~mFlow + pctrun + HAiFLS_for)",6,364.842201374046,8.00129230427842,0.00470634696647692,352.20098
"~effort","~mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + Area_km2)",7,364.850598461538,8.00968939177108,0.00468662858606008,349.98906
"~effort","~avgT + mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~avgT + mFlow + pctrun + HAiFLS_for)",7,365.048078461538,8.20716939177106,0.00424598347924147,350.18654
"~effort","~mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + HAiFLS_for)",7,366.088668461538,9.24775939177107,0.00252357985887458,351.22713
"~effort","~avgT + avdep + mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + HAiFLS_for)",8,366.541109069767,9.7002,0.00201266188788348,349.42483
"~effort","~avgT + mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + mFlow + pctrun + pctBrBnk + HAiFLS_for)",8,366.910429069767,10.06952,0.00167330074251249,349.79415
"~effort","~avdep + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + Area_km2)",8,367.032789069767,10.19188,0.00157399688075137,349.91651
"~effort","~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for)",8,367.334059069767,10.49315,0.00135389167589741,350.21778
"~effort","~avgT + mFlow + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + mFlow + HAiFLS_for + Area_km2)",7,367.829558461539,10.9886493917711,0.0010567873165191,352.96802
"~effort","~mFlow + pctrun + Area_km2","p(~effort)Psi(~mFlow + pctrun + Area_km2)",6,367.971471374046,11.1305623042784,0.000984399976951006,355.33025
"~effort","~avgT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for)",9,368.2972,11.4562909302326,0.000836451034144143,348.89095
"~effort","~avgT + mFlow + pctrun","p(~effort)Psi(~avgT + mFlow + pctrun)",6,368.558991374046,11.7180823042784,0.00073382625816834,355.91777
"~effort","~avgT + avdep + mFlow + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + HAiFLS_for + Area_km2)",8,368.787729069767,11.94682,0.000654520853940457,351.67145
"~effort","~avgT + mFlow + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + mFlow + pctBrBnk + HAiFLS_for + Area_km2)",8,369.236799069767,12.39589,0.000522888604066549,352.12052
"~effort","~avgT + mFlow + pctrun + pctBrBnk","p(~effort)Psi(~avgT + mFlow + pctrun + pctBrBnk)",7,369.948318461538,13.1074093917711,0.000366357177141688,355.08678
"~effort","~avgT + avdep + mFlow + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + pctBrBnk + HAiFLS_for + Area_km2)",9,370.16096,13.3200509302326,0.000329404995185307,350.75471
"~effort","~mFlow + pctrun + pctBrBnk","p(~effort)Psi(~mFlow + pctrun + pctBrBnk)",6,371.069451374046,14.2285423042784,0.000209148033416644,358.42823
"~effort","~mFlow + pctrun","p(~effort)Psi(~mFlow + pctrun)",5,371.190955454545,14.350046384778,0.000196820127811405,360.73641
"~effort","~avgT + avdep + mFlow + pctrun + pctBrBnk","p(~effort)Psi(~avgT + avdep + mFlow + pctrun + pctBrBnk)",8,371.548959069767,14.70805,0.000164562172518532,354.43268
"~effort","~mFlow + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctBrBnk + HAiFLS_for + Area_km2)",7,372.981138461538,16.1402293917711,8.04148412133966e-05,358.1196
"~effort","~mFlow + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + HAiFLS_for + Area_km2)",6,373.063951374046,16.2230423042784,7.71531413259918e-05,360.42273
"~effort","~avdep + mFlow + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctBrBnk + HAiFLS_for + Area_km2)",8,374.440529069767,17.59962,3.87644444848966e-05,357.32425
"~effort","~avgT + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",8,374.465189069767,17.62428,3.82894134688007e-05,357.34891
"~effort","~avgT + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + pctBrBnk + HAiFLS_for + Area_km2)",7,375.180878461538,18.3399693917711,2.67712553771038e-05,360.31934
"~effort","~avgT + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + HAiFLS_for + Area_km2)",6,375.638511374046,18.7976023042784,2.12958516408651e-05,362.99729
"~effort","~avgT + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + pctrun + HAiFLS_for + Area_km2)",7,375.814338461539,18.9734293917711,1.95035939039809e-05,360.9528
"~effort","~avgT + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,376.42278,19.5818709302326,1.43877619711007e-05,357.01653
"~effort","~avgT + avdep + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + pctBrBnk + HAiFLS_for + Area_km2)",8,376.630259069767,19.78935,1.29699928524098e-05,359.51398
"~effort","~avgT + mFlow + Area_km2","p(~effort)Psi(~avgT + mFlow + Area_km2)",6,376.679961374046,19.8390523042784,1.26516456181317e-05,364.03874
"~effort","~avgT + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + pctrun + pctBrBnk + Area_km2)",7,376.681938461538,19.8410293917711,1.26391450926512e-05,361.8204
"~effort","~pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~pctrun + pctBrBnk + HAiFLS_for + Area_km2)",7,376.891628461538,20.0507193917711,1.13810962046433e-05,362.03009
"~effort","~avgT + avdep + mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + avdep + mFlow + pctBrBnk + Area_km2)",8,377.373639069767,20.53273,8.94369171304857e-06,360.25736
"~effort","~avgT + mFlow + pctBrBnk + Area_km2","p(~effort)Psi(~avgT + mFlow + pctBrBnk + Area_km2)",7,377.571398461538,20.7304893917711,8.10165815608898e-06,362.70986
"~effort","~avgT + avdep + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avgT + avdep + pctrun + HAiFLS_for + Area_km2)",8,377.707099069767,20.86619,7.57019212746707e-06,360.59082
