"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",8,358.982189069767,0,0.209210237261277,341.86591
"~effort","~MEANT + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,359.25926,0.277070930232583,0.182145205457243,339.85301
"~effort","~MEANT + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + HAiFLS_for + Area_km2)",8,359.639489069767,0.657300000000021,0.150609390339945,342.52321
"~effort","~mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~mFlow + pctrun + HAiFLS_for + Area_km2)",7,360.130148461539,1.14795939177111,0.11784379430132,345.26861
"~effort","~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",9,361.25945,2.27726093023261,0.067001110987771,341.8532
"~effort","~MEANT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for + Area_km2)",10,361.550023464567,2.56783439479955,0.0579408387765582,339.81774
"~effort","~MEANT + avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",9,361.91293,2.93074093023262,0.0483259750182313,342.50668
"~effort","~MEANT + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + pctBrBnk + Area_km2)",8,362.278149069767,3.29596000000004,0.0402600501666146,345.16187
"~effort","~avdep + mFlow + pctrun + HAiFLS_for + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + HAiFLS_for + Area_km2)",8,362.380889069767,3.39870000000002,0.0382441140075844,345.26461
"~effort","~MEANT + mFlow + pctrun + Area_km2","p(~effort)Psi(~MEANT + mFlow + pctrun + Area_km2)",7,364.030448461538,5.04825939177107,0.0167636016975982,349.16891
"~effort","~MEANT + avdep + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + pctBrBnk + Area_km2)",9,364.4397,5.45751093023262,0.0136615347464746,345.03345
"~effort","~mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~mFlow + pctrun + HAiFLS_for)",6,364.842201374046,5.86001230427843,0.0111711382927968,352.20098
"~effort","~mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + Area_km2)",7,364.850598461538,5.86840939177108,0.0111243341034509,349.98906
"~effort","~mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~mFlow + pctrun + pctBrBnk + HAiFLS_for)",7,366.088668461538,7.10647939177107,0.0059900512642203,351.22713
"~effort","~MEANT + avdep + mFlow + pctrun + Area_km2","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + Area_km2)",8,366.229609069767,7.24742000000003,0.00558246070796119,349.11333
"~effort","~MEANT + mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~MEANT + mFlow + pctrun + HAiFLS_for)",7,366.413398461538,7.43120939177106,0.00509232737365597,351.55186
"~effort","~avdep + mFlow + pctrun + pctBrBnk + Area_km2","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + Area_km2)",8,367.032789069767,8.05060000000003,0.00373609021020965,349.91651
"~effort","~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for)",8,367.334059069767,8.35187000000002,0.00321364133427635,350.21778
"~effort","~MEANT + avdep + mFlow + pctrun + HAiFLS_for","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + HAiFLS_for)",8,367.754079069767,8.77189000000004,0.00260490098862286,350.6378
"~effort","~MEANT + mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT + mFlow + pctrun + pctBrBnk + HAiFLS_for)",8,367.960019069767,8.97783000000004,0.00235002194468619,350.84374
"~effort","~mFlow + pctrun + Area_km2","p(~effort)Psi(~mFlow + pctrun + Area_km2)",6,367.971471374046,8.98928230427839,0.00233660381528939,355.33025
"~effort","~MEANT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for","p(~effort)Psi(~MEANT + avdep + mFlow + pctrun + pctBrBnk + HAiFLS_for)",9,369.16142,10.1792309302326,0.00128881630120621,349.75517
"~effort","~MEANT + mFlow + pctrun","p(~effort)Psi(~MEANT + mFlow + pctrun)",6,370.827981374046,11.8457923042784,0.000560146744482093,358.18676
