"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for","estimate","se","lcl","ucl"
1,546899.905232,4815973.91971,710322,56.5674,5.3041863,0.956331000584008,0.0491695526447725,0.685432896756933,0.995477142058515
2,546613.616021,4815788.29446,48028,3.82477,2.7552342,0.300169488858247,0.061540560261408,0.194556002853317,0.43234052795571
3,546586.703637,4815613.8608,660450,52.5958,5.5073752,0.942711827995197,0.0583549193569075,0.664381750905226,0.992742604272623
4,545551.954495,4814459.53119,608876,48.4886,5.7484517,0.924555848715241,0.0684117526770537,0.641901229195825,0.98820501791223
5,545728.509924,4814554.90661,641962,51.1235,4.5594916,0.935105411524332,0.0633654506328229,0.650514528628146,0.991115196351867
6,545422.18511,4814493.96186,604773,48.1619,4.716579,0.920920658276817,0.0708167214229836,0.633910196999645,0.987392998366503
7,545466.59573,4814402.58859,32452,2.58436,0.2538232,0.268353849919664,0.0633913748735081,0.163038086643019,0.408495989014047
8,544918.300478,4813852.94201,578628,46.0798,100,0.991838916678767,0.00962145929357516,0.922046513846965,0.999199828693916
9,544805.786169,4813809.58847,572568,45.5972,94.5124054,0.99025250228533,0.0111263849313142,0.913860168576195,0.998973110019243
10,544914.420883,4813820.62412,19621,1.56254,1.1668214,0.258465900369846,0.0642170020772509,0.153079113431304,0.401970270666744
11,536371.922236,4813300.96636,11382,0.90642,0,0.243674081454744,0.0647660415196466,0.139264123723116,0.390820119899193
12,538760.490282,4813228.39503,16355,1.30245,0,0.24906390584379,0.0644700972706004,0.144400005046903,0.394602492111769
13,546058.140258,4813449.67575,19218,1.53045,0,0.252202816096789,0.0642932953405151,0.147410432902983,0.396818558917932
14,540923.783831,4813143.70938,70115,5.5837,0.2729628,0.313753019329902,0.0608760798302365,0.208040036722166,0.443126538813416
15,539689.219831,4813114.42202,33914,2.70078,0.0008602,0.268727513401526,0.0633316195107169,0.163455431948608,0.408677055684658
16,541466.642922,4813100.4188,79918,6.36437,0.2508226,0.326075904382147,0.0603915177953341,0.220179264070668,0.453298381730343
17,543841.684979,4813163.33137,12978,1.03352,0,0.245395214075743,0.0646727095135972,0.140899388511786,0.392024969357074
18,540725.070494,4813132.66909,61616,4.90687,0.3063699,0.303355758966444,0.0613719121670406,0.197728065119654,0.434827323688851
19,544212.725776,4813037.95139,18060,1.43823,0.640048,0.254097080183089,0.064347635715981,0.149020592333138,0.398563366083973
20,540129.052545,4813037.95139,37828,3.01248,0.0007707,0.273240671433041,0.0630662702457031,0.167883903573557,0.41198015975188
21,544617.620503,4813684.50011,563890,44.9061,4.3629642,0.900875976367689,0.0798048236563167,0.611922920028263,0.981267574756394
22,540379.156374,4813020.49947,52320,4.16657,0.0243225,0.29048535393722,0.0620810140591205,0.184915335980348,0.424906852503628
23,541735.195676,4812982.87035,86942,6.92374,0.2306155,0.335031715089886,0.0601272163443495,0.228908316214194,0.460944081761159
24,544238.057668,4813025.78936,539665,42.9769,3.5116673,0.885265286848801,0.0860499898366683,0.594547340356539,0.975960721699396
25,540123.567268,4813006.43049,13488,1.07413,0,0.24594686304906,0.0646425513900089,0.141424481820342,0.392411717807044
26,546251.615095,4813154.68463,12404,0.987808,0,0.244775258814871,0.0647064629075941,0.140309833243732,0.391590669650424
27,545100.325965,4813494.69158,13829,1.10129,0,0.246316272353994,0.0646222925368066,0.141776366337618,0.392670861913534
28,536979.265768,4812839.70688,20070,1.5983,0,0.253141962954435,0.0642398631244796,0.148313745859842,0.397483633895014
