"","watershed","site","occ1","occ2","occ3","presence","EncHist","tempC","avwid","avdep","pctrock","pctbarebnk","pctcanopyopen"
"1","UPI",214,1,0,0,1,"100",15.2923436784185,11.6843959381804,0.259097085739486,3,29,93
"2","UPI",259,0,0,0,0,"000",12.3035825756378,4.90565038844943,0.355501009910367,59,63,12
"3","UPI",23,1,1,0,1,"110",13.3404130283743,3.97195671894588,0.36707201807294,30,22,70
"4","UPI",187,0,1,0,1,"010",18.8850704361685,11.8688401228283,0.411961016808636,47,2,72
"5","UPI",421,1,0,1,1,"101",10.1552635934204,4.19718023156747,0.644273248054087,1,73,42
"6","UPI",374,1,1,0,1,"110",9.71788038266823,4.27270250720903,0.534879099740647,90,92,58
"7","UPI",314,1,1,0,1,"110",9.00172696774825,7.23587932554074,0.159271297561936,95,3,58
"8","UPI",139,1,0,0,1,"100",14.8797573912889,12.2486460478976,0.348032016339712,22,52,88
"9","UPI",251,1,1,0,1,"110",22.2988517200574,11.5800743026193,0.567371766986325,20,96,32
"10","UPI",430,0,0,0,0,"000",14.1647581555881,2.76653906656429,0.243191999774426,35,65,37
"11","UPI",358,0,0,0,0,"000",11.4641910269856,12.2986496256199,0.41162579221651,88,73,81
"12","UPI",260,0,1,0,1,"010",9.85622151847929,4.57596791745164,0.384862694614567,94,2,21
"13","UPI",349,0,1,0,1,"010",22.8949554171413,9.43601882667281,0.531057747732848,98,40,72
"14","UPI",114,0,0,0,0,"000",19.3006712379865,8.21817856421694,0.599069253983907,34,28,43
"15","UPI",252,0,0,0,0,"000",12.0419780015945,8.70321576856077,0.691245340956375,46,84,19
"16","UPI",456,1,0,0,1,"100",19.8635741956532,1.39323836285621,0.272746425550431,81,10,97
"17","UPI",44,0,0,0,0,"000",21.1536892866716,8.77693697204813,0.22593462088611,21,78,83
"18","UPI",296,0,0,0,0,"000",20.023153395392,11.8414940075018,0.438524013832211,31,93,62
"19","UPI",329,0,0,0,0,"000",9.40759533224627,3.86377977160737,0.596217086249962,50,15,11
"20","UPI",293,1,0,0,1,"100",17.4575371178798,7.69274285761639,0.462067244532518,56,84,45
"21","UPI",369,1,0,1,1,"101",10.5674803005531,7.37945085996762,0.325952128004283,98,65,88
"22","UPI",231,0,0,1,1,"001",12.1856090263464,8.31193554447964,0.575079913730733,53,62,74
"23","UPI",395,0,0,1,1,"001",21.107834905386,10.7397621965501,0.5636693181796,9,19,45
"24","UPI",444,0,0,0,0,"000",9.47611229727045,3.32198908389546,0.386002381956205,52,21,24
"25","UPI",255,0,0,0,0,"000",19.8080421388149,9.03206297033466,0.489367120894603,63,68,61
"26","UPI",298,1,1,0,1,"110",12.1106457766145,1.04903632495552,0.542320530340075,1,45,49
