Species,# Sites Encountered,# Individuals Collected
Brook Trout,5,47
Brown Trout,25,1022
Rainbow Trout,7,17
Longnose Dace,13,225
Southern Redbelly Dace,15,440
Sculpins,7,475
White Sucker,24,1172
Creek Chub,37,1774
Western Blacknose Dace,33,1607
Central Stoneroller,21,1472
Johnny Darter,21,262
Fantail Darter,24,1053
Brook Stickleback,28,493
Fathead Minnow,30,331
Bluntnose Minnow,6,64
Common Shiner,8,470
Greater Redhorse,1,1
Green Sunfish,5,42
Sand Shiner,3,4
Hornyhead Chub,5,43
Bigmouth Shiner,8,185
Largemouth Bass,4,7
Bluegill,4,5
Shorthead Redhorse,1,3
American Brook Lamprey,1,1
Spottail Shiner,1,3
Black Bullhead,2,3
Stonecat,1,1
