"uid","HUC8","Site","OutletX","OutletY","HAiFLS_alt","HAiFLS_bmp","HAiFLS_ag","HAiFLS_dev","HAiFLS_for","HAiFLS_pas","Easting","Northing","YrSmpld","Order","SegLen","elev_m","Sinuosity","pctSlope","dgreSlope","CatArea_km2"
"UPI_202","UPI",202,-91.94438166,43.433892498,62.7959518,37.2040482,17.7761421,23.724165,30.7904701,21.2956467,586001.658461,4809933.10747,2018,2,1058.99796639,317.412628174,1.30976845886,5.65214008749,0.0564613269316,4.04378662415
"UPI_12","UPI",12,-91.880111692,43.365344284,69.1975632,30.8024406,53.8789177,2.0984025,25.6601162,13.2202406,590207.388844,4802737.50225,2018,2,474.656792691,305.83380127,1.07198544666,7.48499723501,0.0747106575778,3.83447967629
"UPI_75","UPI",75,-92.009555721,43.377778564,94.9341354,5.0658636,78.2956314,0.2573539,0.0168676,16.3811531,579278.661635,4802886.5462,2018,2,587.700216119,364.979064941,1.10859918858,22.8384497693,0.224533511609,3.31588059963
"UPI_135","UPI",135,-92.012192966,43.334216459,93.3201981,6.6798043,82.8153076,1.6403922,4.3185711,8.8644934,578851.387511,4798626.63573,2018,2,2032.48576501,370.52243042,1.16689655021,0.561976315881,0.0056197039993,4.84535522874
"UPI_13","UPI",13,-92.024910206,43.497296535,81.7649384,18.2350636,69.8995895,1.1858387,14.4057808,10.6795044,578831.913963,4816598.64676,2018,2,496.591581249,365.534545898,1.04920178372,6.60373853635,0.0659416408175,4.63892549403
"UPI_57","UPI",57,-92.022614938,43.494676331,92.833313,7.1666837,89.4968872,2.8459871,1.6014369,0.4904453,579167.042681,4816253.52383,2018,2,590.263907785,364.850189209,1.04884899348,3.51227979495,0.0351083660075,1.22425879845
"UPI_22","UPI",22,-91.885677492,43.486291011,97.8261032,2.0670819,68.9955521,3.7366495,0.0007945,25.0939007,589784.525676,4815485.66393,2018,3,469.855098632,377.625274658,1.08106332032,7.19080127754,0.0717844561315,7.84405038447
"UPI_26","UPI",26,-91.888928893,43.422467949,80.4846191,19.1248531,39.3303566,14.0896053,12.4863567,27.0646572,590496.201598,4808404.80019,2018,3,885.441149486,322.95916748,1.40702720136,0.764144651207,0.00764129778492,21.0185997686
"UPI_156","UPI",156,-91.868041655,43.356170592,45.4363937,54.5636063,17.1424675,0.0132505,54.1856232,28.2806759,591564.575501,4800771.16878,2018,2,609.236153905,287.742218018,1.20623004115,16.1070156807,0.159698532257,1.98241709996
"UPI_38","UPI",38,-91.894617313,43.464119021,92.5337143,7.4058247,56.7960014,4.4644709,4.9718437,31.2732449,590094.965662,4815003.35262,2018,3,1419.12214136,374.19241333,1.57985314481,0.902388834814,0.00902364342001,6.03918779314
"UPI_5757","UPI",5757,-92.008929235,43.478734586,88.2332001,11.7634087,78.8611526,2.4221594,8.9146099,6.9498882,579568.509547,4815377.87164,2018,3,1557.4419769,359.644226074,1.55367846239,2.56162827346,0.0256106818564,12.4230490702
"UPI_41","UPI",41,-92.003665285,43.471117841,73.6208496,26.3791542,57.2280502,3.6246607,11.0559187,12.7681351,581294.914744,4813948.83849,2018,3,2654.92001983,355.294311523,1.70798885903,0.216719197188,0.00216718857899,18.5190095963
"UPI_118","UPI",118,-91.922396755,43.4519392,83.9352112,16.0647411,57.6908226,6.1513205,5.1532969,20.0930691,585477.881371,4812513.79027,2018,4,560.979001624,350.869720459,1.05714609173,2.62642149765,0.0262581783776,50.8892060641
"UPI_8","UPI",8,-91.937899429,43.31858126,86.0427628,13.1092787,60.0907021,5.4927406,3.8072126,20.4593182,585063.434469,4795710.33399,2018,4,523.246791761,338.43447876,1.07247741202,12.5936041884,0.12527652936,25.2372933268
"UPI_201","UPI",201,-91.77735416,43.443748662,72.340271,27.6389523,46.0964394,4.945425,19.5544434,21.2984047,598236.572564,4811099.25178,2018,2,1564.25330675,354.677093506,1.31653490688,3.38793005857,0.0338663472058,3.70939178978
