HUC8,Site,SN19,MonthIn,DayIn,YearIn,DateOY
YEL,153,9680,4,1,2019,4/1/2019
LMAQ,20,8106,5,21,2019,5/21/2019
LMAQ,8,4642,5,21,2019,5/21/2019
UPI,112,4639,5,30,2019,5/30/2019
UPI,28,4592,5,30,2019,5/30/2019
UPI,73,4613,5,30,2019,5/30/2019
YEL,121,4635,5,30,2019,5/30/2019
YEL,189,4602,5,30,2019,5/30/2019
YEL,9,3186,5,30,2019,5/30/2019
YEL,109,4627,5,31,2019,5/31/2019
YEL,157,4600,5,31,2019,5/31/2019
YEL,21,4633,6,3,2019,6/3/2019
YEL,85,4607,6,3,2019,6/3/2019
YEL,173,4624,6,4,2019,6/4/2019
YEL,89,3220,6,6,2019,6/6/2019
