HUC8,Site,POINT_X,POINT_Y
LMAQ,61,-91.11017637,42.77899843
LMAQ,24,-91.24507233,42.93838913
LMAQ,48,-91.18583578,42.92791137
LMAQ,5,-91.20647807,42.88335299
LMAQ,10,-91.09684303,42.75409102
LMAQ,28b,-91.21871852,42.90112715
LMAQ,17,-91.18013867,42.84770725
UPI,202,-91.94438166,43.4338925
UPI,12,-91.88011169,43.36534428
UPI,75,-92.00955572,43.37777856
UPI,135,-92.01219297,43.33421646
UPI,13,-92.02491021,43.49729654
UPI,57,-92.02261494,43.49467633
UPI,22,-91.88567749,43.48629101
UPI,26,-91.88892889,43.42246795
UPI,156,-91.86804166,43.35617059
UPI,38,-91.89461731,43.46411902
UPI,57b,-92.00892924,43.47873459
UPI,41,-92.00366529,43.47111784
UPI,118,-91.92239676,43.4519392
UPI,8,-91.93789943,43.31858126
UPI,201,-91.77735416,43.44374866
UPI,10,-91.83225165,43.4393584
UPI,86,-91.75550446,43.42474635
UPI,154,-91.77621666,43.38140311
UPI,34,-91.67032479,43.37853303
UPI,123,-91.68023702,43.28927489
UPI,11,-91.69354374,43.28000495
UPI,84,-91.90222482,43.24339095
UPI,36,-91.89350635,43.24320624
UPI,27,-91.67671616,43.23797604
UPI,32,-91.65228425,43.22002065
UPI,96,-91.82085547,43.23717654
UPI,108,-91.70036027,43.22542456
UPI,32b,-91.65269068,43.21942213
UPI,48,-91.82089533,43.23725053
UPI,16,-91.69642125,43.2041975
UPI,128,-91.72514128,43.22280724
UPI,157,-91.6447068,43.49509753
UPI,35,-91.51918736,43.47926221
UPI,163,-91.50434928,43.4699284
UPI,109,-91.60591846,43.46455035
UPI,29,-91.72817953,43.46299254
UPI,61,-91.59816039,43.45483939
UPI,18,-91.70680656,43.45115043
UPI,130,-91.66896805,43.44090495
UPI,170,-91.65499918,43.43961079
UPI,14,-91.34385207,43.46809835
UPI,14b,-91.34369048,43.46821128
UPI,93,-91.63254196,43.40289805
UPI,149,-91.61322835,43.39726856
UPI,117,-91.39334666,43.37416288
UPI,1,-91.49001914,43.33602446
YEL,103,-91.27343236,43.40211714
YEL,29,-91.46558199,43.28707318
YEL,77,-91.44991927,43.24533687
YEL,105,-91.47308264,43.19569976
YEL,33,-91.45279864,43.16495265
YEL,73,-91.63541646,43.13772549
YEL,36,-91.38744153,43.13543879
YEL,25,-91.65802035,43.12612676
YEL,57,-91.64676852,43.1253764
YEL,65,-91.61040164,43.13100807
YEL,120,-91.37696206,43.13015494
YEL,129,-91.51377443,43.08056746
YEL,113,-91.49390302,43.07683299
YEL,52,-91.45455906,43.07219801
YEL,39,-91.21533568,43.33571539
YEL,150,-91.20289948,43.23836126
YEL,41,-91.64898473,43.16314673
YEL,101,-91.73384815,43.14965734
YEL,56,-91.35992441,43.13351051
YEL,17,-91.49417231,43.07717763
YEL,161,-91.46903363,43.07545832
YEL,1,-91.45489164,43.07216866
YEL,201,-91.33058047,43.29092194
YEL,82,-91.29272723,43.28393857
YEL,178,-91.28116214,43.29691525
YEL,203,-91.50611937,43.20936415
YEL,119,-91.15555651,43.20551289
YEL,193,-91.46826769,43.16223816
YEL,80,-91.23152167,43.08542357
YEL,20,-91.35916542,43.08800441
YEL,40,-91.43246193,43.09654083
YEL,4,-91.2927964,43.04678955
UPI,85,-91.40569601,43.38512703
YEL,204,-91.54133227,43.16432367
YEL,202,-91.69023642,43.16848811
LMAQ,15,-91.22416843,42.96931854
LMAQ,20,-91.18605766,42.92841483
LMAQ,22,-91.11517636,42.7868688
LMAQ,23,-91.2519433,42.96441563
LMAQ,26,-91.19427201,42.95253917
LMAQ,8,-91.18496634,42.9288551
LMAQ,9,-91.15292903,42.87277824
UPI,112,-91.80277382,43.21821669
UPI,151,-91.66234836,43.2637726
UPI,153,-92.04727454,43.44820959
UPI,23,-92.06485895,43.3852447
UPI,25,-92.13967467,43.39244116
UPI,28,-91.8150266,43.30010809
UPI,70,-91.41472697,43.47777811
UPI,73,-91.38977428,43.37333583
UPI,78,-91.36525544,43.42271777
UPI,78b,-91.36769767,43.42219889
YEL,106,-91.42409012,43.22600476
YEL,109,-91.63923648,43.18998076
YEL,118,-91.33049839,43.22362216
YEL,118b,-91.32449752,43.22465775
YEL,121,-91.69774559,43.14333032
YEL,125,-91.45879598,43.28753614
YEL,140,-91.26869588,43.0356274
YEL,154,-91.41399355,43.28542726
YEL,157,-91.65655419,43.19015838
YEL,165,-91.65657681,43.14004455
YEL,168,-91.30953666,43.02378456
YEL,169,-91.53567639,43.11214016
YEL,173,-91.6532232,43.16887928
YEL,177,-91.5131137,43.12777796
YEL,189,-91.69406499,43.14113052
YEL,190,-91.37085819,43.21626054
YEL,21,-91.63235752,43.17651521
YEL,24,-91.37597089,43.07567365
YEL,28,-91.28386105,43.04271407
YEL,37,-91.62777406,43.12400375
YEL,42,-91.43799243,43.17990995
YEL,44,-91.33470346,43.02350754
YEL,49,-91.47880895,43.13733596
YEL,5,-91.55715944,43.08965124
YEL,50,-91.28884898,43.18438349
YEL,53,-91.75200284,43.15428807
YEL,54,-91.43812158,43.24217558
YEL,58,-91.4168324,43.2220608
YEL,72,-91.28206448,43.04332045
YEL,81,-91.51302603,43.12739323
YEL,85,-91.58167937,43.15642559
YEL,89,-91.67130182,43.17481956
YEL,9,-91.69382421,43.14310614
YEL,97,-91.46577165,43.13695088
YEL,153,-91.70359593,43.14692818
