"HUC8","Site","Xcoord","Ycoord","YrSmpld"
"UPI",93,610254.040474,4807531.8953,2018
"YEL",25,609079.904881,4775692.72476,2018
"UPI",1,622858.23575,4798728.26946,2018
"UPI",10,594773.594265,4810696.30381,2018
"UPI",12,590207.388844,4802737.50225,2018
"UPI",14,633960.023685,4814260.27572,2018
"UPI",18,604313.986459,4812089.15452,2018
"UPI",22,589784.525676,4815485.66393,2018
"UPI",26,590496.201598,4808404.80019,2018
"UPI",34,607495.531749,4803850.27072,2018
"UPI",35,619846.057931,4816718.38236,2018
"UPI",38,590094.965662,4815003.35262,2018
"UPI",61,612699.546499,4813349.14448,2018
"UPI",85,628878.153848,4804272.48841,2018
"UPI",86,598392.753215,4809896.733,2018
"UPI",109,613456.340385,4812413.90671,2018
"UPI",117,630156.830183,4803439.95123,2018
"UPI",123,606312.881484,4793132.07951,2018
"UPI",130,607593.694824,4810319.11704,2018
"UPI",149,611899.311345,4805809.69479,2018
"UPI",154,597363.689484,4804117.23327,2018
"UPI",156,591564.575501,4800771.16878,2018
"UPI",157,610163.18218,4816907.32839,2018
"UPI",163,621497.356279,4815118.42693,2018
"YEL",1,625611.080973,4770069.29646,2018
"YEL",4,638618.163216,4768058.4533,2018
"YEL",17,621841.071868,4770733.78284,2018
"YEL",20,633531.592709,4770662.20047,2018
"YEL",29,623900.116162,4793833.68443,2018
"YEL",52,625892.698926,4769759.91992,2018
"YEL",56,633348.116035,4777277.40529,2018
"YEL",65,613051.098242,4776106.93675,2018
"YEL",73,610930.787906,4776301.34992,2018
"YEL",77,624764.498515,4789210.30297,2018
"YEL",82,638363.356756,4793514.74624,2018
"YEL",120,631513.961671,4776624.63285,2018
"YEL",161,624113.536588,4770468.96012,2018
"YEL",178,639155.361803,4795013.88483,2018
"YEL",193,624002.858153,4781915.83465,2018
"YEL",201,635444.242889,4794230.49903,2018
"YEL",103,639595.890613,4806827.00929,2018
"YEL",203,620182.425262,4787545.2386,2018
"YEL",204,618467.009513,4779908.68736,2018
"LMAQ",5,644627.945699,4749374.73555,2018
"LMAQ",17,648059.491636,4745626.69088,2018
"LMAQ",24,642820.292329,4755594.70491,2018
"LMAQ",61,654697.074411,4738207.75789,2018
"UPI",1414,633778.293129,4814158.79892,2018
"UPI",201,598236.572564,4811099.25178,2018
"UPI",202,586001.658461,4809933.10747,2018
"YEL",40,627166.940974,4772479.91574,2018
"UPI",8,585063.434469,4795710.33399,2018
"UPI",11,605640.747388,4792396.93398,2018
"UPI",13,578831.913963,4816598.64676,2018
"UPI",16,607000.024668,4784168.78234,2018
"UPI",27,608155.901524,4787618.95285,2018
"UPI",29,599724.84205,4814376.53877,2018
"UPI",32,609596.874493,4786234.73062,2018
"UPI",36,589390.184109,4788416.8675,2018
"UPI",41,581294.914744,4813948.83849,2018
"UPI",48,592842.015004,4786417.47716,2018
"UPI",57,579167.042681,4816253.52383,2018
"UPI",75,579278.661635,4802886.5462,2018
"UPI",84,588903.675909,4788524.6223,2018
"UPI",96,595823.760845,4787549.82554,2018
"UPI",108,605375.923316,4785175.7019,2018
"UPI",118,585477.881371,4812513.79027,2018
"UPI",128,604638.732016,4784170.67887,2018
"UPI",135,578851.387511,4798626.63573,2018
"UPI",3232,609452.566199,4785924.81474,2018
"UPI",5757,579568.509547,4815377.87164,2018
"YEL",33,625283.275438,4782809.07795,2018
