"uid","HUCsite","HUC8","site"
1,"UPI1","UPI","1"
2,"UPI8","UPI","8"
3,"UPI10","UPI","10"
4,"UPI11","UPI","11"
5,"UPI12","UPI","12"
6,"UPI13","UPI","13"
7,"UPI14","UPI","14"
8,"UPI16","UPI","16"
9,"UPI18","UPI","18"
10,"UPI22","UPI","22"
11,"UPI26","UPI","26"
12,"UPI27","UPI","27"
13,"UPI29","UPI","29"
14,"UPI32","UPI","32"
15,"UPI34","UPI","34"
16,"UPI35","UPI","35"
17,"UPI36","UPI","36"
18,"UPI38","UPI","38"
19,"UPI41","UPI","41"
20,"UPI48","UPI","48"
21,"UPI57","UPI","57"
22,"UPI61","UPI","61"
23,"UPI75","UPI","75"
24,"UPI84","UPI","84"
25,"UPI85","UPI","85"
26,"UPI86","UPI","86"
27,"UPI93","UPI","93"
28,"UPI96","UPI","96"
29,"UPI108","UPI","108"
30,"UPI109","UPI","109"
31,"UPI117","UPI","117"
32,"UPI118","UPI","118"
33,"UPI123","UPI","123"
34,"UPI128","UPI","128"
35,"UPI130","UPI","130"
36,"UPI135","UPI","135"
37,"UPI149","UPI","149"
38,"UPI154","UPI","154"
39,"UPI156","UPI","156"
40,"UPI157","UPI","157"
41,"UPI163","UPI","163"
42,"UPI170","UPI","170"
43,"UPI14b","UPI","14b"
44,"UPI32b","UPI","32b"
45,"UPI57b","UPI","57b"
46,"UPI201","UPI","201"
47,"UPI202","UPI","202"
48,"YEL1","YEL","1"
49,"YEL4","YEL","4"
50,"YEL17","YEL","17"
51,"YEL20","YEL","20"
52,"YEL25","YEL","25"
53,"YEL29","YEL","29"
54,"YEL33","YEL","33"
55,"YEL36","YEL","36"
56,"YEL39","YEL","39"
57,"YEL40","YEL","40"
58,"YEL41","YEL","41"
59,"YEL52","YEL","52"
60,"YEL56","YEL","56"
61,"YEL57","YEL","57"
62,"YEL65","YEL","65"
63,"YEL73","YEL","73"
64,"YEL77","YEL","77"
65,"YEL80","YEL","80"
66,"YEL82","YEL","82"
67,"YEL101","YEL","101"
68,"YEL103","YEL","103"
69,"YEL105","YEL","105"
70,"YEL113","YEL","113"
71,"YEL119","YEL","119"
72,"YEL120","YEL","120"
73,"YEL129","YEL","129"
74,"YEL150","YEL","150"
75,"YEL161","YEL","161"
76,"YEL178","YEL","178"
77,"YEL193","YEL","193"
78,"YEL201","YEL","201"
79,"YEL202","YEL","202"
80,"YEL203","YEL","203"
81,"YEL204","YEL","204"
82,"LMAQ5","LMAQ","5"
83,"LMAQ48","LMAQ","48"
84,"LMAQ10","LMAQ","10"
85,"LMAQ17","LMAQ","17"
86,"LMAQ28b","LMAQ","28b"
87,"LMAQ24","LMAQ","24"
88,"LMAQ61","LMAQ","61"
89,"UPI23","UPI","23"
90,"UPI25","UPI","25"
91,"UPI28","UPI","28"
92,"UPI70","UPI","70"
93,"UPI73","UPI","73"
94,"UPI78","UPI","78"
95,"UPI78b","UPI","78b"
96,"UPI112","UPI","112"
97,"UPI151","UPI","151"
98,"UPI153","UPI","153"
99,"UPI165","UPI","165"
100,"YEL5","YEL","5"
101,"YEL9","YEL","9"
102,"YEL21","YEL","21"
103,"YEL24","YEL","24"
104,"YEL28","YEL","28"
105,"YEL37","YEL","37"
106,"YEL42","YEL","42"
107,"YEL44","YEL","44"
108,"YEL49","YEL","49"
109,"YEL50","YEL","50"
110,"YEL53","YEL","53"
111,"YEL54","YEL","54"
112,"YEL58","YEL","58"
113,"YEL72","YEL","72"
114,"YEL81","YEL","81"
115,"YEL85","YEL","85"
116,"YEL89","YEL","89"
117,"YEL97","YEL","97"
118,"YEL106","YEL","106"
119,"YEL109","YEL","109"
120,"YEL118","YEL","118"
121,"YEL118b","YEL","118b"
122,"YEL121","YEL","121"
123,"YEL125","YEL","125"
124,"YEL140","YEL","140"
125,"YEL153","YEL","153"
126,"YEL154","YEL","154"
127,"YEL157","YEL","157"
128,"YEL165","YEL","165"
129,"YEL168","YEL","168"
130,"YEL169","YEL","169"
131,"YEL173","YEL","173"
132,"YEL177","YEL","177"
133,"YEL189","YEL","189"
134,"YEL190","YEL","190"
135,"LMAQ8","LMAQ","8"
136,"LMAQ9","LMAQ","9"
137,"LMAQ15","LMAQ","15"
138,"LMAQ20","LMAQ","20"
139,"LMAQ22","LMAQ","22"
140,"LMAQ23","LMAQ","23"
141,"LMAQ26","LMAQ","26"
