var1,var2,corr
elev_m,HAiFLS_alt,0.759
elev_m,HAiFLS_nat,-0.756
elev_m,HAiFLS_ag,0.721
elev_m,HAiFLS_for,-0.733
effsec,t1_eff,0.937
effsec,t2_eff,0.935
effsec,t3_eff,0.887
effsec,avwid,0.768
effsec,t1_avwid,0.678
effsec,t2_avwid,0.726
effsec,t3_avwid,0.781
t1_eff,effsec,0.937
t1_eff,t2_eff,0.85
t1_eff,t3_eff,0.734
t1_eff,avwid,0.739
t1_eff,t1_avwid,0.656
t1_eff,t2_avwid,0.684
t1_eff,t3_avwid,0.763
t2_eff,effsec,0.935
t2_eff,t1_eff,0.85
t2_eff,t3_eff,0.722
t2_eff,avwid,0.669
t2_eff,t2_avwid,0.648
t2_eff,t3_avwid,0.675
t3_eff,effsec,0.887
t3_eff,t1_eff,0.734
t3_eff,t2_eff,0.722
t3_eff,avwid,0.713
t3_eff,t1_avwid,0.636
t3_eff,t2_avwid,0.673
t3_eff,t3_avwid,0.718
avgT,MEANT,0.686
avgT,pctex21,0.73
sdT,MAXT,0.748
sdT,MEANT,0.818
sdT,RNGT,0.66
MAXT,sdT,0.748
MAXT,MEANT,0.858
MAXT,RNGT,0.923
MEANT,avgT,0.686
MEANT,sdT,0.818
MEANT,MAXT,0.858
MEANT,RNGT,0.657
RNGT,sdT,0.66
RNGT,MAXT,0.923
RNGT,MEANT,0.657
pctex21,avgT,0.73
avwid,effsec,0.768
avwid,t1_eff,0.739
avwid,t2_eff,0.669
avwid,t3_eff,0.713
avwid,sdwid,0.777
avwid,t1_avwid,0.941
avwid,t2_avwid,0.964
avwid,t3_avwid,0.938
avwid,WidDep,0.616
sdwid,avwid,0.777
sdwid,t1_avwid,0.716
sdwid,t2_avwid,0.713
sdwid,t3_avwid,0.778
t1_avwid,effsec,0.678
t1_avwid,t1_eff,0.656
t1_avwid,t3_eff,0.636
t1_avwid,avwid,0.941
t1_avwid,sdwid,0.716
t1_avwid,t2_avwid,0.873
t1_avwid,t3_avwid,0.797
t1_avwid,t1_avdep,0.616
t2_avwid,effsec,0.726
t2_avwid,t1_eff,0.684
t2_avwid,t2_eff,0.648
t2_avwid,t3_eff,0.673
t2_avwid,avwid,0.964
t2_avwid,sdwid,0.713
t2_avwid,t1_avwid,0.873
t2_avwid,t3_avwid,0.872
t2_avwid,WidDep,0.602
t3_avwid,effsec,0.781
t3_avwid,t1_eff,0.763
t3_avwid,t2_eff,0.675
t3_avwid,t3_eff,0.718
t3_avwid,avwid,0.938
t3_avwid,sdwid,0.778
t3_avwid,t1_avwid,0.797
t3_avwid,t2_avwid,0.872
t3_avwid,WidDep,0.609
avdep,t1_avdep,0.78
avdep,t2_avdep,0.771
avdep,t3_avdep,0.817
t1_avdep,t1_avwid,0.616
t1_avdep,avdep,0.78
t1_avdep,t1_maxdep,0.755
t2_avdep,avdep,0.771
t2_avdep,t2_maxdep,0.74
t3_avdep,avdep,0.817
t3_avdep,maxdep,0.698
t3_avdep,t3_maxdep,0.727
t3_avdep,sdDep,0.727
maxdep,t3_avdep,0.698
maxdep,t3_maxdep,0.991
maxdep,sdDep,0.993
t1_maxdep,t1_avdep,0.755
t2_maxdep,t2_avdep,0.74
t3_maxdep,t3_avdep,0.727
t3_maxdep,maxdep,0.991
t3_maxdep,sdDep,0.983
sdDep,t3_avdep,0.727
sdDep,maxdep,0.993
sdDep,t3_maxdep,0.983
WidDep,avwid,0.616
WidDep,t2_avwid,0.602
WidDep,t3_avwid,0.609
mFlow,sdFlow,0.856
mFlow,t1_flow,0.658
mFlow,t2_flow,0.816
mFlow,maxflow,0.845
mFlow,t2_maxflow,0.713
sdFlow,mFlow,0.856
sdFlow,t2_flow,0.821
sdFlow,maxflow,0.998
sdFlow,t2_maxflow,0.851
t1_flow,mFlow,0.658
t1_flow,t1_maxflow,0.93
t2_flow,mFlow,0.816
t2_flow,sdFlow,0.821
t2_flow,maxflow,0.843
t2_flow,t2_maxflow,0.957
t3_flow,t3_maxflow,0.82
t3_flow,pctslow,-0.618
maxflow,mFlow,0.845
maxflow,sdFlow,0.998
maxflow,t2_flow,0.843
maxflow,t2_maxflow,0.878
t1_maxflow,t1_flow,0.93
t2_maxflow,mFlow,0.713
t2_maxflow,sdFlow,0.851
t2_maxflow,t2_flow,0.957
t2_maxflow,maxflow,0.878
t3_maxflow,t3_flow,0.82
pctRiffle,pctfines,-0.608
pctRiffle,pctrock,0.607
pctrun,pctslow,-0.64
pctrun,machabprop,0.665
pctslow,t3_flow,-0.618
pctslow,pctrun,-0.64
machabprop,pctrun,0.665
pctfines,pctRiffle,-0.608
pctfines,pctcbbl,-0.929
pctfines,pctrock,-1
pctcbbl,pctfines,-0.929
pctcbbl,pctrock,0.929
pctcbbl,subprop,0.708
pctrock,pctRiffle,0.607
pctrock,pctfines,-1
pctrock,pctcbbl,0.929
subprop,pctcbbl,0.708
LWD,t1_LWD,0.741
LWD,t2_LWD,0.733
LWD,t3_LWD,0.748
t1_LWD,LWD,0.741
t2_LWD,LWD,0.733
t3_LWD,LWD,0.748
under,t1_under,0.881
under,t2_under,0.896
under,t3_under,0.806
t1_under,under,0.881
t1_under,t2_under,0.708
t2_under,under,0.896
t2_under,t1_under,0.708
t3_under,under,0.806
pctVertbnk,Avbnka,0.682
Avbnka,pctVertbnk,0.682
HAiFLS_alt,elev_m,0.759
HAiFLS_alt,HAiFLS_nat,-0.999
HAiFLS_alt,HAiFLS_ag,0.814
HAiFLS_alt,HAiFLS_for,-0.96
HAiFLS_nat,elev_m,-0.756
HAiFLS_nat,HAiFLS_alt,-0.999
HAiFLS_nat,HAiFLS_ag,-0.809
HAiFLS_nat,HAiFLS_for,0.96
HAiFLS_ag,elev_m,0.721
HAiFLS_ag,HAiFLS_alt,0.814
HAiFLS_ag,HAiFLS_nat,-0.809
HAiFLS_ag,HAiFLS_for,-0.787
HAiFLS_for,elev_m,-0.733
HAiFLS_for,HAiFLS_alt,-0.96
HAiFLS_for,HAiFLS_nat,0.96
HAiFLS_for,HAiFLS_ag,-0.787
