"HUC8","Site","SN19","avgT","sdT","MAXT","MEANT","RNGT","pctex21"
"YEL","9","3186",17.750494212963,2.07125394520171,23.5811111111111,20.6140277777778,6.66888888888889,8.02083333333333
"YEL","177","3189",18.1324519675926,2.4239986338284,23.5811111111111,22.2182175925926,5.24611111111111,12.2916666666667
"LMAQ","23","3192",13.2010630787037,1.20558134990801,16.6177777777778,14.7113194444444,4.33388888888889,0
"YEL","44","3195",16.3923460648148,1.12834108668053,19.3772222222222,18.2315046296296,2.76222222222222,0
"YEL","28","3196",14.8698634259259,2.69402734135137,22.1422222222222,16.9754398148148,9.45222222222222,2.1875
"YEL","5","3197",18.6415868055556,2.08887644254268,24.255,21.1086111111111,6.76666666666667,13.6458333333333
"UPI","23","3198",14.2132395833333,1.30925662948571,17.855,15.4986574074074,4.60277777777777,0
"YEL","72","3200",15.2368478009259,1.65632768222355,20.0427777777778,17.3987037037037,5.46277777777778,0
"LMAQ","26","3201",15.1733391203704,1.34884557852974,18.8061111111111,16.9257407407407,4.19611111111111,0
"YEL","81","3203",16.7385653935185,2.56651199812618,23.6772222222222,19.6090740740741,9.16,7.29166666666667
"UPI","78","3205",16.5082459490741,3.40602592252089,26.0972222222222,19.4758796296296,12.4372222222222,13.6458333333333
"YEL","118b","3206",14.0297627314815,1.14716795204746,17.76,16.6810185185185,3.27111111111111,0
"YEL","53","3207",16.4255787037037,1.6848234819334,20.9011111111111,18.2474768518519,5.52388888888889,0
"YEL","50","3208",15.7699137731481,2.5897231238437,23.0038888888889,18.1644212962963,9.35277777777778,4.79166666666667
"YEL","118","3210",14.9940474537037,1.6912992816227,22.4288888888889,18.9690740740741,7.0511111111111,0.208333333333333
"YEL","37","3211",15.2212928240741,1.63818454956933,20.1377777777778,16.9736111111111,6.1,0
"UPI","151","3212",14.8809108796296,3.06126272493216,24.545,20.6827083333333,14.58,3.75
"YEL","140","3213",14.5377228009259,1.76297705534806,19.8527777777778,16.4059027777778,6.71388888888889,0
"YEL","49","3214",19.0030046296296,3.28902242293104,26.0972222222222,22.5975462962963,11.0777777777778,26.7708333333333
"YEL","54","3215",19.2812181712963,2.30887649908075,25.61,21.7840740740741,7.43777777777779,23.2291666666667
"YEL","165","3219",18.8398854166667,2.27742397654956,25.3188888888889,21.8503009259259,7.05277777777778,17.3958333333333
"YEL","89","3220",14.4191811342593,1.6734006752177,19.4722222222222,17.7875462962963,4.23888888888889,0
"UPI","25","3222",13.4407482638889,1.36014695829506,17.1888888888889,14.487662037037,4.90333333333334,0
"UPI","70","3223",15.779494212963,1.86414740471632,20.615,18.287037037037,5.815,0
"UPI","78b","4586",9.78940277777778,0.239547926931619,14.7088888888889,10.3484722222222,4.94111111111111,0
"LMAQ","15","4587",14.3771417824074,1.56488469778218,18.9961111111111,16.4618981481481,5.44888888888888,0
"UPI","28","4592",15.6670844907407,1.49832672251515,19.9477777777778,18.1602546296296,4.78000000000001,0
"LMAQ","9","4598",14.6513391203704,1.48523352209843,18.7111111111111,16.3311111111111,5.25222222222222,0
"YEL","190","4599",16.702828125,1.82904299896056,21.6638888888889,18.5170138888889,7.35055555555556,0.625
"YEL","157","4600",13.7439994212963,1.62695398406807,18.6161111111111,15.4660648148148,6.22777777777778,0
"YEL","168","4601",14.4294091435185,1.37542974201513,18.2361111111111,16.2077777777778,4.58222222222222,0
"YEL","189","4602",15.2933211805556,1.96292642137495,20.9011111111111,17.0592824074074,6.96111111111112,0
"YEL","42","4603",14.7905277777778,2.10971577453906,20.3288888888889,16.1628472222222,8.71833333333333,0
"UPI","153","4605",9.67833333333333,0.0727132271590246,9.965,9.75951388888889,0.492777777777777,0
"YEL","85","4607",19.0899137731481,2.31354535976302,25.125,22.76,6.09888888888889,21.9791666666667
"YEL","24","4608",16.0172494212963,2.10340022715046,21.9511111111111,18.6837268518519,7.24722222222223,1.25
"YEL","169","4611",14.0686927083333,1.45857905630104,17.855,16.625462962963,3.35444444444445,0
"UPI","73","4613",12.309359375,1.34110560654088,16.0461111111111,13.6711111111111,5.19999999999999,0
"YEL","106","4617",15.5002679398148,2.30968600308046,22.0461111111111,17.4660185185185,9.08277777777779,1.25
"YEL","154","4621",18.4915063657407,2.03481521066469,24.4477777777778,22.5996759259259,3.35666666666666,8.64583333333333
"YEL","173","4624",16.7693697916667,2.45268900799004,23.5811111111111,18.9626157407407,8.68388888888889,6.5625
"YEL","97","4626",12.7577881944444,0.938896049931333,15.4727777777778,13.9122685185185,3.37111111111111,0
"YEL","109","4627",13.6021793981481,1.60612937624463,18.7111111111111,15.1001157407407,6.51499999999999,0
"LMAQ","22","4628",15.3142314814815,1.22799497685022,18.6161111111111,16.8316435185185,4.77222222222222,0
"YEL","58","4632",19.231197337963,2.3029158286739,24.9311111111111,22.1712268518519,6.57833333333333,22.7083333333333
"YEL","21","4633",16.6641961805556,1.41039162700994,19.9477777777778,18.8737731481481,4.515,0
"YEL","121","4635",16.2466984953704,2.17823996602362,22.4288888888889,18.4859722222222,7.72611111111111,3.22916666666667
"UPI","112","4639",19.4633078703704,2.30512813355177,25.7077777777778,22.7942361111111,6.77444444444444,22.8125
"LMAQ","8","4642",13.9149363425926,1.37843214572074,18.14,15.3623148148148,5.06388888888888,0
"LMAQ","20","8106",14.5370844907407,1.44948917741208,18.9961111111111,16.2021296296296,5.05388888888888,0
"YEL","153","9680",17.8704224537037,2.49445319976611,24.545,20.4574768518519,8.29500000000001,12.6041666666667
