"HUC8","Site","POINT_X","POINT_Y"
"LMAQ","15",-91.224168428,42.969318538
"LMAQ","20",-91.186057663,42.928414832
"LMAQ","22",-91.115176364,42.7868687960001
"LMAQ","23",-91.2519432999999,42.9644156310001
"LMAQ","26",-91.194272008,42.952539169
"LMAQ","8",-91.184966343,42.9288551020001
"LMAQ","9",-91.1529290289999,42.872778237
"UPI","112",-91.8027738229999,43.2182166850001
"UPI","151",-91.662348357,43.263772599
"UPI","153",-92.047274535,43.448209585
"UPI","23",-92.0648589479999,43.385244696
"UPI","25",-92.139674666,43.39244116
"UPI","28",-91.815026599,43.3001080930001
"UPI","70",-91.414726973,43.47777811
"UPI","73",-91.389774282,43.373335825
"UPI","78",-91.365255444,43.4227177650001
"UPI","78b",-91.367697673,43.422198886
"YEL","106",-91.42409012,43.2260047600001
"YEL","109",-91.639236483,43.189980759
"YEL","118",-91.330498387,43.223622155
"YEL","118b",-91.324497519,43.2246577540001
"YEL","121",-91.697745592,43.1433303200001
"YEL","125",-91.458795983,43.2875361430001
"YEL","140",-91.268695877,43.0356274000001
"YEL","154",-91.413993546,43.2854272600001
"YEL","157",-91.656554188,43.1901583800001
"YEL","165",-91.6565768139999,43.140044548
"YEL","168",-91.309536657,43.0237845550001
"YEL","169",-91.535676392,43.1121401550001
"YEL","173",-91.6532232009999,43.1688792840001
"YEL","177",-91.5131136959999,43.127777961
"YEL","189",-91.694064993,43.141130521
"YEL","190",-91.370858187,43.216260538
"YEL","21",-91.632357516,43.176515211
"YEL","24",-91.3759708919999,43.075673651
"YEL","28",-91.283861052,43.04271407
"YEL","37",-91.6277740639999,43.1240037490001
"YEL","42",-91.437992432,43.179909948
"YEL","44",-91.33470346,43.0235075360001
"YEL","49",-91.478808945,43.1373359580001
"YEL","5",-91.557159438,43.0896512400001
"YEL","50",-91.288848984,43.184383488
"YEL","53",-91.752002835,43.154288072
"YEL","54",-91.438121584,43.2421755780001
"YEL","58",-91.4168324029999,43.2220608000001
"YEL","72",-91.282064482,43.0433204500001
"YEL","81",-91.513026026,43.127393231
"YEL","85",-91.581679373,43.1564255910001
"YEL","89",-91.6713018249999,43.1748195640001
"YEL","9",-91.693824213,43.14310614
"YEL","97",-91.465771649,43.1369508770001
"YEL","153",-91.703595929,43.14692818
