"newID","Xcoord","Ycoord","HUC8","site","BKT","BRT","Trout_Status"
"UPI_93",610254.040474,4807531.8953,"UPI","93",1,0,"2"
"YEL_25",609079.904881,4775692.72476,"YEL","25",1,0,"2"
"UPI_1",622858.23575,4798728.26946,"UPI","1",0,1,"1"
"UPI_10",594773.594265,4810696.30381,"UPI","10",0,1,"1"
"UPI_12",590207.388844,4802737.50225,"UPI","12",1,1,"3"
"UPI_14",633960.023685,4814260.27572,"UPI","14",0,1,"1"
"UPI_18",604313.986459,4812089.15452,"UPI","18",0,1,"1"
"UPI_22",589784.525676,4815485.66393,"UPI","22",0,1,"1"
"UPI_26",590496.201598,4808404.80019,"UPI","26",0,1,"1"
"UPI_34",607495.531749,4803850.27072,"UPI","34",1,1,"3"
"UPI_35",619846.057931,4816718.38236,"UPI","35",1,1,"3"
"UPI_38",590094.965662,4815003.35262,"UPI","38",0,1,"1"
"UPI_61",612699.546499,4813349.14448,"UPI","61",0,1,"1"
"UPI_85",628878.153848,4804272.48841,"UPI","85",1,1,"3"
"UPI_86",598392.753215,4809896.733,"UPI","86",0,1,"1"
"UPI_109",613456.340385,4812413.90671,"UPI","109",0,1,"1"
"UPI_117",630156.830183,4803439.95123,"UPI","117",1,1,"3"
"UPI_123",606312.881484,4793132.07951,"UPI","123",0,1,"1"
"UPI_130",607593.694824,4810319.11704,"UPI","130",1,1,"3"
"UPI_149",611899.311345,4805809.69479,"UPI","149",1,1,"3"
"UPI_154",597363.689484,4804117.23327,"UPI","154",1,1,"3"
"UPI_156",591564.575501,4800771.16878,"UPI","156",1,1,"3"
"UPI_157",610163.18218,4816907.32839,"UPI","157",1,1,"3"
"UPI_163",621497.356279,4815118.42693,"UPI","163",0,1,"1"
"YEL_1",625611.080973,4770069.29646,"YEL","1",0,1,"1"
"YEL_4",638618.163216,4768058.4533,"YEL","4",0,1,"1"
"YEL_17",621841.071868,4770733.78284,"YEL","17",0,1,"1"
"YEL_20",633531.592709,4770662.20047,"YEL","20",0,1,"1"
"YEL_29",623900.116162,4793833.68443,"YEL","29",0,1,"1"
"YEL_52",625892.698926,4769759.91992,"YEL","52",0,1,"1"
"YEL_56",633348.116035,4777277.40529,"YEL","56",0,1,"1"
"YEL_65",613051.098242,4776106.93675,"YEL","65",0,1,"1"
"YEL_73",610930.787906,4776301.34992,"YEL","73",0,1,"1"
"YEL_77",624764.498515,4789210.30297,"YEL","77",0,1,"1"
"YEL_82",638363.356756,4793514.74624,"YEL","82",0,1,"1"
"YEL_120",631513.961671,4776624.63285,"YEL","120",0,1,"1"
"YEL_161",624113.536588,4770468.96012,"YEL","161",0,1,"1"
"YEL_178",639155.361803,4795013.88483,"YEL","178",0,1,"1"
"YEL_193",624002.858153,4781915.83465,"YEL","193",0,1,"1"
"YEL_201",635444.242889,4794230.49903,"YEL","201",0,1,"1"
"YEL_103",639595.890613,4806827.00929,"YEL","103",1,1,"3"
"YEL_203",620182.425262,4787545.2386,"YEL","203",0,1,"1"
"YEL_204",618467.009513,4779908.68736,"YEL","204",0,1,"1"
"LMAQ_5",644627.945699,4749374.73555,"LMAQ","5",0,1,"1"
"LMAQ_17",648059.491636,4745626.69088,"LMAQ","17",0,1,"1"
"LMAQ_24",642820.292329,4755594.70491,"LMAQ","24",1,1,"3"
"LMAQ_61",654697.074411,4738207.75789,"LMAQ","61",0,1,"1"
"UPI_14b",633778.293129,4814158.79892,"UPI","14b",0,1,"1"
"UPI_201",598236.572564,4811099.25178,"UPI","201",0,1,"1"
"UPI_202",586001.658461,4809933.10747,"UPI","202",0,1,"1"
"YEL_40",627166.940974,4772479.91574,"YEL","40",0,1,"1"
"UPI_8",585063.434469,4795710.33399,"UPI","8",0,0,"0"
"UPI_11",605640.747388,4792396.93398,"UPI","11",0,0,"0"
"UPI_13",578831.913963,4816598.64676,"UPI","13",0,0,"0"
"UPI_16",607000.024668,4784168.78234,"UPI","16",0,0,"0"
"UPI_27",608155.901524,4787618.95285,"UPI","27",0,0,"0"
"UPI_32",609596.874493,4786234.73062,"UPI","32",0,0,"0"
"UPI_36",589390.184109,4788416.8675,"UPI","36",0,0,"0"
"UPI_41",581294.914744,4813948.83849,"UPI","41",0,0,"0"
"UPI_48",592842.015004,4786417.47716,"UPI","48",0,0,"0"
"UPI_57",579167.042681,4816253.52383,"UPI","57",0,0,"0"
"UPI_75",579278.661635,4802886.5462,"UPI","75",0,0,"0"
"UPI_84",588903.675909,4788524.6223,"UPI","84",0,0,"0"
"UPI_96",595823.760845,4787549.82554,"UPI","96",0,0,"0"
"UPI_108",605375.923316,4785175.7019,"UPI","108",0,0,"0"
"UPI_118",585477.881371,4812513.79027,"UPI","118",0,0,"0"
"UPI_128",604638.732016,4784170.67887,"UPI","128",0,0,"0"
"UPI_135",578851.387511,4798626.63573,"UPI","135",0,0,"0"
"UPI_32b",609452.566199,4785924.81474,"UPI","32b",0,0,"0"
"UPI_57b",579568.509547,4815377.87164,"UPI","57b",0,0,"0"
"YEL_36",630274.943452,4778692.0245,"YEL","36",0,0,"0"
"YEL_39",644593.783239,4799628.16959,"YEL","39",0,0,"0"
"YEL_41",609710.44401,4780101.57732,"YEL","41",0,0,"0"
"YEL_57",609984.809777,4775209.14234,"YEL","57",0,0,"0"
"YEL_80",643342.975208,4771880.85138,"YEL","80",0,0,"0"
"YEL_101",602055.349831,4778361.13981,"YEL","101",0,0,"0"
"YEL_105",624501.04904,4785143.52355,"YEL","105",0,0,"0"
"YEL_113",622463.518489,4770251.64451,"YEL","113",0,0,"0"
"YEL_119",650258.511764,4786402.18677,"YEL","119",0,0,"0"
"YEL_129",620492.922774,4771220.23191,"YEL","129",0,0,"0"
"YEL_150",645761.170457,4789130.83704,"YEL","150",0,0,"0"
"YEL_202",605991.139328,4780237.386,"YEL","202",0,0,"0"
"LMAQ_48",647939.27675,4752925.81605,"LMAQ","48",0,0,"0"
"LMAQ_10",654977.25376,4735400.37016,"LMAQ","10",0,0,"0"
"LMAQ_28b",645307.785537,4751402.73623,"LMAQ","28b",0,0,"0"
"UPI_170",608772.147617,4809759.40298,"UPI","170",0,0,"0"
"LMAQ_15",644815.347933,4758931.02726,"LMAQ","15",1,1,"3"
"LMAQ_20",648020.770536,4754463.9728,"LMAQ","20",0,1,"1"
"LMAQ_22",653979.61311,4739563.10625,"LMAQ","22",0,0,"0"
"LMAQ_23",642362.023139,4758386.95049,"LMAQ","23",0,1,"1"
"LMAQ_26",647303.526064,4757129.48995,"LMAQ","26",0,1,"1"
"LMAQ_8",648199.590818,4754809.40032,"LMAQ","8",0,1,"1"
"LMAQ_9",650847.915063,4748613.10166,"LMAQ","9",0,0,"0"
"UPI_112",597554.224403,4785373.7905,"UPI","112",0,0,"0"
"UPI_151",608586.195068,4790951.43523,"UPI","151",0,1,"1"
"UPI_153",577117.285938,4810930.0918,"UPI","153",0,0,"0"
"UPI_23",575724.774034,4803979.09864,"UPI","23",1,0,"2"
"UPI_25",569678.255918,4804744.72379,"UPI","25",1,0,"2"
"UPI_28",596108.810923,4794832.96718,"UPI","28",0,1,"1"
"UPI_70",628217.055398,4815085.89459,"UPI","70",0,1,"1"
"UPI_73",630817.415029,4803257.03575,"UPI","73",1,1,"3"
"UPI_78",632691.684608,4808782.57985,"UPI","78",0,1,"1"
"UPI_78b",632125.3127,4808950.79792,"UPI","78b",1,1,"3"
"YEL_106",628062.017829,4787123.5277,"YEL","106",0,0,"0"
"YEL_109",610568.119477,4782792.03983,"YEL","109",0,0,"0"
"YEL_118",635584.022402,4786988.6686,"YEL","118",0,0,"0"
"YEL_118b",636014.3252,4787168.54011,"YEL","118b",0,1,"1"
"YEL_121",605799.987733,4777757.68299,"YEL","121",0,0,"0"
"YEL_125",625016.784293,4793899.69733,"YEL","125",0,0,"0"
"YEL_140",640991.449296,4766182.92904,"YEL","140",0,1,"1"
"YEL_154",628510.814571,4793708.74961,"YEL","154",0,0,"0"
"YEL_157",609143.794332,4782704.09955,"YEL","157",0,0,"0"
"YEL_165",609244.61926,4777208.18942,"YEL","165",0,1,"1"
"YEL_168",637729.758729,4764873.5566,"YEL","168",0,1,"1"
"YEL_169",619152.738441,4774220.44377,"YEL","169",0,0,"0"
"YEL_173",609425.297074,4780454.53504,"YEL","173",0,0,"0"
"YEL_177",620846.551979,4776021.54835,"YEL","177",0,0,"0"
"YEL_189",606171.114241,4777315.51615,"YEL","189",0,0,"0"
"YEL_190",632269.499273,4786008.58727,"YEL","190",0,1,"1"
