FID,HUC8,Site,POINT_X,POINT_Y,rcf,floAcc_utm
0,UPI,13,-92.024910206000001,43.497296534999997,0,58260.0000000
1,UPI,157,-91.644706799999994,43.495097534000003,0,366901.0000000
2,UPI,35,-91.519187364000004,43.479262204999998,0,186842.0000000
3,UPI,57,-92.022614938000004,43.494676331000001,0,15374.0000000
4,UPI,22,-91.885677491999999,43.486291010999999,0,98502.0000000
5,UPI,5757,-92.008929234999997,43.478734586000002,0,229607.0000000
6,UPI,163,-91.504349281000003,43.469928398999997,0,140859.0000000
7,UPI,29,-91.728179525000002,43.462992536000002,0,36692.0000000
8,UPI,14,-91.343852072999994,43.468098349999998,0,119335.0000000
9,UPI,1414,-91.343690477999999,43.468211281000002,0,135586.0000000
10,UPI,70,-91.414726973000000,43.477778110000003,0,134034.0000000
11,UPI,38,-91.894617312999998,43.464119021000002,0,174334.0000000
12,UPI,41,-92.003665284999997,43.471117841000002,0,232551.0000000
13,UPI,109,-91.605918463999998,43.464550354000004,0,17892.0000000
14,UPI,61,-91.598160389000000,43.454839385000000,0,93901.0000000
15,UPI,18,-91.706806564000004,43.451150425999998,0,244810.0000000
16,UPI,118,-91.922396754999994,43.451939199999998,0,639007.0000000
17,UPI,201,-91.777354160000002,43.443748661999997,0,46583.0000000
18,UPI,130,-91.668968054000004,43.440904947000000,0,95115.0000000
19,UPI,153,-92.047274535000000,43.448209585000001,0,857.0000000
20,UPI,202,-91.944381660000005,43.433892497999999,0,50791.0000000
21,UPI,10,-91.832251644999999,43.439358403000000,0,227824.0000000
22,UPI,170,-91.654999184000005,43.439610784999999,0,18019.0000000
23,UPI,26,-91.888928892999999,43.422467949000001,0,263924.0000000
24,UPI,86,-91.755504462999994,43.424746352000000,0,43588.0000000
25,UPI,78,-91.365255443999999,43.422717765000002,0,185124.0000000
26,UPI,7878,-91.367697672999995,43.422198885999997,0,33406.0000000
27,UPI,93,-91.632541962000005,43.402898051999998,0,33091.0000000
28,YEL,103,-91.273432362999998,43.402117144000002,0,65640.0000000
29,UPI,149,-91.613228346000000,43.397268558000000,0,236651.0000000
30,UPI,23,-92.064858947999994,43.385244696000001,0,115878.0000000
31,UPI,165,0.000000000000000,0.000000000000000,0,362014.0000000
32,UPI,154,-91.776216654999999,43.381403106000000,0,150930.0000000
33,UPI,85,-91.405696008000007,43.385127025999999,0,145373.0000000
34,UPI,25,-92.139674666000005,43.392441159999997,0,197050.0000000
35,UPI,12,-91.880111692000000,43.365344284000003,0,48148.0000000
36,UPI,75,-92.009555720999998,43.377778564000003,0,41643.0000000
37,UPI,34,-91.670324785999995,43.378533029000003,0,70932.0000000
38,UPI,117,-91.393346656999995,43.374162880000000,0,124545.0000000
39,UPI,73,-91.389774282000005,43.373335824999998,0,176194.0000000
40,UPI,156,-91.868041654999999,43.356170591999998,0,24889.0000000
41,YEL,39,-91.215335679000006,43.335715385000000,0,4189.0000000
42,UPI,135,-92.012192966000001,43.334216458999997,0,60849.0000000
43,UPI,1,-91.490019134999997,43.336024459999997,0,114664.0000000
44,UPI,8,-91.937899428999998,43.318581260000002,0,377765.0000000
45,YEL,178,-91.281162136999995,43.296915247000001,0,158675.0000000
46,UPI,28,-91.815026599000007,43.300108092999999,0,304026.0000000
47,YEL,154,-91.413993546000000,43.285427259999999,0,267276.0000000
48,UPI,123,-91.680237020999996,43.289274888000001,0,436802.0000000
49,YEL,29,-91.465581993000001,43.287073178000000,0,47752.0000000
50,YEL,201,-91.330580468999997,43.290921943000001,0,107755.0000000
51,YEL,82,-91.292727233999997,43.283938566000003,0,69849.0000000
52,YEL,125,-91.458795983000002,43.287536142999997,0,88664.0000000
53,UPI,11,-91.693543735999995,43.280004949000002,0,22730.0000000
54,UPI,151,-91.662348356999999,43.263772598999999,0,62473.0000000
55,YEL,77,-91.449919273000006,43.245336864999999,0,97543.0000000
56,YEL,150,-91.202899475999999,43.238361259000001,0,36075.0000000
57,UPI,84,-91.902224824000001,43.243390949000002,0,29169.0000000
58,UPI,36,-91.893506346999999,43.243206237000003,0,64075.0000000
59,UPI,27,-91.676716157000001,43.237976035999999,0,203119.0000000
60,UPI,96,-91.820855472000005,43.237176540000000,0,256056.0000000
61,YEL,54,-91.438121584000001,43.242175578000001,0,251543.0000000
62,UPI,108,-91.700360267999997,43.225424560000000,0,131160.0000000
63,UPI,48,-91.820895332000006,43.237250529000001,0,68945.0000000
64,YEL,203,-91.506119368000000,43.209364147000002,0,356668.0000000
65,YEL,106,-91.424090120000002,43.226004760000002,0,53544.0000000
66,YEL,118,-91.330498387000006,43.223622155000001,0,100475.0000000
67,YEL,118118,-91.324497519000005,43.224657753999999,0,52685.0000000
68,YEL,190,-91.370858186999996,43.216260538000000,0,57013.0000000
69,YEL,58,-91.416832403000001,43.222060800000001,0,454700.0000000
70,UPI,32,-91.652284249999994,43.220020650999999,0,50203.0000000
71,UPI,3232,-91.652690680999996,43.219422133000002,0,67057.0000000
72,UPI,112,-91.802773822999995,43.218216685000002,0,111506.0000000
