"newID","HUC8","site","SGCN_pres","SGCN_rich","Year","Easting","Northing","BKT","BRT","Trout_Status"
"UPI_1","UPI","1",0,0,"2018",622858.23575,4798728.26946,0,1,"1"
"UPI_8","UPI","8",1,2,"2018",585063.434469,4795710.33399,0,0,"0"
"UPI_10","UPI","10",0,0,"2018",594773.594265,4810696.30381,0,1,"1"
"UPI_11","UPI","11",0,0,"2018",605640.747388,4792396.93398,0,0,"0"
"UPI_12","UPI","12",1,1,"2018",590207.388844,4802737.50225,1,1,"3"
"UPI_13","UPI","13",1,1,"2018",578831.913963,4816598.64676,0,0,"0"
"UPI_14","UPI","14",0,0,"2018",633960.023685,4814260.27572,0,1,"1"
"UPI_16","UPI","16",0,0,"2018",607000.024668,4784168.78234,0,0,"0"
"UPI_18","UPI","18",1,1,"2018",604313.986459,4812089.15452,0,1,"1"
"UPI_22","UPI","22",0,0,"2018",589784.525676,4815485.66393,0,1,"1"
"UPI_26","UPI","26",1,2,"2018",590496.201598,4808404.80019,0,1,"1"
"UPI_27","UPI","27",0,0,"2018",608155.901524,4787618.95285,0,0,"0"
"UPI_32","UPI","32",0,0,"2018",609596.874493,4786234.73062,0,0,"0"
"UPI_34","UPI","34",1,2,"2018",607495.531749,4803850.27072,1,1,"3"
"UPI_35","UPI","35",1,2,"2018",619846.057931,4816718.38236,1,1,"3"
"UPI_36","UPI","36",0,0,"2018",589390.184109,4788416.8675,0,0,"0"
"UPI_38","UPI","38",0,0,"2018",590094.965662,4815003.35262,0,1,"1"
"UPI_41","UPI","41",1,1,"2018",581294.914744,4813948.83849,0,0,"0"
"UPI_48","UPI","48",1,1,"2018",592842.015004,4786417.47716,0,0,"0"
"UPI_57","UPI","57",0,0,"2018",579167.042681,4816253.52383,0,0,"0"
"UPI_61","UPI","61",0,0,"2018",612699.546499,4813349.14448,0,1,"1"
"UPI_75","UPI","75",0,0,"2018",579278.661635,4802886.5462,0,0,"0"
"UPI_84","UPI","84",0,0,"2018",588903.675909,4788524.6223,0,0,"0"
"UPI_85","UPI","85",1,2,"2018",628878.153848,4804272.48841,1,1,"3"
"UPI_86","UPI","86",0,0,"2018",598392.753215,4809896.733,0,1,"1"
"UPI_93","UPI","93",1,1,"2018",610254.040474,4807531.8953,1,0,"2"
"UPI_96","UPI","96",1,1,"2018",595823.760845,4787549.82554,0,0,"0"
"UPI_108","UPI","108",1,1,"2018",605375.923316,4785175.7019,0,0,"0"
"UPI_109","UPI","109",1,1,"2018",613456.340385,4812413.90671,0,1,"1"
"UPI_117","UPI","117",1,2,"2018",630156.830183,4803439.95123,1,1,"3"
"UPI_118","UPI","118",1,3,"2018",585477.881371,4812513.79027,0,0,"0"
"UPI_123","UPI","123",0,0,"2018",606312.881484,4793132.07951,0,1,"1"
"UPI_128","UPI","128",0,0,"2018",604638.732016,4784170.67887,0,0,"0"
"UPI_130","UPI","130",1,2,"2018",607593.694824,4810319.11704,1,1,"3"
"UPI_135","UPI","135",1,1,"2018",578851.387511,4798626.63573,0,0,"0"
"UPI_149","UPI","149",1,1,"2018",611899.311345,4805809.69479,1,1,"3"
"UPI_154","UPI","154",1,1,"2018",597363.689484,4804117.23327,1,1,"3"
"UPI_156","UPI","156",1,1,"2018",591564.575501,4800771.16878,1,1,"3"
"UPI_157","UPI","157",1,2,"2018",610163.18218,4816907.32839,1,1,"3"
"UPI_163","UPI","163",1,1,"2018",621497.356279,4815118.42693,0,1,"1"
"UPI_170","UPI","170",0,0,"2018",608772.147617,4809759.40298,0,0,"0"
"UPI_14b","UPI","14b",0,0,"2018",633778.293129,4814158.79892,0,1,"1"
"UPI_32b","UPI","32b",0,0,"2018",609452.566199,4785924.81474,0,0,"0"
"UPI_57b","UPI","57b",1,1,"2018",579568.509547,4815377.87164,0,0,"0"
"UPI_201","UPI","201",0,0,"2018",598236.572564,4811099.25178,0,1,"1"
"UPI_202","UPI","202",0,0,"2018",586001.658461,4809933.10747,0,1,"1"
"YEL_1","YEL","1",1,1,"2018",625611.080973,4770069.29646,0,1,"1"
"YEL_4","YEL","4",0,0,"2018",638618.163216,4768058.4533,0,1,"1"
"YEL_17","YEL","17",0,0,"2018",621841.071868,4770733.78284,0,1,"1"
"YEL_20","YEL","20",0,0,"2018",633531.592709,4770662.20047,0,1,"1"
"YEL_25","YEL","25",1,1,"2018",609079.904881,4775692.72476,1,0,"2"
"YEL_29","YEL","29",0,0,"2018",623900.116162,4793833.68443,0,1,"1"
"YEL_36","YEL","36",0,0,"2018",630274.943452,4778692.0245,0,0,"0"
"YEL_39","YEL","39",1,1,"2018",644593.783239,4799628.16959,0,0,"0"
"YEL_40","YEL","40",1,1,"2018",627166.940974,4772479.91574,0,1,"1"
"YEL_41","YEL","41",1,1,"2018",609710.44401,4780101.57732,0,0,"0"
"YEL_52","YEL","52",1,1,"2018",625892.698926,4769759.91992,0,1,"1"
"YEL_56","YEL","56",1,1,"2018",633348.116035,4777277.40529,0,1,"1"
"YEL_57","YEL","57",1,1,"2018",609984.809777,4775209.14234,0,0,"0"
"YEL_65","YEL","65",1,1,"2018",613051.098242,4776106.93675,0,1,"1"
"YEL_73","YEL","73",1,2,"2018",610930.787906,4776301.34992,0,1,"1"
"YEL_77","YEL","77",1,2,"2018",624764.498515,4789210.30297,0,1,"1"
"YEL_80","YEL","80",1,1,"2018",643342.975208,4771880.85138,0,0,"0"
"YEL_82","YEL","82",1,1,"2018",638363.356756,4793514.74624,0,1,"1"
"YEL_101","YEL","101",1,1,"2018",602055.349831,4778361.13981,0,0,"0"
"YEL_103","YEL","103",1,1,"2018",639595.890613,4806827.00929,1,1,"3"
"YEL_105","YEL","105",0,0,"2018",624501.04904,4785143.52355,0,0,"0"
"YEL_113","YEL","113",0,0,"2018",622463.518489,4770251.64451,0,0,"0"
"YEL_119","YEL","119",1,1,"2018",650258.511764,4786402.18677,0,0,"0"
"YEL_120","YEL","120",1,1,"2018",631513.961671,4776624.63285,0,1,"1"
"YEL_129","YEL","129",1,1,"2018",620492.922774,4771220.23191,0,0,"0"
"YEL_150","YEL","150",0,0,"2018",645761.170457,4789130.83704,0,0,"0"
"YEL_161","YEL","161",1,2,"2018",624113.536588,4770468.96012,0,1,"1"
"YEL_178","YEL","178",1,3,"2018",639155.361803,4795013.88483,0,1,"1"
"YEL_193","YEL","193",0,0,"2018",624002.858153,4781915.83465,0,1,"1"
"YEL_201","YEL","201",1,1,"2018",635444.242889,4794230.49903,0,1,"1"
"YEL_202","YEL","202",1,1,"2018",605991.139328,4780237.386,0,0,"0"
"YEL_203","YEL","203",0,0,"2018",620182.425262,4787545.2386,0,1,"1"
"YEL_204","YEL","204",0,0,"2018",618467.009513,4779908.68736,0,1,"1"
"LMAQ_5","LMAQ","5",1,1,"2018",644627.945699,4749374.73555,0,1,"1"
"LMAQ_48","LMAQ","48",0,0,"2018",647939.27675,4752925.81605,0,0,"0"
"LMAQ_10","LMAQ","10",0,0,"2018",654977.25376,4735400.37016,0,0,"0"
"LMAQ_17","LMAQ","17",1,3,"2018",648059.491636,4745626.69088,0,1,"1"
"LMAQ_28b","LMAQ","28b",1,1,"2018",645307.785537,4751402.73623,0,0,"0"
"LMAQ_24","LMAQ","24",1,1,"2018",642820.292329,4755594.70491,1,1,"3"
"LMAQ_61","LMAQ","61",1,2,"2018",654697.074411,4738207.75789,0,1,"1"
"UPI_23","UPI","23",1,1,"2019",575724.774034,4803979.09864,1,0,"2"
"UPI_25","UPI","25",1,2,"2019",569678.255918,4804744.72379,1,0,"2"
"UPI_28","UPI","28",1,2,"2019",596108.810923,4794832.96718,0,1,"1"
"UPI_70","UPI","70",1,1,"2019",628217.055398,4815085.89459,0,1,"1"
"UPI_73","UPI","73",1,2,"2019",630817.415029,4803257.03575,1,1,"3"
"UPI_78","UPI","78",0,0,"2019",632691.684608,4808782.57985,0,1,"1"
"UPI_78b","UPI","78b",1,1,"2019",632125.3127,4808950.79792,1,1,"3"
"UPI_112","UPI","112",1,2,"2019",597554.224403,4785373.7905,0,0,"0"
"UPI_151","UPI","151",1,1,"2019",608586.195068,4790951.43523,0,1,"1"
"UPI_153","UPI","153",1,2,"2019",577117.285938,4810930.0918,0,0,"0"
"UPI_165","UPI","165",1,1,"2019",574087,4805365,0,0,"0"
"YEL_5","YEL","5",0,0,"2019",617438.878887,4771835.83171,0,0,"0"
"YEL_9","YEL","9",1,2,"2019",606170.822491,4777520.76621,0,0,"0"
"YEL_21","YEL","21",0,0,"2019",611163.261173,4781353.22323,0,0,"0"
"YEL_24","YEL","24",0,0,"2019",632192.600834,4770506.56834,0,1,"1"
"YEL_28","YEL","28",0,0,"2019",639665.630985,4767067.11917,0,1,"1"
"YEL_37","YEL","37",0,0,"2019",611619.482203,4775511.78382,0,0,"0"
"YEL_42","YEL","42",0,0,"2019",626919.635697,4781979.32635,0,1,"1"
"YEL_44","YEL","44",1,1,"2019",635662.140317,4764770.55505,0,0,"0"
"YEL_49","YEL","49",1,2,"2019",623397.990458,4777127.99205,0,1,"1"
"YEL_50","YEL","50",1,2,"2019",639037.412547,4782725.98362,0,1,"1"
"YEL_53","YEL","53",0,0,"2019",601421.587207,4778813.65329,0,0,"0"
"YEL_54","YEL","54",1,2,"2019",626870.955254,4788967.08378,0,0,"0"
"YEL_58","YEL","58",1,2,"2019",628693.334437,4786635.8686,0,1,"1"
"YEL_72","YEL","72",0,0,"2019",639947.077891,4767137.51616,0,1,"1"
"YEL_81","YEL","81",0,0,"2019",620882.613428,4775908.43394,0,1,"1"
"YEL_85","YEL","85",1,1,"2019",615298.334632,4779130.37148,0,0,"0"
"YEL_89","YEL","89",0,0,"2019",607997.127434,4781055.47558,0,0,"0"
"YEL_97b","YEL","97b",0,0,"2019",624780.047079,4777177.20315,0,1,"1"
"YEL_106","YEL","106",1,1,"2019",628062.017829,4787123.5277,0,0,"0"
"YEL_109","YEL","109",0,0,"2019",610568.119477,4782792.03983,0,0,"0"
"YEL_118","YEL","118",1,2,"2019",635584.022402,4786988.6686,0,0,"0"
"YEL_118b","YEL","118b",1,1,"2019",636014.3252,4787168.54011,0,1,"1"
"YEL_121","YEL","121",0,0,"2019",605799.987733,4777757.68299,0,0,"0"
"YEL_125","YEL","125",1,1,"2019",625016.784293,4793899.69733,0,0,"0"
"YEL_140","YEL","140",0,0,"2019",640991.449296,4766182.92904,0,1,"1"
"YEL_153","YEL","153",1,2,"2019",605251.787746,4777870.06963,0,0,"0"
"YEL_154","YEL","154",1,1,"2019",628510.814571,4793708.74961,0,0,"0"
