"OBJECTID","POINT_X","POINT_Y","No_cells","Area_km2","HAiFLS_for"
1,546899.905232,4815973.91971,710322,56.5674,5.3041863
2,546613.616021,4815788.29446,48028,3.82477,2.7552342
3,546586.703637,4815613.8608,660450,52.5958,5.5073752
4,545551.954495,4814459.53119,608876,48.4886,5.7484517
5,545728.509924,4814554.90661,641962,51.1235,4.5594916
6,545422.18511,4814493.96186,604773,48.1619,4.716579
7,545466.59573,4814402.58859,32452,2.58436,0.2538232
8,544918.300478,4813852.94201,578628,46.0798,100
9,544805.786169,4813809.58847,572568,45.5972,94.5124054
10,544914.420883,4813820.62412,19621,1.56254,1.1668214
11,536371.922236,4813300.96636,11382,0.90642,0
12,538760.490282,4813228.39503,16355,1.30245,0
13,546058.140258,4813449.67575,19218,1.53045,0
14,540923.783831,4813143.70938,70115,5.5837,0.2729628
15,539689.219831,4813114.42202,33914,2.70078,0.0008602
16,541466.642922,4813100.4188,79918,6.36437,0.2508226
17,543841.684979,4813163.33137,12978,1.03352,0
18,540725.070494,4813132.66909,61616,4.90687,0.3063699
19,544212.725776,4813037.95139,18060,1.43823,0.640048
20,540129.052545,4813037.95139,37828,3.01248,0.0007707
21,544617.620503,4813684.50011,563890,44.9061,4.3629642
22,540379.156374,4813020.49947,52320,4.16657,0.0243225
23,541735.195676,4812982.87035,86942,6.92374,0.2306155
24,544238.057668,4813025.78936,539665,42.9769,3.5116673
25,540123.567268,4813006.43049,13488,1.07413,0
26,546251.615095,4813154.68463,12404,0.987808,0
27,545100.325965,4813494.69158,13829,1.10129,0
28,536979.265768,4812839.70688,20070,1.5983,0
29,541976.141405,4812761.61358,95439,7.60041,0.2954118
30,542122.089727,4812708.33959,102297,8.14655,0.2756778
31,537212.647714,4812679.11737,27566,2.19525,0
32,537354.536641,4812278.43488,34450,2.74347,0
33,542740.362006,4812252.64679,114531,9.12082,0.2521871
34,542928.323228,4812150.91415,120233,9.57491,0.2460213
35,544117.881214,4812808.66864,532787,42.4292,3.4152913
36,544001.717198,4812074.16848,33647,2.67952,0.3799855
37,544041.732566,4811929.61364,11658,0.9284,0.0333065
38,543198.884159,4811828.84393,128541,10.2365,0.2297454
39,537921.642205,4811720.65376,47500,3.78272,0
40,543939.380753,4812008.6969,493446,39.2962,100
41,544007.461526,4811955.36196,20806,1.65691,0
42,543512.706789,4811627.97268,134822,10.7367,0.2186629
43,538361.063084,4811466.44981,64592,5.14387,0.0049506
44,538172.623705,4811423.04421,60862,4.84682,0.0053197
45,537895.119963,4811627.97268,9453,0.752802,0.0008917
46,538577.556951,4811314.56432,68971,5.49259,0.3370512
47,544031.429349,4811569.53053,16841,1.34115,0
48,538786.807187,4811231.82413,74606,5.94134,1.3396277
49,543548.340978,4811569.30439,355431,28.3052,4.9437876
50,541842.477877,4811029.08159,12767,1.01672,0.0262252
51,542138.666264,4810942.72553,23672,1.88515,0.2099082
52,543443.393325,4811146.08123,305194,24.3045,5.5771756
53,539771.934184,4810855.38369,15071,1.2002,2.6539876
54,539631.282205,4810747.90163,88372,7.03762,4.2021012
55,539830.218591,4810683.57119,104440,8.31721,0
56,543109.478721,4810897.89226,299340,23.8383,4.9572115
57,542247.543765,4810682.0376,29452,2.34545,0.1687149
58,542637.617137,4810601.72236,268478,21.3806,5.5935998
59,542841.94598,4810660.49719,293814,23.3983,5.061172
60,543485.079165,4811055.25011,48366,3.85169,0.0309924
61,542275.598519,4810623.52621,237630,18.924,100
62,540040.840599,4810377.73276,111432,8.87403,3.6537328
63,540365.178893,4810311.11288,139057,11.074,2.8812237
64,541521.021695,4810305.55202,228233,18.1756,5.1465917
65,543905.812371,4810442.53342,39511,3.14651,0.001694
66,544173.209493,4810226.91789,30055,2.39347,0
67,542649.21805,4810569.80965,24197,1.92696,0
68,540561.335378,4810191.22223,143677,11.4419,2.7806847
69,540797.025321,4810316.15705,214721,17.0996,2.860935
70,542669.529668,4810188.54505,19227,1.53117,0
71,540042.871551,4810297.35855,25854,2.05892,0.0003884
72,539464.436057,4810019.49968,18535,1.47606,0.0005448
73,544172.468618,4810183.34222,19435,1.54773,0
74,544097.356208,4809780.7221,10452,0.832358,0
75,544175.890815,4809874.43566,15641,1.24559,0
76,540563.883782,4810132.73742,68352,5.4433,0
77,540239.961649,4809636.29275,30622,2.43862,0
78,540319.157104,4809554.76015,34248,2.72738,0.0037771
79,539416.238905,4809398.25507,16088,1.28119,0
80,540583.771437,4809026.38045,23734,1.89009,0
81,540544.09049,4808810.36504,20161,1.60555,0
82,540305.796297,4808382.81298,11820,0.941301,0
83,548503.412503,4812503.66317,9126,0.726761,0
84,550114.752681,4812301.22996,10633,0.846773,0
85,550230.763588,4812262.4631,319518,25.4452,0.5038781
86,553653.986653,4812318.67484,16618,1.3234,0
87,550116.083657,4812270.49463,308571,24.5734,0.5069174
88,556120.548064,4812085.22918,42901,3.41648,100
89,550734.840217,4812045.35268,331162,26.3725,0.4934805
90,550784.046372,4811992.48978,15730,1.25268,0
91,548831.139193,4811969.50673,15652,1.24647,0
92,549936.274364,4812032.14977,305260,24.3098,0.5141498
93,549131.495734,4811782.11856,23692,1.88674,0
94,554500.575237,4811842.71086,25877,2.06075,0
95,554687.501069,4811874.4736,29914,2.38224,1.1685038
96,556123.064728,4811996.3699,15977,1.27235,8.6003628
97,549747.052938,4811849.70619,31346,2.49628,0
98,556138.585424,4811726.32529,11185,0.890732,0.0290507
99,549802.103031,4811792.04171,272686,21.7157,0.5541648
100,551611.517056,4811531.37305,391904,31.2098,100
101,551202.148412,4811394.79412,352196,28.0476,100
102,551254.561325,4811391.34117,386683,30.794,93.1905136
103,548130.347007,4811330.18711,11754,0.936045,0
104,554436.208801,4811300.06863,484734,38.6024,2.4984815
105,548168.446629,4811228.18125,79130,6.30162,0
106,554094.819161,4811340.91683,476535,37.9495,2.5116963
107,552408.620033,4811194.11033,9463,0.753598,0.7856261
108,549280.6482,4811228.8246,263149,20.9562,0.0020686
109,552469.77408,4811089.86056,446488,35.5566,0
110,549037.730813,4811099.41099,85030,6.77147,0
111,547525.645007,4811054.64881,17962,1.43043,0
112,548113.548068,4811244.25748,62953,5.01334,0
113,551881.688024,4811095.59186,397222,31.6333,1.0388583
114,551059.100676,4811379.29335,33461,2.66471,0.0482932
115,553611.354428,4811136.12583,466907,37.1827,0
116,552457.257971,4811038.85847,432848,34.4704,0
117,552260.954449,4810976.52682,411673,32.7841,1.3609451
118,552915.927758,4810968.53742,450098,35.8441,0
119,553574.761206,4810962.66124,463749,36.9312,100
120,552113.068396,4810946.12137,402279,32.036,1.3779875
121,553128.054253,4811033.0479,454922,36.2283,1.8763177
122,549133.121935,4811037.4312,175927,14.0102,0.0026775
123,554478.711091,4811257.49388,303041,24.1331,0.0793804
124,547068.15821,4810635.43347,18103,1.44166,0
125,550489.557148,4810954.52003,21563,1.7172,0
126,547146.988317,4810574.95061,16878,1.3441,0
127,547653.836005,4810986.78654,41699,3.32075,0
128,552285.49446,4810909.59897,20559,1.63724,0
129,552084.23818,4810864.04002,8849,0.704701,0
130,548866.172929,4810831.40992,167733,13.3576,0
131,554527.64728,4810685.73467,294863,23.4818,0
132,550465.210973,4810524.2671,14503,1.15496,0
133,546955.686462,4810458.78311,12210,0.972359,0
134,552382.809483,4810237.22398,14108,1.12351,0
135,548740.469637,4810023.21416,155775,12.4053,0.0005509
136,552102.783078,4809983.96932,9398,0.748422,0
137,548508.447824,4809721.97511,148639,11.8371,0.0005796
138,554571.206511,4809868.37615,12854,1.02364,0.0038735
139,548511.952803,4809586.63284,113430,9.03314,0
140,554454.587918,4809863.84946,271424,21.6152,0.0007117
141,548469.531314,4809540.51499,33458,2.66447,0
142,553601.711934,4809414.84155,11763,0.936762,0
143,554432.877108,4809309.72282,22051,1.75606,0.0024003
144,547812.382386,4809272.05889,24604,1.95937,0
145,554516.02799,4809269.38172,243709,19.4081,0.0005416
146,554553.538587,4809160.22253,19246,1.53268,0.0034587
147,554532.091039,4809149.29668,224195,17.8541,0.0002182
148,548688.943231,4809320.22348,25281,2.01328,0
149,549518.89328,4809006.38438,9273,0.738467,0
150,547613.338017,4809152.75751,18486,1.47216,0
151,554853.24333,4808997.3327,14340,1.14198,6.81e-05
152,554396.348999,4809022.18925,165808,13.2043,0.0003037
153,548576.481786,4809332.80404,87091,6.9356,0
154,548464.720636,4808619.72064,64980,5.17477,0
155,554517.508224,4808973.17287,57867,4.60831,0
156,548472.752161,4808586.94495,62325,4.96333,0
157,548408.95169,4808567.06954,16762,1.33486,0.0048303
158,554262.724016,4808612.23897,158010,12.5833,0
159,554532.091039,4808473.87374,50884,4.05221,0
160,548624.555863,4808320.06931,57721,4.59669,0
161,552302.878148,4808181.16183,15078,1.20076,0
162,552619.247446,4808192.26507,74282,5.91554,0
163,553489.681724,4808038.62981,149452,11.9018,0
164,555105.89883,4807938.82586,43380,3.45462,0
165,551993.056312,4807826.38452,50161,3.99464,0
166,552327.672329,4808114.57198,57819,4.60449,0
167,551388.895854,4807799.61277,11963,0.952689,0
168,551657.697736,4807807.6443,44518,3.54525,0
169,555191.791564,4807872.3426,23130,1.84199,0
170,553130.719586,4807714.80918,83189,6.62486,0
171,553325.577613,4807710.37361,90229,7.1855,0
172,553455.19009,4807960.24326,128531,10.2357,0
173,548907.52402,4807726.91349,34914,2.78042,0
174,551408.720483,4807771.57899,31921,2.54207,0
175,548994.416064,4807559.65811,29325,2.33533,0
176,555155.667887,4807839.8433,19890,1.58397,0
177,551399.796567,4807489.33119,25689,2.04578,0
178,553541.815312,4807877.13866,19986,1.59161,0
179,549403.282793,4807438.57681,20176,1.60674,0
180,553336.286312,4807630.97119,37086,2.95339,0
181,548892.176207,4807628.38905,11781,0.938195,0
182,555138.509371,4807153.82725,9622,0.76626,0
183,554014.503918,4807131.55436,9638,0.767534,0
184,553163.501646,4807026.46236,25150,2.00285,0
185,549615.01791,4807023.22757,9691,0.771755,0
186,551346.88773,4807115.39842,9917,0.789753,0
187,551369.97962,4807118.34997,12603,1.00366,0
188,553100.954521,4806652.81278,17775,1.41553,0
189,545501.088175,4816525.43267,9975,0.794372,9.7700539
190,551238.271885,4816493.31328,9132,0.727238,35.1964073
191,547137.101319,4816375.49593,65794,5.23959,0
192,543287.959417,4816424.57865,59845,4.76583,0.0023886
193,539984.624922,4816420.11551,140834,11.2155,0.0016527
194,544465.967651,4816339.80026,18964,1.51022,1.9580559
195,543893.881409,4816369.27774,10168,0.809742,96.8740997
196,539218.6514,4816279.07326,25859,2.05931,0
197,539673.536838,4816070.27458,31767,2.52981,0
198,547283.153679,4816053.0721,71557,5.69853,1.4797883
199,539717.01433,4816039.8056,103735,8.26107,0
