"ch","freq","newID","avwid","pctfines","pctriffle","BrBank","MEANT","HAiFLS_ag","HAiFLS_for","pctSlope","BRT_100m","adult_100m","mean_len","med_len"
"000",1,"UPI_1",3.125,53.3333333333333,50,1.33333333333333,17.421875,7.0419693,39.1816711,0.487275817236,4.86111111111111,2.77777777777778,179.071428571429,232.5
"100",1,"UPI_8",6.91666666666667,31.5789473684211,20.8333333333333,1.75,21.9288194444444,60.0907021,3.8072126,12.5936041884,0,0,0,0
"000",1,"UPI_10",3.825,70.8333333333333,4.16666666666667,1.875,18.4495601851852,71.1617584,0.0171744,1.2751118955,0.222222222222222,0.222222222222222,177,177
"000",1,"UPI_11",2.10416666666667,12.1212121212121,83.3333333333333,0.416666666666667,16.7671759259259,1.0174063,61.3778419,7.23810199284,0,0,0,0
"000",1,"UPI_12",2.05833333333333,27.6595744680851,41.6666666666667,1.41666666666667,17.7402777777778,53.8789177,25.6601162,7.48499723501,2.66666666666667,2,169.5,172.5
"000",1,"UPI_13",3.65833333333333,43.75,25,2.70833333333333,18.66375,69.8995895,14.4057808,6.60373853635,0,0,0,0
"000",1,"UPI_14",2.575,47.8260869565217,29.1666666666667,0.583333333333333,18.7827083333333,0.3643101,72.1483536,7.55066907722,0.666666666666667,0.666666666666667,246.5,246.5
"000",1,"UPI_16",1.5375,61.1111111111111,12.5,1.375,18.7233796296296,61.2893448,0.4850812,0.37087622828,0,0,0,0
"000",1,"UPI_18",2.9,50,29.1666666666667,1.625,19.3814814814815,43.0702248,6.680882,10.2294417028,0.584795321637427,0.584795321637427,195.5,195.5
"000",1,"UPI_22",2.18333333333333,32.258064516129,37.5,0.791666666666667,18.7746296296296,68.9955521,0.0007945,7.19080127754,11.3888888888889,9.44444444444444,253.536585365854,264
"010",1,"UPI_26",5.72916666666667,20.8333333333333,29.1666666666667,0.916666666666667,23.1805787037037,39.3303566,12.4863567,0.764144651207,0.888888888888889,0.444444444444444,263,243.5
"000",1,"UPI_27",4.04458333333333,33.3333333333333,16.6666666666667,1.29166666666667,21.5668518518519,67.0242691,3.1386724,21.5325456731,0,0,0,0
"000",1,"UPI_32",1.90833333333333,16.6666666666667,20.8333333333333,0.291666666666667,16.6847222222222,89.9392395,0,16.0712811521,0,0,0,0
"000",1,"UPI_34",3.2625,14.2857142857143,16.6666666666667,1.04166666666667,16.6888657407407,13.2846823,35.5497017,13.6326989144,3.55555555555556,3.55555555555556,268.5625,283.5
"000",1,"UPI_35",5.925,13.6363636363636,29.1666666666667,0.625,17.2473611111111,34.4313202,18.2874947,5.25571002239,37.7777777777778,28.8888888888889,219.917647058824,192.5
"000",1,"UPI_36",2.375,58.8235294117647,12.5,0.916666666666667,18.2514351851852,68.5173645,8.3160257,1.45495632031,0,0,0,0
"000",1,"UPI_38",2.3375,43.2432432432432,8.33333333333333,0.833333333333333,18.6836111111111,56.7960014,4.9718437,0.902388834814,13.1868131868132,12.8205128205128,284.972222222222,294.5
"000",1,"UPI_41",2.72083333333333,60,16.6666666666667,1.70833333333333,18.6027178774929,57.2280502,11.0559187,0.216719197188,0,0,0,0
"111",1,"UPI_48",3.4625,11.1111111111111,41.6666666666667,1.08333333333333,18.699537037037,48.0847778,14.5001488,0.429827,0,0,0,0
"000",1,"UPI_57",0.95,75,8.33333333333333,0.25,18.8619444444444,89.4968872,1.6014369,3.51227979495,0,0,0,0
"000",1,"UPI_61",2.25,16.6666666666667,66.6666666666667,0.333333333333333,17.9340277777778,0.1207526,34.8816223,0.0277088105546,3.33333333333333,3.33333333333333,275.6,296
"000",1,"UPI_75",1.7,20.8333333333333,12.5,0.208333333333333,18.156087962963,78.2956314,0.0168676,22.8384497693,0,0,0,0
"000",1,"UPI_84",2.11666666666667,82.8571428571428,8.33333333333333,0.791666666666667,18.9649305555556,54.4314423,7.4522662,1.16846509682,0,0,0,0
"000",1,"UPI_85",3.5304347826087,0,54.1666666666667,0.625,17.6680787037037,7.2566895,57.5264244,0.140089699702,36.231884057971,29.3478260869565,210.13,204.5
"000",1,"UPI_86",2.85833333333333,10,37.5,1.66666666666667,14.5513657407407,36.1588211,16.0228348,4.90593066329,5.18518518518519,3.33333333333333,163,186
"000",1,"UPI_93",1.63333333333333,22.2222222222222,29.1666666666667,0.0454545454545455,16.1285648148148,12.3707876,57.9315987,1.39484012629,0,0,0,0
"111",1,"UPI_96",4.8375,21.2765957446809,33.3333333333333,1.79166666666667,22.2465046296296,26.2927151,8.7269726,0.337038889217,0,0,0,0
"100",1,"UPI_108",2.96666666666667,10.8108108108108,25,0.916666666666667,18.6027178774929,71.3130417,0.2732082,33.9861530325,0,0,0,0
"100",1,"UPI_109",3.77083333333333,0,33.3333333333333,0.625,18.9732638888889,0.0531152,24.677969,3.65059114232,7.2463768115942,5.79710144927536,223.75,253.5
"000",1,"UPI_117",3.52083333333333,21.9512195121951,29.1666666666667,0.291666666666667,16.6258796296296,2.9127879,64.0907898,4.4551419772,34.4444444444444,25.9259259259259,204.956989247312,219
"111",1,"UPI_118",5.4375,21.7391304347826,16.6666666666667,1.16666666666667,21.9840509259259,57.6908226,5.1532969,2.62642149765,0,0,0,0
"000",1,"UPI_123",4.45416666666667,6.81818181818182,29.1666666666667,1.08333333333333,18.4933101851852,43.2231598,23.0814247,0.163439000522,4,3.77777777777778,223.722222222222,218.5
"000",1,"UPI_128",3.17083333333333,83.7837837837838,4.16666666666667,1.25,18.5765277777778,86.3887863,1.4e-06,2.58586134024,0,0,0,0
"000",1,"UPI_130",2.925,45.945945945946,16.6666666666667,0.416666666666667,18.2037731481481,11.2023516,39.1104546,8.34030296968,3.61111111111111,1.94444444444444,167.846153846154,153
"000",1,"UPI_135",1.40833333333333,76.6666666666667,20.8333333333333,0.583333333333333,19.2979166666667,82.8153076,4.3185711,0.561976315881,0,0,0,0
"000",1,"UPI_149",5.43333333333333,32.6086956521739,33.3333333333333,0.458333333333333,16.5852546296296,19.796442,43.5465355,4.49829347533,40.4444444444444,26.6666666666667,177.688351648352,175.26
"000",1,"UPI_154",3.92083333333333,2.7027027027027,41.6666666666667,0.25,18.4892592592593,57.3743019,13.6107121,0.58209764105,20.2279202279202,20.2279202279202,244.760563380282,225
"000",1,"UPI_156",3.33333333333333,15,62.5,0.583333333333333,10.7275925925926,17.1424675,54.1856232,16.1070156807,3.43137254901961,2.94117647058824,176.142857142857,180
"000",1,"UPI_157",5.74583333333333,45.8333333333333,8.33333333333333,0.416666666666667,19.7186342592593,28.7696514,21.1315403,3.62957967923,35.3333333333333,33.7777777777778,238.666666666667,220
"000",1,"UPI_163",4.34583333333333,8.88888888888889,25,0.5,18.1166898148148,20.7221489,40.6095695,2.49079588009,35,27.2222222222222,215.758064516129,184
"000",1,"UPI_170",1.84583333333333,33.3333333333333,0,0.625,19.8069907407407,19.0930767,69.2333908,0.639089772191,0,0,0,0
"000",1,"UPI_14b",2.57083333333333,62.5,25,0,18.140162037037,0.3148152,64.087616,0.571810279847,6.66666666666667,6.66666666666667,246.05,227
"000",1,"UPI_32b",1.98333333333333,18.4210526315789,8.33333333333333,0.416666666666667,20.1396759259259,72.8276672,2.6046841,0.959905133078,0,0,0,0
"000",1,"UPI_57b",3.00833333333333,81.25,12.5,3.16666666666667,23.8612037037037,78.8611526,8.9146099,2.56162827346,0,0,0,0
"000",1,"UPI_201",4.625,3.7037037037037,45.8333333333333,0,14.2394444444444,46.0964394,19.5544434,3.38793005857,17.0068027210884,12.2448979591837,168.88,166.5
"000",1,"UPI_202",2.85,12.1212121212121,66.6666666666667,0.35,17.0815972222222,17.7761421,30.7904701,5.65214008749,17.037037037037,15.1851851851852,210.5,190.5
"100",1,"YEL_1",5.99583333333333,25,29.1666666666667,0.916666666666667,22.05375,62.5232162,3.7210562,0.0722113107331,5.33333333333333,5.11111111111111,296.458333333333,305.5
"000",1,"YEL_4",2.4,11.4285714285714,50,0.166666666666667,13.3723842592593,68.2212372,8.1076403,3.11672360978,20.8333333333333,18.8888888888889,201.054054054054,197
