"uid","RchLength"
1,96
2,150
3,150
4,50
5,50
6,150
7,100
8,50
9,114
10,120
11,150
12,120
13,50
14,50
15,150
16,150
17,50
18,91
19,50
20,125
21,50
22,50
23,50
24,55
25,92
26,90
27,50
28,150
29,150
30,92
31,90
32,150
33,150
34,150
35,120
36,80
37,150
38,117
39,68
40,150
41,60
42,50
43,100
44,50
45,70
46,98
47,90
48,150
49,120
50,80
51,150
52,50
53,50
54,60
55,54
56,50
57,150
58,150
59,50
60,150
61,50
62,72
63,120
64,56
65,150
66,80
67,55
68,104
69,50
70,50
71,120
72,150
73,60
74,50
75,108
76,150
77,150
78,120
79,50
80,150
81,150
82,117
83,100
84,61
85,100
86,52
87,100
88,110
89,60
90,130
91,150
92,90
93,116
94,150
95,50
96,88
97,150
98,84
99,100
100,56
101,150
102,50
103,90
104,100
105,50
106,150
107,92
108,146
109,60
110,50
111,150
112,150
113,60
114,128
115,90
116,58
117,121
118,93
119,67
120,69
121,104
122,50
123,54
124,100
125,150
126,150
127,96
128,150
129,150
130,50
131,90
132,50
133,80
134,84
135,100
136,62
137,92
138,64
139,50
140,56
141,75
