"newID","bin1_Cottus","bin1_LND","bin1_SRD","bin2_Cottus","bin2_LND","bin2_SRD","bin3_Cottus","bin3_LND","bin3_SRD","bin4_Cottus","bin4_LND","bin4_SRD"
"LMAQ_17",74,0,0,186,2,2,17,0,0,0,0,0
"LMAQ_20",0,0,1,0,0,0,0,0,0,0,0,0
"LMAQ_23",34,0,0,55,0,0,11,0,0,0,0,0
"LMAQ_28b",0,0,0,0,0,1,0,0,0,0,0,0
"LMAQ_5",0,0,1,0,0,17,0,0,0,0,0,0
"LMAQ_61",0,0,0,0,17,0,0,3,0,0,0,0
"LMAQ_8",0,0,0,1,0,0,0,0,0,1,0,0
"UPI_108",0,0,0,0,1,0,0,0,0,0,0,0
"UPI_109",0,0,0,0,1,0,0,0,0,0,0,0
"UPI_112",0,0,0,0,1,7,0,1,0,0,0,0
"UPI_117",16,0,0,7,0,0,0,0,0,0,0,0
"UPI_118",0,6,0,0,5,1,0,2,0,0,0,0
"UPI_13",0,0,0,0,0,1,0,0,0,0,0,0
"UPI_130",5,0,0,11,0,0,1,0,0,0,0,0
"UPI_135",0,0,1,0,0,3,0,0,0,0,0,0
"UPI_151",0,0,0,1,0,0,0,0,0,0,0,0
"UPI_153",14,0,0,107,0,0,4,0,0,0,0,0
"UPI_157",0,0,0,17,0,0,5,0,0,1,0,0
"UPI_163",18,0,0,72,0,0,8,0,0,1,0,0
"UPI_165",0,0,2,0,0,14,0,0,0,0,0,0
"UPI_18",0,0,0,9,0,0,0,0,0,0,0,0
"UPI_25",0,0,3,0,0,1,0,0,0,0,0,0
"UPI_26",0,0,0,0,1,22,0,1,5,0,0,0
"UPI_28",0,0,0,1,3,0,1,0,0,0,0,0
"UPI_34",0,0,0,8,0,0,2,0,0,0,0,0
"UPI_35",85,0,0,82,0,0,17,0,0,0,0,0
"UPI_41",0,0,0,0,0,1,0,0,0,0,0,0
"UPI_48",0,6,0,0,10,0,0,1,0,0,0,0
"UPI_57b",0,0,2,0,0,0,0,0,0,0,0,0
"UPI_70",1,0,0,1,0,0,0,0,0,0,0,0
"UPI_73",17,0,0,204,0,0,22,0,0,0,0,0
"UPI_8",0,0,1,0,2,0,0,0,0,0,0,0
"UPI_85",22,0,0,23,0,0,0,0,0,0,0,0
"UPI_96",0,34,0,0,118,0,0,12,0,0,0,0
"YEL_1",0,0,0,0,1,0,0,0,0,0,0,0
"YEL_101",0,0,2,0,0,7,0,0,0,0,0,0
"YEL_106",0,0,0,0,0,2,0,0,0,0,0,0
"YEL_118",0,0,1,0,3,1,0,0,0,0,0,0
"YEL_118b",0,0,0,0,3,0,0,0,0,0,0,0
"YEL_119",0,0,0,0,9,0,0,0,0,0,0,0
"YEL_120",0,0,0,0,10,0,0,0,0,0,0,0
"YEL_125",0,0,0,0,1,0,0,3,0,0,0,0
"YEL_129",0,0,0,0,0,1,0,0,0,0,0,0
"YEL_153",0,0,15,0,1,56,0,0,1,0,0,0
"YEL_154",0,43,0,0,0,0,0,0,0,0,0,0
"YEL_161",0,0,1,0,1,2,0,0,0,0,0,0
"YEL_165",0,1,1,0,0,9,0,4,0,0,0,0
"YEL_178",0,0,0,3,27,0,4,0,0,0,0,0
"YEL_201",0,0,0,3,0,0,2,0,0,0,0,0
"YEL_202",0,0,0,0,0,3,0,0,0,0,0,0
"YEL_40",0,0,0,0,6,0,0,1,0,0,0,0
"YEL_41",0,0,0,0,13,0,0,3,0,0,0,0
"YEL_44",0,0,9,0,0,30,0,0,0,0,0,0
"YEL_49",0,1,0,0,41,1,0,9,0,0,0,0
"YEL_50",0,20,0,0,11,1,0,0,0,0,0,0
"YEL_52",0,0,0,0,0,1,0,0,0,0,0,0
"YEL_54",0,2,14,0,56,51,0,5,0,0,0,0
"YEL_56",0,0,0,0,89,0,0,5,0,0,0,0
"YEL_57",0,0,2,0,0,15,0,0,0,0,0,0
"YEL_58",0,0,1,0,18,1,0,0,0,0,0,0
"YEL_65",0,2,0,0,0,0,0,1,0,0,0,0
"YEL_73",0,0,0,0,3,4,0,0,0,0,0,0
"YEL_77",0,6,3,0,54,4,0,2,0,0,0,0
"YEL_80",0,0,0,4,0,0,2,0,0,0,0,0
"YEL_82",1,0,0,49,0,0,2,0,0,0,0,0
"YEL_85",0,0,5,0,0,8,0,0,0,0,0,0
"YEL_9",0,0,32,0,2,169,0,0,3,0,0,0
