"HUC_month","HUC8","month_x","meanT_C","meanT_F","month_name","Year_logger"
"LMAQ_June","LMAQ",6,14.0248611111111,57.24475,"June",2019
"LMAQ_July","LMAQ",7,16.2453171706639,61.241570907195,"July",2019
"LMAQ_August","LMAQ",8,14.6739080901178,58.413034562212,"August",2019
"LMAQ_September","LMAQ",9,15.3066474358974,59.5519653846154,"September",2019
"UPI_June","UPI",6,17.1228436213992,62.8211185185185,"June",2019
"UPI_July","UPI",7,18.5621940869501,65.4119493565101,"July",2019
"UPI_August","UPI",8,14.3211071535245,57.7779928763441,"August",2019
"UPI_September","UPI",9,14.635928744194,58.3446717395492,"September",2019
"YEL_June","YEL",6,16.2973783996683,61.335281119403,"June",2019
"YEL_July","YEL",7,17.6553629916477,63.7796533849658,"July",2019
"YEL_August","YEL",8,16.5548665138098,61.7987597248577,"August",2019
"YEL_September","YEL",9,16.7127634734587,62.0829742522257,"September",2019
