"uid","HUC8","site","numspecies","TopCarn_ab","total_ab","numCWspp","numTOLspp","numMINspp","numBENspp","CW_ab","pctCWindv","Intol_ab","pctINTOLindv","trout_ab","pctBKTsalmon","pctWSUindv","pctTOPCARNindv","CWindv150","WW_ab","WWindv150","M1_spp","M2_CWspp","M3_MINspp","M4_BENspp","M5_TOLspp","M6_BKTsalmonid","M7_pctIntol","M8_pctCW","M9_pctWSU","M10_pctTC","M11_CWindv150","M12_WWindv150","IBIScore","Rating"
1,"UPI","1",6,14,45,2,3,2,2,19,42.2222222222222,0,0,14,0,46.6666666666667,31.1111111111111,9.89583333333333,26,13.5416666666667,5,5,5,5,5,0,0,5,0,5,0,10,45,"Fair"
2,"UPI","8",14,0,373,0,6,9,5,0,0,0,0,0,NA,16.8900804289544,0,0,373,124.333333333333,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
3,"UPI","10",7,1,136,2,3,2,3,2,1.47058823529412,0,0,1,0,29.4117647058824,0.735294117647059,0.666666666666667,134,44.6666666666667,5,5,5,0,5,0,0,0,0,0,0,5,25,"Poor"
5,"UPI","12",4,5,220,3,1,1,0,219,99.5454545454545,1,0.454545454545455,5,20,0,2.27272727272727,219,1,1,10,5,10,10,10,5,0,10,10,0,10,10,90,"Good"
6,"UPI","13",8,0,103,1,5,5,2,25,24.2718446601942,0,0,0,NA,3.88349514563107,0,8.33333333333333,78,26,5,0,0,5,0,NA,0,0,0,0,0,5,15,"Poor"
8,"UPI","16",4,0,72,1,2,2,1,38,52.7777777777778,0,0,0,NA,0,0,38,34,34,10,0,5,10,5,NA,0,5,10,0,5,5,55,"Fair"
9,"UPI","18",3,2,141,3,0,0,1,141,100,9,6.38297872340426,2,0,0,1.41843971631206,61.8421052631579,0,0,10,5,10,10,10,0,0,10,10,0,5,10,80,"Good"
10,"UPI","22",2,41,118,1,1,0,1,41,34.7457627118644,0,0,41,0,65.2542372881356,34.7457627118644,17.0833333333333,77,32.0833333333333,10,0,10,10,10,0,0,0,0,5,0,5,50,"Fair"
12,"UPI","27",6,0,327,0,3,4,2,0,0,0,0,0,NA,11.0091743119266,0,0,327,136.25,5,0,0,5,5,NA,0,0,0,0,0,0,15,"Poor"
15,"UPI","34",8,109,194,4,2,2,3,120,61.8556701030928,103,53.0927835051546,109,85.3211009174312,5.67010309278351,56.1855670103093,40,74,24.6666666666667,5,10,5,0,5,5,10,5,0,5,5,5,60,"Fair"
16,"UPI","35",3,174,358,3,0,0,1,358,100,188,52.5139664804469,174,2.29885057471264,0,48.6033519553073,119.333333333333,0,0,10,5,10,10,10,0,10,10,10,5,10,10,100,"Good"
18,"UPI","38",3,37,102,1,1,0,1,36,35.2941176470588,0,0,36,0,63.7254901960784,36.2745098039216,19.7802197802198,66,36.2637362637363,10,0,10,10,10,0,0,0,0,5,0,5,50,"Fair"
20,"UPI","48",6,0,127,1,3,3,3,10,7.8740157480315,0,0,0,NA,3.1496062992126,0,4,117,46.8,5,0,5,0,5,NA,0,0,0,0,0,5,20,"Poor"
25,"UPI","85",3,101,146,3,0,0,1,146,100,46,31.5068493150685,101,0.99009900990099,0,69.1780821917808,79.3478260869565,0,0,10,5,10,10,10,0,5,10,10,5,10,10,95,"Good"
26,"UPI","86",7,14,98,1,3,3,2,14,14.2857142857143,0,0,14,0,22.4489795918367,14.2857142857143,7.77777777777778,84,46.6666666666667,5,0,5,5,5,0,0,0,0,0,0,5,25,"Poor"
27,"UPI","93",5,5,67,2,2,2,1,22,32.8358208955224,5,7.46268656716418,5,100,0,7.46268656716418,22,45,45,5,5,5,10,5,10,0,0,10,0,0,5,55,"Fair"
31,"UPI","117",3,99,122,3,0,0,1,122,100,29,23.7704918032787,99,6.06060606060606,0,81.1475409836066,67.7777777777778,0,0,10,5,10,10,10,0,5,10,10,10,5,10,95,"Good"
32,"UPI","118",13,0,237,0,4,9,5,0,0,0,0,0,NA,18.5654008438819,0,0,237,79,0,0,0,0,0,NA,0,0,0,0,0,0,0,"Very Poor"
33,"UPI","123",7,18,76,1,3,3,3,18,23.6842105263158,0,0,18,0,56.578947368421,23.6842105263158,6,58,19.3333333333333,5,0,5,0,5,0,0,0,0,0,0,5,20,"Poor"
34,"UPI","128",1,0,25,1,0,0,0,25,100,0,0,0,NA,0,0,8.33333333333333,0,0,10,0,10,10,10,NA,0,10,10,0,0,10,70,"Good"
35,"UPI","130",4,16,42,4,0,0,1,42,100,20,47.6190476190476,16,18.75,0,38.0952380952381,17.5,0,0,10,10,10,10,10,5,10,10,10,5,0,10,100,"Good"
