"HUC8","Site","LoggerNumber_2018","xcoord","ycoord","MonthIn","DayIn","YearIn","MonthRep","DayRep","YearRep","NewLoggerNumber_2019","SiteDescription","RetrievalNotes","comments"
"LMAQ","10",4624,"-91.098512","42.754111","8","16","2018","5","23","2019","4614","LMAQ_10_Schlueter",NA,"Behind Dennis Schlueter's House: 34749 Jolly Ridge Rd, Guttenberg"
"LMAQ","17",NA,"-91.182072","42.848804","NA","NA","NA","5","21","2019","4640","LMAQ_17_USFWS_BuckCreek",NA,"park by stream crossing at: (42.847257,-91.168682)"
"LMAQ","24",4610,"643102","4755499","8","14","2018","5","16","2019","8156","LMAQ_024","North Cedar WMA off of Imperial Ave",NA
"LMAQ","28b",4613,"-91.220317","42.901617","8","16","2018","5","21","2019","8152","LMAQ_28b_Koopman",NA,NA
"LMAQ","48",NA,"-91.187111","42.914434","NA","NA","NA","5","21","2019","2807","LMAQ_48_Koopman_SnyMagill",NA,"need 4x4"
"LMAQ","5",4615,"645418","4749089","8","2","2018","5","16","2019","8139","Little Maq_005_Leitgen","Pool by acess",NA
"LMAQ","61",4625,"-91.109849","42.779031","8","2","2018","5","23","2019","4629","LMAQ_61_Schlueter","Miners Creek","Miners Creek Hideaway Campground - *New Owner 2019*"
"UPI","1",3207,"-91.483719","43.330417","6","14","2018","3","30","2019","8129","UPI_001_Lyle + Diene Moose","moved upstream",NA
"UPI","10",4605,"594849","4810921","5","20","2018","3","19","2019","8155","UPI_010_Ben Newhouse","under sediment",NA
"UPI","108",4622,"605389","4785069","7","24","2018","3","28","2019","8138","UPI_108_Tietz",NA,NA
"UPI","109",3198,"613434","4812416","6","13","2018","3","17","2019","8119","UPI_109_Tilleros_Bear Creek Trib.",NA,NA
"UPI","11",4608,"605828","4792511","5","20","2018","3","17","2019","8111","UPI_11_ScottPropson/Ranch Road",NA,NA
"UPI","117",4626,"-91.393695","43.372352","8","7","2018","3","30","2019","8147","UPI_117_French","moved","WestBranch"
"UPI","118",3202,"-91.940069","43.457819","7","11","2018","3","29","2019","8153","UPI_118_Greenslade","buried, moved",NA
"UPI","12",20351163,"590221","4802747","5","20","2018","3","29","2019","8117","UPI_012_Corliss P",NA,NA
"UPI","123",4599,"-91.689456","43.283663","5","20","2018","3","18","2019","8130","UPI_123_Dale Nimrod","buried under cobbles, moved 30 yrds upstream of incoming trib marking beginning of site and River Left bank",NA
"UPI","128",3200,"-91.711837","43.204347","6","29","2018","3","29","2019","8151","UPI_128_Gipp_CenRd.","Dry, moved downstream slightly",NA
"UPI","13",3203,"-92.024508","43.500175","6","12","2018","3","17","2019","8165","UPI_013_Greenslade_Elliot Creek upper",NA,NA
"UPI","130",4589,"-91.672372","43.436134","5","20","2018","3","14","2019","8131","UPI_130_IADNR_BKT Site in Highlandville","beaver pool dry, moved upstream towards bridge",NA
"UPI","135",3199,"578916","4798581","7","24","2018","3","16","2019","8109","UPI_135_Moellers","15 yards down from culvert pipe",NA
"UPI","14",4590,"-91.344899","43.468105","7","12","2018","3","30","2019","8135","Irish Hollow/West","buried, moved upstream",NA
"UPI","149",4591,"612088","4805762","7","13","2018","3","18","2019","8150","Pine Creek UPI WMA",NA,NA
"UPI","14b",3209,"633978","4814147","7","12","2018","3","30","2019","8144","UPI_014b_Irish HollowNorth",NA,NA
"UPI","156",4620,"591602","4800824","7","17","2018","3","29","2019","8166","UPI_156_Falcon Springs",NA,NA
"UPI","157",3214,"610109","4816747","6","5","2018","5","12","2019","8110","UPI_157_Ben Holty_North Bear","moved, view photo on Waypoint 24",NA
"UPI","16",4601,"606944","4784176","6","29","2018","3","29","2019","8170","UPI_016_Trout River_Chuck Gipp",NA,NA
"UPI","163",3213,"-91.501372","43.478142","6","6","2018","3","18","2019","8173","UPI_163_Meiners","buried under cobbles, moved upstream",NA
"UPI","170",3221,"608711","4809579","5","20","2018","NA","NA","2019","NA","UPI_170_PFossum","retrieved by Caleb, never replaced",NA
"UPI","18",4612,"604491","4812041","5","20","2018","3","18","2019","8176","UPI_018_Elton Thorson_South Bear_ Locust Rd",NA,NA
"UPI","201",4598,"597952","4811238","7","31","2018","3","18","2019","8177","UPI_N.Canoe_Trib.","Hawks Pond Rd.",NA
"UPI","202",4627,"585966","4809923","7","19","2018","3","19","2019","8169","UPI_Coldwater Creek Corallan",NA,NA
"UPI","22",4603,"589780","4815496","6","4","2018","3","16","2019","8149","UPI_022_McCabe",NA,NA
"UPI","26",4606,"-91.881545","43.422432","5","20","2018","3","29","2019","8157","UPI_EricNorschow_Silver Creek_026","found floating",NA
"UPI","27",4607,"608180","4787407","5","20","2018","3","19","2019","8133","UPI_027_Sersland","floating",NA
"UPI","29",3219,"-91.766257","43.475819","5","20","2018","3","29","2019","8112","UPI_029_ Falck","moved, partially buried under sediment?",NA
"UPI","32",4609,"609609","4786255","5","20","2018","3","19","2019","8146","UPI_032_Albert Ashbaeker",NA,NA
"UPI","32b",4586,"-91.651507","43.217861","5","20","2018","3","19","2019","8124","UPI_32b_Brad Johnsen_Trout River","moved to next upstream pool, about 30 yards from deer stand",NA
"UPI","34",3205,"608236","4803216","7","19","2018","3","18","2019","8121","UPI_034_South Pine WMA",NA,NA
"UPI","35",3223,"619934","4816674","6","6","2018","3","18","2019","8114","UPI_035_Burrichter_BKT in Dorchester",NA,NA
"UPI","36",4600,"589134","4788436","5","20","2018","3","16","2019","8175","UPI_036_John + Jane Frana","not 3211, under a lot of debris",NA
"UPI","38",3212,"590158","4815382","6","4","2018","3","16","2019","8178","UPI_038_Nierling",NA,NA
"UPI","41",NA,"-91.99495","43.473598","5","20","2018","3","29","2019","8143","UPI_041_Marlin Easler_""Deer Creek""","Lost original, installed new","NOT 4600"
"UPI","48",4604,"592806","4786393","5","20","2018","3","16","2019","8132","UPI_048_Kelly Frena",NA,NA
"UPI","57",3215,"579078","4816230","6","12","2018","3","17","2019","8128","UPI_057_Greenslade_Trib. to Elliot",NA,NA
"UPI","57b",3222,"-92.015917","43.48632","6","12","2018","3","29","2019","8134","UPI_057b_Elliot Lower","floating, moved downstream of box culvert attached to large concrete structure",NA
"UPI","61",4592,"612770","4813342","7","2","2018","5","23","2019","4641","UPI_061_Hammel_trib. to Bear Creek","buried slightly by silt",NA
"UPI","75",3206,"579154","4802823","6","12","2018","3","29","2019","2808","UPI_075_Michael Miller",NA,NA
"UPI","8",4611,"584956","4795512","5","20","2018","3","16","2019","8108","UPI_008_AlanHovden",NA,NA
"UPI","84",3204,"588958","4788481","6","12","2018","NA","NA","2019","NA","UPI_084_John Humpal","LOST",NA
"UPI","84",4621,"588964","4788416","7","17","2018","3","16","2019","2811","UPI_084_Humpal",NA,NA
"UPI","85",3193,"-91.406104","43.382599","6","13","2018","3","30","2019","8174","UPI_085_IADNR_French Creek Trib.","moved downstream to large pool",NA
"UPI","86",4632,"598372","4809905","7","19","2018","3","18","2019","8172","UPI_086_Falck",NA,NA
"UPI","93",4631,"610161","4807533","7","19","2018","3","17","2019","8160","UPI_093_Deones",NA,NA
"UPI","96",3211,"595741","4784636","5","20","2018","3","18","2019","8115","UPI_096_Ron Oyloe","not 3210",NA
