"uid","HUC8","Site","Year","JD","temp","ph","do","t1_eff","t2_eff","t3_eff","effsec","t1_avwid","t2_avwid","t3_avwid","avwid","sdwid","t1_avdep","t2_avdep","t3_avdep","avdep","sdDep","t1_maxdep","t2_maxdep","t3_maxdep","maxdep","W/D","pctclay","pctsilt","pctsand","pctfines","pctgrvl","pctcbbl","pctbldr","pctrock","subprop","t1_flow","t2_flow","t3_flow","mFlow","sdFlow","t1_maxflow","t2_maxflow","t3_maxflow","maxflow","pctRiffle","pctrun","t1_pctslow","t2_pctslow","t3_pctslow","pctslow","machabprop","AVembed","pctEmb1","t1_LWD","t2_LWD","t3_LWD","LWD","FWD","t1_under","t2_under","t3_under","under","t1_boulder","t2_boulder","t3_boulder","boulder","t1_depool","t2_depool","t3_depool","depool","bnkahz%","bnkamd%","bnkavr%","Avbnka","bnkbare%","AvChnlOpen%","chshdSD%","AvChnlShd%","RchLength"
1,"UPI","1",2018,18179,16.9,7.81,11.79,537,575,351,1463,2.7875,3.2875,3.3,3.125,0.926071647148413,0.2225,0.376875,0.413846153846154,0.332666666666667,0.205972195828819,0.32,1,0.92,1,9.3937875751503,2.22222222222222,26.6666666666667,24.4444444444444,53.3333333333333,2.22222222222222,42.2222222222222,0,44.4444444444444,42.2222222222222,0.225625,0.12625,0.173076923076923,0.175111111111111,0.182366043268405,0.58,0.5,0.68,0.68,50,0.375,0,37.5,25,20.8333333333333,37.5,0.833333333333333,25,0,0.375,0,0.130434782608696,0.304347826086957,0.5,0.5,0.333333333333333,0.454545454545455,0.25,0.25,0,0.181818181818182,0.75,2.25,1,1.36363636363636,4.16666666666667,95.8333333333333,0,37.5416666666667,1.33333333333333,72.1780604133545,12.9229169513386,27.8219395866455,96
2,"UPI","8",2018,18136,12.9,8.6,11.64,2133,1487,1810,5430,6.9375,7.0125,6.8,6.91666666666667,0.494901541957473,0.447916666666667,0.291666666666667,0.306875,0.36051724137931,0.14410549758549,0.7,0.46,0.54,0.7,19.1853977363303,0,7.01754385964912,24.5614035087719,31.5789473684211,8.7719298245614,57.8947368421053,0,66.6666666666667,57.8947368421053,0.250909090909091,0.332222222222222,0.361875,0.302931034482759,0.202969262392373,0.83,0.75,0.75,0.83,20.8333333333333,0.695652173913043,12.5,0,0,4.16666666666667,66.6666666666667,0.666666666666667,16.6666666666667,0.75,0,0.25,0.333333333333333,0.875,1.75,0,0.25,0.666666666666667,0,0,0.25,0.0833333333333333,2.25,0.25,1.25,1.25,4.16666666666667,58.3333333333333,33.3333333333333,50,1.75,78.5285285285285,11.4491283372377,21.4714714714715,150
3,"UPI","10",2018,18135,13.1,9.4,13.5,1310,1447,1067,3824,3.9625,3.95,3.5625,3.825,0.418330013267037,0.542916666666667,0.454583333333334,0.38875,0.462083333333333,0.122208981712752,0.7,0.68,0.61,0.7,8.27772768259694,1.38888888888889,55.5555555555556,13.8888888888889,70.8333333333333,8.33333333333333,18.0555555555556,2.77777777777778,29.1666666666667,55.5555555555556,0.247272727272727,0.277619047619048,0.446818181818182,0.319154929577465,0.191816478354205,0.39,0.46,1.01,1.01,4.16666666666667,0.782608695652174,0,12.5,0,4.16666666666667,75,0,0,0,0,0,0,0.0833333333333333,3.5,2,1.75,2.41666666666667,1.25,0,0,0.416666666666667,3.25,3.25,1.75,2.75,4.16666666666667,75,20.8333333333333,44.5833333333333,1.875,97.2972972972973,3.56971387408811,2.70270270270269,150
4,"UPI","11",2018,18137,10.6,8.45,11.24,496,356,426,1278,1.7875,1.9375,2.5875,2.10416666666667,0.602515860636748,0.09125,0.143333333333333,0.0853846153846154,0.107878787878788,0.0431391336084169,0.13,0.24,0.15,0.24,19.5049157303371,3.03030303030303,9.09090909090909,0,12.1212121212121,0,87.8787878787879,0,87.8787878787879,87.8787878787879,0.4675,0.213333333333333,0.363076923076923,0.333939393939394,0.188612356997417,0.69,0.44,0.65,0.69,83.3333333333333,0.166666666666667,0,0,0,0,83.3333333333333,0.583333333333333,8.33333333333333,0.375,1,0.5,0.625,1.16666666666667,0.5,0.25,0,0.25,0.25,0,0.75,0.333333333333333,0.25,0.25,0,0.166666666666667,41.6666666666667,58.3333333333333,0,21.3333333333333,0.416666666666667,11.036036036036,9.77277559637705,88.963963963964,50
5,"UPI","12",2018,18134,11.7,9.02,15.53,350,339,437,1126,1.65,2.1875,2.3375,2.05833333333333,0.946350733156014,0.11,0.250625,0.19,0.183541666666667,0.157324567387125,0.36,0.59,0.58,0.59,11.2145289443814,0,27.6595744680851,0,27.6595744680851,6.38297872340426,65.9574468085106,0,72.3404255319149,65.9574468085106,0.162,0.0613333333333333,0.138666666666667,0.114375,0.191132194978886,0.93,0.52,0.6,0.93,41.6666666666667,0.333333333333333,0,37.5,37.5,25,41.6666666666667,1.5,41.6666666666667,0,0,0,0,0.0833333333333333,1,2,0.5,1.16666666666667,0.25,0.25,0,0.166666666666667,0.75,2.75,1.75,1.75,20.8333333333333,45.8333333333333,33.3333333333333,43.3333333333333,1.41666666666667,68.6936936936937,13.5190342004999,31.3063063063063,50
6,"UPI","13",2018,18166,15.9,8.1,9.74,1054,633,599,2286,4.825,2.3875,3.7625,3.65833333333333,1.49460382031833,0.454666666666667,0.33,0.53375,0.439375,0.208573302655554,0.78,0.46,0.88,0.88,8.32622095779991,0,37.5,6.25,43.75,6.25,50,0,56.25,50,0.0928571428571429,0.28375,0.16375,0.168125,0.154323445420492,0.29,0.43,0.6,0.6,25,0.291666666666667,37.5,12.5,62.5,37.5,37.5,0.75,16.6666666666667,0.75,0,0,0.25,0.958333333333333,0.25,0.5,0,0.25,0,0,0,0,2.5,0,2.5,1.66666666666667,0,83.3333333333333,16.6666666666667,44.375,2.70833333333333,37.5375375375375,15.6657547860252,62.4624624624625,150
7,"UPI","14",2018,18193,13.4,8.68,11.84,417,429,199,1045,2.5875,2.8125,2.325,2.575,0.710327542329103,0.18625,0.355625,0.174666666666667,0.240212765957447,0.159734689838605,0.36,0.62,0.28,0.62,10.7196634189548,8.69565217391304,4.34782608695652,34.7826086956522,47.8260869565217,23.9130434782609,28.2608695652174,0,52.1739130434783,34.7826086956522,0.32875,0.18125,0.218,0.243191489361702,0.14722219798036,0.74,0.53,0.42,0.74,29.1666666666667,0.583333333333333,0,12.5,0,4.16666666666667,58.3333333333333,0.75,25,0,0,0,0,0.583333333333333,0,0.5,0.5,0.333333333333333,0.25,0,0,0.0833333333333333,0.25,2.25,0,0.833333333333333,12.5,75,12.5,36.875,0.583333333333333,81.6816816816817,12.106930980962,18.3183183183183,100
8,"UPI","16",2018,18180,14.6,8.06,10.55,518,323,317,1158,1.8125,1.575,1.225,1.5375,0.619826413287379,0.266666666666667,0.303333333333333,0.276666666666667,0.282222222222222,0.107094380567826,0.42,0.5,0.44,0.5,5.44783464566929,0,61.1111111111111,0,61.1111111111111,2.77777777777778,36.1111111111111,0,38.8888888888889,61.1111111111111,0.261818181818182,0.204545454545455,0.241818181818182,0.23,0.156934927369822,0.61,0.54,0.46,0.61,12.5,0.833333333333333,0,0,0,0,83.3333333333333,1.33333333333333,33.3333333333333,0.125,0,0,0.0416666666666667,0.0416666666666667,0.5,0.25,0.5,0.416666666666667,0,0,0,0,0.75,0.5,0,0.416666666666667,20.8333333333333,29.1666666666667,50,49.375,1.375,78.5714285714286,15.7551666041738,21.4285714285714,50
9,"UPI","18",2018,18135,15.6,8.85,14.3,781,739,531,2051,2.9875,2.7375,2.975,2.9,0.699689372072569,0.150625,0.1425,0.184375,0.159166666666667,0.100060265528274,0.44,0.44,0.32,0.44,18.2198952879581,0,47.9166666666667,2.08333333333333,50,4.16666666666667,43.75,2.08333333333333,50,47.9166666666667,0.049375,0.138125,0.011875,0.0664583333333333,0.12298572107628,0.25,0.61,0.05,0.61,29.1666666666667,0.125,50,37.5,87.5,58.3333333333333,58.3333333333333,0.666666666666667,25,0.5,0.125,0,0.208333333333333,0.458333333333333,0.25,0,0,0.0833333333333333,1.25,1.5,0,0.916666666666667,2.5,1.5,4,2.66666666666667,20.8333333333333,70.8333333333333,8.33333333333333,29.7916666666667,1.625,33.2582582582583,14.3920999052445,66.7417417417417,114
10,"UPI","22",2018,18155,16.6,8.2,10.63,334,547,317,1198,1.9125,2.45,2.1875,2.18333333333333,0.447861262161541,0.21,0.249090909090909,0.323,0.260322580645161,0.0998159596780575,0.28,0.52,0.46,0.52,8.38703015282941,0,22.5806451612903,9.67741935483871,32.258064516129,25.8064516129032,41.9354838709677,0,67.741935483871,41.9354838709677,0.368888888888889,0.283,0.192222222222222,0.268387096774193,0.156845928099171,0.6,0.72,0.36,0.72,37.5,0.458333333333333,0,0,0,0,45.8333333333333,0.833333333333333,25,0.375,0.125,0,0.166666666666667,0.25,1.5,1.25,1.5,1.41666666666667,0,0,0.5,0.166666666666667,0,0,0.5,0.166666666666667,0,95.8333333333333,4.16666666666667,40,0.791666666666667,96.3963963963964,2.99494523651051,3.60360360360362,120
