"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~mFlow","~avgT + mFlow + HAiFLS_for + boulder + med_len + BRT_100m","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + boulder + med_len + BRT_100m)",9,143.94176,0,0.386857779019978,124.53551
"~mFlow","~HAiFLS_for + boulder + BRT_100m","p(~mFlow)Psi(~HAiFLS_for + boulder + BRT_100m)",6,145.937091374046,1.99533137404583,0.142649624079475,133.29587
"~mFlow","~mFlow + HAiFLS_for + boulder + BRT_100m","p(~mFlow)Psi(~mFlow + HAiFLS_for + boulder + BRT_100m)",7,146.757348461538,2.81558846153848,0.0946572903174129,131.89581
"~mFlow","~avgT + mFlow + HAiFLS_for + boulder + BRT_100m","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + boulder + BRT_100m)",8,147.215799069767,3.27403906976747,0.0752666840896192,130.09952
"~mFlow","~avgT + mFlow + HAiFLS_for + boulder + med_len","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + boulder + med_len)",8,147.324089069767,3.38232906976745,0.0712997338454517,130.20781
"~mFlow","~HAiFLS_for + boulder + med_len","p(~mFlow)Psi(~HAiFLS_for + boulder + med_len)",6,148.852461374046,4.91070137404583,0.0332051984137017,136.21124
"~mFlow","~mFlow + HAiFLS_for + boulder + med_len","p(~mFlow)Psi(~mFlow + HAiFLS_for + boulder + med_len)",7,149.251708461538,5.30994846153848,0.0271963534137911,134.39017
"~mFlow","~mFlow + HAiFLS_for + BRT_100m","p(~mFlow)Psi(~mFlow + HAiFLS_for + BRT_100m)",6,149.624471374046,5.68271137404582,0.0225718023217077,136.98325
"~mFlow","~HAiFLS_for + BRT_100m","p(~mFlow)Psi(~HAiFLS_for + BRT_100m)",5,149.796945454545,5.85518545454548,0.02070684666075,139.3424
"~mFlow","~avgT + boulder + BRT_100m","p(~mFlow)Psi(~avgT + boulder + BRT_100m)",6,149.957731374046,6.01597137404582,0.0191073187520125,137.31651
"~mFlow","~avgT + mFlow + HAiFLS_for + med_len","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + med_len)",7,150.360268461538,6.41850846153847,0.015623917272241,135.49873
"~mFlow","~avgT + mFlow + HAiFLS_for + BRT_100m","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + BRT_100m)",7,150.566358461538,6.62459846153848,0.0140941229529289,135.70482
"~mFlow","~avgT + mFlow + boulder + BRT_100m","p(~mFlow)Psi(~avgT + mFlow + boulder + BRT_100m)",7,150.587878461538,6.64611846153846,0.013943283163343,135.72634
"~mFlow","~avgT + HAiFLS_for + BRT_100m","p(~mFlow)Psi(~avgT + HAiFLS_for + BRT_100m)",6,150.894671374046,6.95291137404581,0.0119604029854593,138.25345
"~mFlow","~avgT + HAiFLS_for + med_len","p(~mFlow)Psi(~avgT + HAiFLS_for + med_len)",6,151.325001374046,7.38324137404584,0.00964496909779292,138.68378
"~mFlow","~mFlow + HAiFLS_for + med_len","p(~mFlow)Psi(~mFlow + HAiFLS_for + med_len)",6,151.403111374046,7.46135137404582,0.00927554570045417,138.76189
"~mFlow","~HAiFLS_for + med_len","p(~mFlow)Psi(~HAiFLS_for + med_len)",5,152.313145454545,8.37138545454548,0.00588475084278516,141.8586
"~mFlow","~boulder + BRT_100m","p(~mFlow)Psi(~boulder + BRT_100m)",5,152.553415454545,8.61165545454548,0.00521860122873212,142.09887
"~mFlow","~mFlow + boulder + BRT_100m","p(~mFlow)Psi(~mFlow + boulder + BRT_100m)",6,152.911111374046,8.96935137404583,0.00436396672209753,140.26989
"~mFlow","~avgT + mFlow + boulder + med_len","p(~mFlow)Psi(~avgT + mFlow + boulder + med_len)",7,153.311558461538,9.36979846153847,0.00357211514752863,138.45002
"~mFlow","~avgT + boulder + med_len","p(~mFlow)Psi(~avgT + boulder + med_len)",6,153.436561374046,9.49480137404584,0.00335568674472753,140.79534
"~mFlow","~avgT + HAiFLS_for + boulder","p(~mFlow)Psi(~avgT + HAiFLS_for + boulder)",6,153.808031374046,9.86627137404582,0.00278687652161083,141.16681
"~mFlow","~avgT + mFlow + HAiFLS_for + boulder","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for + boulder)",7,155.233718461538,11.2919584615385,0.00136626111877397,140.37218
"~mFlow","~boulder + HAiFLS_for","p(~mFlow)Psi(~boulder + HAiFLS_for)",5,155.945895454545,12.0041354545455,0.000956943815864056,145.49135
"~mFlow","~avgT + mFlow + BRT_100m","p(~mFlow)Psi(~avgT + mFlow + BRT_100m)",6,156.281651374046,12.3398913740458,0.000809054855550431,143.64043
"~mFlow","~avgT + BRT_100m","p(~mFlow)Psi(~avgT + BRT_100m)",5,157.125805454545,13.1840454545455,0.000530483938331524,146.67126
"~mFlow","~avgT + HAiFLS_for","p(~mFlow)Psi(~avgT + HAiFLS_for)",5,157.236905454545,13.2951454545455,0.000501819092443755,146.78236
"~mFlow","~avgT + mFlow + med_len","p(~mFlow)Psi(~avgT + mFlow + med_len)",6,157.562051374046,13.6202913740458,0.000426523182799396,144.92083
"~mFlow","~mFlow + HAiFLS_for + boulder","p(~mFlow)Psi(~mFlow + HAiFLS_for + boulder)",6,157.636241374046,13.6944813740458,0.00041099116642143,144.99502
"~mFlow","~avgT + mFlow + HAiFLS_for","p(~mFlow)Psi(~avgT + mFlow + HAiFLS_for)",6,158.102711374046,14.1609513740458,0.000325491621648235,145.46149
