"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~avdep","~avgT + BRT_100m","p(~avdep)Psi(~avgT + BRT_100m)",5,240.107895454545,0,0.466527901586575,229.65335
"~avdep","~avgT + avdep + BRT_100m","p(~avdep)Psi(~avgT + avdep + BRT_100m)",6,241.743681374046,1.63578591950036,0.205907053264399,229.10246
"~avdep","~avgT + pctfines + BRT_100m","p(~avdep)Psi(~avgT + pctfines + BRT_100m)",6,242.016921374046,1.90902591950035,0.179613059793457,229.3757
"~avdep","~avgT + avdep + pctfines + BRT_100m","p(~avdep)Psi(~avgT + avdep + pctfines + BRT_100m)",7,243.593528461538,3.485633006993,0.0816548588144293,228.73199
"~avdep","~avgT + avdep + pctfines + med_len + BRT_100m","p(~avdep)Psi(~avgT + avdep + pctfines + med_len + BRT_100m)",8,245.831029069767,5.723133615222,0.0266756461876943,228.71475
"~avdep","~avgT + med_len","p(~avdep)Psi(~avgT + med_len)",5,247.327115454545,7.21922000000001,0.0126253642846367,236.87257
"~avdep","~avgT","p(~avdep)Psi(~avgT)",4,248.768351879699,8.6604564251538,0.00614162654322558,240.4676
"~avdep","~avgT + avdep + med_len","p(~avdep)Psi(~avgT + avdep + med_len)",6,249.183611374046,9.07571591950037,0.00499011955913861,236.54239
"~avdep","~avgT + pctfines + med_len","p(~avdep)Psi(~avgT + pctfines + med_len)",6,249.502821374046,9.39492591950037,0.00425397937855343,236.8616
"~avdep","~avgT + pctfines","p(~avdep)Psi(~avgT + pctfines)",5,250.272515454545,10.16462,0.00289506576920894,239.81797
"~avdep","~avgT + avdep","p(~avdep)Psi(~avgT + avdep)",5,250.295265454545,10.18737,0.00286232098511529,239.84072
"~avdep","~avgT + avdep + pctfines + med_len","p(~avdep)Psi(~avgT + avdep + pctfines + med_len)",7,251.401308461538,11.293413006993,0.00164643332245186,236.53977
"~avdep","~avgT + avdep + pctfines","p(~avdep)Psi(~avgT + avdep + pctfines)",6,252.037751374046,11.9298559195004,0.00119768421232482,239.39653
"~avdep","~BRT_100m","p(~avdep)Psi(~BRT_100m)",4,252.497631879699,12.3897364251538,0.000951657209009446,244.19688
"~avdep","~pctfines + BRT_100m","p(~avdep)Psi(~pctfines + BRT_100m)",5,253.021755454545,12.91386,0.000732265466929513,242.56721
"~avdep","~med_len + BRT_100m","p(~avdep)Psi(~med_len + BRT_100m)",5,253.436565454545,13.32867,0.000595105147223737,242.98202
"~avdep","~avdep + BRT_100m","p(~avdep)Psi(~avdep + BRT_100m)",5,254.170775454545,14.06288,0.000412251297153354,243.71623
"~avdep","~avdep + pctfines + BRT_100m","p(~avdep)Psi(~avdep + pctfines + BRT_100m)",6,254.693381374046,14.5854859195003,0.000317453118196289,242.05216
"~avdep","~med_len","p(~avdep)Psi(~med_len)",4,272.809561879699,32.7016664251538,3.69658744304336e-08,264.50881
"~avdep","~1","p(~avdep)Psi(~1)",3,273.161724477612,33.0538290230665,3.09977268818542e-08,266.98262
"~avdep","~avdep + med_len","p(~avdep)Psi(~avdep + med_len)",5,273.754315454545,33.64642,2.30489078591436e-08,263.29977
"~avdep","~avdep","p(~avdep)Psi(~avdep)",4,274.059851879699,33.9519564251538,1.97835379331026e-08,265.7591
"~avdep","~pctfines","p(~avdep)Psi(~pctfines)",4,274.657631879699,34.5497364251538,1.46722825685252e-08,266.35688
"~avdep","~pctfines + med_len","p(~avdep)Psi(~pctfines + med_len)",5,274.932705454545,34.82481,1.2786927844557e-08,264.47816
"~avdep","~avdep + pctfines","p(~avdep)Psi(~avdep + pctfines)",5,275.850445454545,35.74255,8.08130514178985e-09,265.3959
"~avdep","~avdep + pctfines + med_len","p(~avdep)Psi(~avdep + pctfines + med_len)",6,275.940961374046,35.8330659195003,7.72371470095862e-09,263.29974
