"p","Psi","model","npar","AICc","DeltaAICc","weight","Neg2LnL"
"~effort","~HAiFLS_for","p(~effort)Psi(~HAiFLS_for)",4,172.078781879699,0,0.130321292471674,163.77803
"~effort","~HAiFLS_for + AvgSlope","p(~effort)Psi(~HAiFLS_for + AvgSlope)",5,172.133355454545,0.0545735748462164,0.126813321356129,161.67881
"~effort","~HAiFLS_for + Area_km2","p(~effort)Psi(~HAiFLS_for + Area_km2)",5,172.474005454545,0.395223574846227,0.106953172073896,162.01946
"~effort","~HAiFLS_for + Area_km2 + Cross_Cat","p(~effort)Psi(~HAiFLS_for + Area_km2 + Cross_Cat)",6,173.099581374046,1.02079949434656,0.0782260830477543,160.45836
"~effort","~HAiFLS_for + Area_km2 + AvgSlope","p(~effort)Psi(~HAiFLS_for + Area_km2 + AvgSlope)",6,173.197311374046,1.11852949434657,0.0744954563360953,160.55609
"~effort","~Area_km2 + Cross_Cat","p(~effort)Psi(~Area_km2 + Cross_Cat)",5,173.421985454545,1.34320357484623,0.0665797910957021,162.96744
"~effort","~Area_km2 + AvgSlope + Cross_Cat","p(~effort)Psi(~Area_km2 + AvgSlope + Cross_Cat)",6,173.528681374046,1.44989949434657,0.0631209757298049,160.88746
"~effort","~HAiFLS_for + AvgSlope + Cross_Cat","p(~effort)Psi(~HAiFLS_for + AvgSlope + Cross_Cat)",6,173.542011374046,1.46322949434656,0.062701673304094,160.90079
"~effort","~AvgSlope + Cross_Cat","p(~effort)Psi(~AvgSlope + Cross_Cat)",5,173.626645454545,1.54786357484622,0.0601036814154871,163.1721
"~effort","~HAiFLS_for + Cross_Cat","p(~effort)Psi(~HAiFLS_for + Cross_Cat)",5,173.664015454545,1.58523357484623,0.058991071060689,163.20947
"~effort","~HAiFLS_for + Area_km2 + AvgSlope + Cross_Cat","p(~effort)Psi(~HAiFLS_for + Area_km2 + AvgSlope + Cross_Cat)",7,173.736638461538,1.65785658183921,0.0568874407038743,158.8751
"~effort","~Cross_Cat","p(~effort)Psi(~Cross_Cat)",4,174.391961879699,2.31317999999999,0.0409934739433502,166.09121
"~effort","~AvgSlope","p(~effort)Psi(~AvgSlope)",4,175.285011879699,3.20623000000001,0.0262295826326854,166.98426
"~effort","~1","p(~effort)Psi(~1)",3,175.476744477612,3.39796259791268,0.0238318181042493,169.29764
"~effort","~Area_km2","p(~effort)Psi(~Area_km2)",4,176.722321879699,4.64354,0.012784492102676,168.42157
"~effort","~Area_km2 + AvgSlope","p(~effort)Psi(~Area_km2 + AvgSlope)",5,177.029065454545,4.95028357484622,0.0109666746218384,166.57452
